Depth,TVD,DX,DY,RT,RXO,SH,POR,SW,PERM,ACN,DENN,CNLN,GRN
4578.875,4571.78,121.556,-29.982,1778.249,1667.539,0.01,0.587,90.141,0.023,49.818,2.683,0.347,21.779
4579,4571.897,121.579,-29.947,1578.076,1496.405,0.01,0.832,66.321,0.035,50.102,2.678,0.58,22.45
4579.125,4572.016,121.602,-29.913,1419.288,1357.726,0.01,0.989,56.941,0.043,50.116,2.676,0.747,23.083
4579.25,4572.133,121.626,-29.879,1113.8,1078.067,0.01,1.236,46.8,0.057,50.116,2.673,1.011,24.577
4579.375,4572.251,121.649,-29.844,902.662,870.218,0.24,1.322,44.092,0.062,50.337,2.675,1.058,25.648
4579.5,4572.369,121.672,-29.81,833.983,797.491,0.298,1.232,46.931,0.057,50.256,2.678,1.014,25.802
4579.625,4572.487,121.695,-29.776,768.87,713.417,0.36,1.011,55.827,0.045,50.192,2.684,0.889,25.969
4579.75,4572.605,121.719,-29.741,770.765,688.259,1.334,0.766,71.305,0.032,50.089,2.688,0.823,28.539
4579.875,4572.723,121.742,-29.707,776.974,681.538,2.523,0.232,99.99,0.007,49.96,2.691,0.828,31.579
4580,4572.841,121.765,-29.672,784.564,665.998,6.266,0.01,99.99,0,49.96,2.697,0.901,40.531
4580.125,4572.959,121.789,-29.638,793.286,663.118,8.422,0.01,99.99,0,49.934,2.701,0.959,45.313
4580.25,4573.077,121.812,-29.604,855.606,692.516,11.8,0.01,99.99,0,49.679,2.708,1.112,52.327
4580.375,4573.194,121.835,-29.569,1042.108,808.459,12.686,0.01,99.99,0,49.777,2.705,1.317,54.079
4580.5,4573.313,121.858,-29.535,1203.393,912.011,12.187,0.01,99.99,0,49.775,2.7,1.417,53.096
4580.625,4573.43,121.882,-29.5,1614.35,1183.393,10.026,0.01,99.99,0,50.056,2.688,1.519,48.711
4580.75,4573.548,121.905,-29.466,1810.215,1331.856,7.375,0.01,99.99,0,50.056,2.688,1.499,43.023
4580.875,4573.666,121.928,-29.432,1700.302,1270.389,6.181,0.01,99.99,0,50.431,2.693,1.521,40.338
4581,4573.784,121.951,-29.397,1112.887,878.851,4.476,0.268,99.99,0.009,51.207,2.711,1.787,36.362
4581.125,4573.902,121.975,-29.363,474.524,408.324,3.882,0.993,56.726,0.044,52.362,2.722,2.307,34.934
4581.25,4574.02,121.998,-29.328,275.369,246.857,4.084,1.212,47.598,0.056,53.592,2.721,2.588,35.422
4581.375,4574.138,122.021,-29.294,112.442,99.56,5.515,1.36,43.001,0.064,53.592,2.707,3.085,38.806
4581.5,4574.255,122.045,-29.259,83.283,69.028,7.585,1.202,59.216,0.055,54.532,2.69,3.366,43.486
4581.625,4574.374,122.068,-29.225,80.931,66.106,8.291,1.039,72.759,0.046,55.024,2.685,3.35,45.028
4581.75,4574.491,122.091,-29.19,83.323,67.64,7.839,0.916,84.168,0.04,55.119,2.683,3.057,44.044
4581.875,4574.609,122.114,-29.156,86.491,70.443,6.692,1.107,64.447,0.05,54.934,2.684,2.917,41.497
4582,4574.727,122.138,-29.121,92.808,76.279,3.967,1.843,32.899,0.093,54.621,2.683,2.976,35.138
4582.125,4574.845,122.161,-29.087,95.017,78.596,2.745,2.488,25.264,0.134,54.621,2.674,3.479,32.136
4582.25,4574.963,122.184,-29.052,94.274,78.177,2.935,2.751,23.119,0.152,54.563,2.667,3.771,32.608
4582.375,4575.081,122.208,-29.018,90.309,75.017,3.975,3.303,19.68,0.19,54.809,2.66,4.2,35.159
4582.5,4575.199,122.231,-28.983,86.617,71.297,4.704,3.319,19.595,0.191,55.397,2.664,4.435,36.902
4582.625,4575.316,122.254,-28.949,85.362,69.925,4.97,3.421,19.08,0.198,56.253,2.671,4.583,37.531
4582.75,4575.434,122.278,-28.914,79.627,65.385,5.626,3.603,18.229,0.211,56.253,2.689,5.189,39.063
4582.875,4575.552,122.301,-28.88,64.181,53.629,6.812,4.048,16.452,0.244,57.539,2.705,6.266,41.767
4583,4575.67,122.324,-28.845,54.088,45.63,7.858,4.261,15.725,0.259,59.194,2.71,6.931,44.085
4583.125,4575.788,122.348,-28.811,36.799,31.429,11.43,4.567,17.197,0.282,61.21,2.713,8.515,51.585
4583.25,4575.906,122.371,-28.776,31.03,26.658,13.813,4.767,18.031,0.298,63.552,2.712,9.486,56.262
4583.375,4576.023,122.394,-28.742,23.015,20.193,18.426,5.46,18.108,0.351,66.32,2.706,11.67,64.678
4583.5,4576.141,122.417,-28.707,17.262,15.415,22.125,6.009,19.018,0.395,66.32,2.697,13.553,70.902
4583.625,4576.259,122.441,-28.673,15.225,13.672,24.199,5.941,20.819,0.39,68.877,2.693,14.217,74.213
4583.75,4576.377,122.464,-28.638,12.567,11.408,29.521,2.201,84.566,0.081,70.618,2.688,15.14,82.19
4583.875,4576.495,122.487,-28.603,11.306,10.277,35.545,1.433,99.99,0.044,71.898,2.693,15.936,90.443
4584,4576.613,122.511,-28.569,11.107,10.069,39.018,1.062,99.99,0.029,72.713,2.698,16.366,94.879
4584.125,4576.73,122.534,-28.534,11.198,10.096,50.328,0.205,99.99,0.003,72.713,2.698,17.235,107.975
4584.25,4576.848,122.557,-28.5,11.033,10.108,71.794,0.01,99.99,0,72.587,2.68,17.827,128.569
4584.375,4576.966,122.581,-28.465,10.782,10.064,85.304,0.01,99.99,0,71.708,2.669,17.891,139.47
4584.5,4577.084,122.604,-28.43,10.558,10.218,99.982,0.01,99.99,0,70.454,2.664,17.493,152.596
4584.625,4577.202,122.627,-28.396,11.461,11.056,91.513,0.01,99.99,0,69.759,2.694,16.789,144.07
4584.75,4577.319,122.651,-28.361,12.288,11.693,75.947,0.01,99.99,0,69.849,2.717,16.546,132.062
4584.875,4577.438,122.674,-28.326,14.002,13.002,46.549,0.172,99.99,0.003,69.849,2.756,16.487,103.807
4585,4577.555,122.698,-28.292,14.568,13.467,37.725,1.042,99.99,0.029,70.161,2.763,16.618,93.253
4585.125,4577.673,122.721,-28.257,14.636,13.562,33.086,1.856,96.209,0.063,70.654,2.752,16.892,87.165
4585.25,4577.791,122.744,-28.222,13.554,12.545,39.61,0.953,99.99,0.025,70.879,2.724,16.599,95.613
4585.375,4577.909,122.768,-28.188,12.954,11.895,43.345,0.467,99.99,0.01,71.07,2.71,16.005,100.116
4585.5,4578.026,122.791,-28.153,12.805,11.31,44.636,0.01,99.99,0,70.622,2.69,13.915,101.621
4585.625,4578.144,122.814,-28.118,15.552,13.01,37.52,0.01,99.99,0,70.622,2.672,11.508,92.992
4585.75,4578.262,122.838,-28.084,18.22,14.944,33.27,0.189,99.99,0.004,69.873,2.662,10.577,87.414
4585.875,4578.38,122.861,-28.049,24.739,19.938,27.238,0.849,99.99,0.026,69.731,2.636,9.834,78.855
4586,4578.498,122.884,-28.014,29.362,26.181,26.338,1.779,66.836,0.066,70.256,2.597,11.213,77.504
4586.125,4578.615,122.908,-27.98,30.201,26.838,28.504,2.197,49.98,0.082,72.326,2.572,12.956,80.72
4586.25,4578.733,122.931,-27.945,30.106,26.264,39.356,2.238,48.886,0.072,72.326,2.515,18.886,95.299
4586.375,4578.851,122.955,-27.91,30.123,25.843,47.396,1.804,64.618,0.048,72.978,2.487,22.773,104.758
4586.5,4578.969,122.978,-27.875,31.999,26.21,63.613,0.855,99.99,0.013,74.124,2.453,29.837,121.264
4586.625,4579.086,123.001,-27.841,37.807,29.376,74.553,0.319,99.99,0.003,72.721,2.468,32.601,130.905
4586.75,4579.204,123.025,-27.806,42.673,32.566,79.257,0.153,99.99,0.001,71.174,2.495,32.362,134.753
4586.875,4579.322,123.048,-27.771,55.574,42.256,96.084,0.01,99.99,0,67.916,2.571,30.943,147.312
4587,4579.44,123.071,-27.736,68.834,53.483,99.982,0.01,99.99,0,67.916,2.639,30.927,170.526
4587.125,4579.558,123.095,-27.702,74.683,58.633,99.982,0.01,99.99,0,65.361,2.659,31.964,184.705
4587.25,4579.675,123.118,-27.667,86.365,68.569,99.982,0.01,99.99,0,61.786,2.664,36.072,209.858
4587.375,4579.793,123.142,-27.632,101.118,80.398,99.982,0.01,99.99,0,59.364,2.643,40.76,218.727
4587.5,4579.911,123.165,-27.597,109.286,86.934,99.982,0.01,99.99,0,58.175,2.631,42.238,215.49
4587.625,4580.029,123.188,-27.563,121.682,97.249,99.186,0.01,99.99,0,58.175,2.614,43.002,199.161
4587.75,4580.146,123.212,-27.528,121.259,97.64,83.244,0.01,99.99,0,57.77,2.609,42.663,181.594
4587.875,4580.264,123.235,-27.493,115.827,93.443,78.267,0.01,99.99,0,58.149,2.609,42.652,175.614
4588,4580.382,123.259,-27.458,100.264,80.21,72.976,0.01,99.99,0,58.818,2.609,43.025,168.957
4588.125,4580.5,123.282,-27.423,92.866,73.46,71.183,0.01,99.99,0,59.557,2.61,43.236,166.626
4588.25,4580.617,123.305,-27.389,81.798,62.816,67.341,0.01,99.99,0,59.941,2.618,43.066,161.492
4588.375,4580.735,123.329,-27.354,74.377,55.374,64.608,0.01,99.99,0,59.941,2.641,41.148,157.72
4588.5,4580.853,123.352,-27.319,71.462,52.446,64.197,0.01,99.99,0,59.91,2.659,39.521,157.144
4588.625,4580.971,123.376,-27.284,66.654,48.011,64.655,0.01,99.99,0,60.327,2.701,36.067,157.786
4588.75,4581.088,123.399,-27.249,62.111,44.618,66.443,0.01,99.99,0,60.675,2.733,33.555,160.265
4588.875,4581.206,123.422,-27.214,59.778,42.968,68.397,0.01,99.99,0,61.169,2.739,32.795,162.923
4589,4581.324,123.446,-27.18,56.131,40.279,75.234,0.01,99.99,0,61.169,2.733,32.553,171.837
4589.125,4581.441,123.469,-27.145,55.042,39.754,82.301,0.01,99.99,0,61.715,2.716,34.335,180.481
4589.25,4581.559,123.493,-27.11,55.313,40.29,83.78,0.01,99.99,0,62.671,2.711,35.673,182.223
4589.375,4581.677,123.516,-27.075,56.741,42.05,81.976,0.01,99.99,0,63.661,2.714,37.241,180.095
4589.5,4581.795,123.54,-27.04,58.222,43.687,76.961,0.01,99.99,0,64.899,2.726,35.462,174.001
4589.625,4581.913,123.563,-27.005,58.185,43.94,76.48,0.01,99.99,0,65.69,2.731,33.585,173.401
4589.75,4582.03,123.586,-26.97,55.093,42.233,76.394,0.01,99.99,0,65.69,2.733,29.275,173.294
4589.875,4582.148,123.61,-26.935,52.316,40.374,76.456,0.01,99.99,0,65.984,2.732,27.079,173.372
4590,4582.266,123.633,-26.9,47.186,36.601,76.088,0.01,99.99,0,65.827,2.731,22.369,172.911
4590.125,4582.383,123.657,-26.865,46.099,35.463,72.259,0.01,99.99,0,64.779,2.738,16.975,168.029
4590.25,4582.501,123.68,-26.831,47.02,35.963,68.5,0.01,99.99,0,63.629,2.744,14.371,163.062
4590.375,4582.619,123.704,-26.796,48.904,37.176,59.042,0.01,99.99,0,63.629,2.757,10.513,149.701
4590.5,4582.736,123.727,-26.761,47.197,36.103,49.97,0.01,99.99,0,61.78,2.776,8.831,135.534
4590.625,4582.854,123.751,-26.726,44.563,34.354,46.17,0.01,99.99,0,60.749,2.779,8.594,129.135
4590.75,4582.972,123.774,-26.691,37.331,29.393,40.718,0.01,99.99,0,60.479,2.788,8.68,119.399
4590.875,4583.089,123.797,-26.656,31.081,25.058,38.659,0.01,99.99,0,61.043,2.779,8.855,115.533
4591,4583.207,123.821,-26.621,29.48,24.011,38.422,0.01,99.99,0,61.699,2.765,8.866,115.082
4591.125,4583.325,123.844,-26.586,29.955,24.832,37.741,0.01,99.99,0,61.699,2.726,8.86,113.775
4591.25,4583.442,123.868,-26.551,31.507,26.474,36.966,0.055,99.99,0,62.771,2.708,8.971,112.272
4591.375,4583.56,123.891,-26.516,34.381,30.359,35.159,0.27,99.99,0,63.815,2.691,9.722,108.702
4591.5,4583.678,123.915,-26.481,32.863,31.184,34.71,0.538,99.99,0,64.946,2.709,11.22,107.802
4591.625,4583.796,123.938,-26.446,29.857,29.408,35.717,0.61,99.99,0,65.84,2.726,12.143,109.815
4591.75,4583.914,123.962,-26.411,21.298,22.424,40.624,0.435,99.99,0,66.694,2.758,14.015,119.224
4591.875,4584.031,123.985,-26.376,13.624,15.04,47.152,0.174,99.99,0,66.694,2.77,15.327,130.817
4592,4584.149,124.009,-26.341,11.045,12.359,49.669,0.124,99.99,0,67.358,2.766,15.498,135.037
4592.125,4584.267,124.032,-26.306,7.698,8.742,51.314,0.061,99.99,0,67.237,2.747,14.72,137.727
4592.25,4584.384,124.056,-26.271,5.437,6.156,46.767,0.085,99.99,0,65.923,2.727,13.259,130.16
4592.375,4584.502,124.079,-26.236,4.595,5.146,41.57,0.143,99.99,0,63.698,2.722,12.569,120.966
4592.5,4584.619,124.102,-26.201,3.646,3.928,27.346,1.292,99.99,0.001,63.698,2.725,11.157,92.102
4592.625,4584.737,124.126,-26.166,3.796,3.907,14.923,5.072,99.99,0.072,61.214,2.744,9.501,60.706
4592.75,4584.854,124.149,-26.131,4.61,4.552,11.153,4.958,99.99,0.063,58.993,2.756,8.76,49.559
4592.875,4584.972,124.173,-26.095,12.911,11.726,8.712,4.79,99.99,0.052,57.1,2.776,7.943,41.824
4593,4585.09,124.196,-26.06,22.964,21.043,9.38,4.323,99.99,0.03,55.511,2.784,7.913,43.983
4593.125,4585.208,124.22,-26.025,51.653,49.154,12.092,3.205,99.99,0.008,54.245,2.795,8.348,52.419
4593.25,4585.325,124.243,-25.99,74.49,72.51,13.965,2.798,99.99,0.005,54.245,2.802,8.856,57.957
4593.375,4585.443,124.267,-25.955,79.353,77.278,14.154,2.379,99.99,0.003,53.375,2.802,8.96,58.506
4593.5,4585.561,124.29,-25.92,81.712,77.22,13.313,2.33,99.99,0.003,52.812,2.793,8.738,56.055
4593.625,4585.678,124.314,-25.885,90.358,80.224,11.538,2.37,99.99,0.003,52.033,2.778,7.996,50.738
4593.75,4585.796,124.337,-25.85,101.214,86.916,10.624,2.233,99.99,0.003,51.355,2.772,7.491,47.919
4593.875,4585.914,124.361,-25.815,139.985,113.938,9.337,2.404,87.162,0.003,51.355,2.766,6.443,43.846
4594,4586.031,124.384,-25.779,196.305,155.989,8.479,2.183,81.592,0.003,50.731,2.768,5.672,41.062
4594.125,4586.149,124.408,-25.744,224.49,177.413,7.953,2.157,76.857,0.002,50.489,2.769,5.449,39.326
4594.25,4586.267,124.431,-25.709,266.767,208.724,6.828,2.331,63.244,0.003,50.365,2.77,5.265,35.54
4594.375,4586.384,124.455,-25.674,280.003,217.319,6.493,2.353,60.823,0.003,50.219,2.77,5.263,34.391
4594.5,4586.501,124.478,-25.639,296.659,225.977,6.657,2.29,60.971,0.003,50.146,2.774,5.417,34.955
4594.625,4586.619,124.502,-25.604,296.905,225.507,7.368,2.1,68.028,0.002,50.146,2.79,5.806,37.37
4594.75,4586.737,124.525,-25.569,285.537,218.444,7.651,2.163,66.976,0.002,50.483,2.801,6.074,38.321
4594.875,4586.854,124.549,-25.533,240.971,188.109,8.066,2.111,75.936,0.002,50.606,2.824,6.675,39.701
4595,4586.972,124.573,-25.498,196.342,153.969,8.307,2.117,84.833,0.002,50.636,2.834,7.185,40.498
4595.125,4587.09,124.596,-25.463,185.821,144.405,8.14,2.022,92.749,0.002,50.275,2.835,7.296,39.947
4595.25,4587.208,124.62,-25.428,199.048,150.349,6.866,2.288,76.257,0.003,50.275,2.835,7.045,35.67
4595.375,4587.325,124.643,-25.393,252.623,187.963,5.175,2.274,67.271,0.003,49.579,2.838,6.462,29.778
4595.5,4587.442,124.667,-25.357,281.248,209.853,5.175,1.953,76.919,0.002,48.872,2.839,6.323,29.778
4595.625,4587.56,124.69,-25.322,301.259,229.545,4.844,2.08,68.323,0.002,48.662,2.833,6.718,28.595
4595.75,4587.678,124.714,-25.287,254.546,199.555,6.05,2.357,64.018,0.003,49.514,2.822,7.527,32.86
4595.875,4587.795,124.737,-25.252,219.392,173.958,6.863,2.744,57.292,0.005,50.817,2.819,7.683,35.66
4596,4587.913,124.761,-25.216,165.034,131.805,8.223,2.281,85.03,0.003,50.817,2.821,7.132,40.22
4596.125,4588.031,124.784,-25.181,151.839,121.031,8.63,2.587,75.851,0.004,52.092,2.823,6.68,41.557
4596.25,4588.148,124.808,-25.146,146.125,116.218,8.869,2.699,73.451,0.005,52.615,2.821,6.479,42.333
4596.375,4588.266,124.831,-25.111,154.711,123.803,8.687,3.035,61.254,0.007,52.593,2.808,7.502,41.741
4596.5,4588.383,124.855,-25.075,160.964,129.607,8.611,2.997,60.873,0.006,52.094,2.801,7.962,41.494
4596.625,4588.501,124.879,-25.04,174.925,143.051,8.639,2.546,71.557,0.004,51.101,2.791,7.597,41.586
4596.75,4588.619,124.902,-25.005,191.58,159.162,8.659,2.317,76.653,0.003,51.101,2.784,6.25,41.65
4596.875,4588.736,124.926,-24.97,201.142,168.293,8.569,1.947,93.109,0.002,50.28,2.78,5.921,41.357
4597,4588.854,124.949,-24.934,219.081,186.73,8.378,2.049,83.169,0.002,50.102,2.765,6.31,40.731
4597.125,4588.971,124.973,-24.899,223.339,212.172,8.784,2.223,74.168,0.003,50.227,2.742,7.057,42.059
4597.25,4589.089,124.996,-24.864,215.993,205.193,9.438,2.637,60.797,0.004,51.248,2.73,7.282,44.171
4597.375,4589.207,125.02,-24.828,182.4,173.28,11.551,2.134,87.501,0.002,51.248,2.711,7.496,50.778
4597.5,4589.324,125.043,-24.793,160.151,152.143,12.812,2.61,72.802,0.004,52.786,2.705,7.555,54.577
4597.625,4589.441,125.067,-24.758,118.376,112.457,15.342,2.779,79.582,0.005,54.411,2.701,7.7,61.891
4597.75,4589.559,125.091,-24.722,90.994,86.444,17.731,2.893,87.573,0.006,55.778,2.7,8.069,68.457
4597.875,4589.677,125.114,-24.687,83.307,79.141,18.658,3.057,85.764,0.007,56.523,2.699,8.35,70.924
4598,4589.794,125.138,-24.652,77.065,73.212,19.303,3.06,89.489,0.007,56.664,2.692,8.796,72.615
4598.125,4589.912,125.161,-24.616,80.041,76.039,18.754,3.205,82.578,0.008,56.664,2.684,8.662,71.177
4598.25,4590.029,125.185,-24.581,84.599,80.369,18.531,3.147,81.941,0.008,56.477,2.681,8.41,70.59
4598.375,4590.147,125.208,-24.546,99.269,94.306,18.142,3.007,79.416,0.007,56.116,2.678,7.894,69.556
4598.5,4590.265,125.232,-24.51,117.272,111.409,16.754,3.169,67.689,0.008,55.881,2.679,7.526,65.81
4598.625,4590.382,125.256,-24.475,124.751,118.513,15.765,3.298,62.149,0.009,55.775,2.681,7.346,63.078
4598.75,4590.5,125.279,-24.439,130.877,124.333,14.558,3.377,58.707,0.01,55.775,2.688,6.973,59.667
4598.875,4590.617,125.303,-24.404,122.811,116.67,15.342,3.077,68.471,0.007,55.817,2.7,6.875,61.891
4599,4590.734,125.326,-24.369,114.914,109.168,16.256,2.937,75.416,0.006,55.885,2.706,7.044,64.44
4599.125,4590.852,125.35,-24.333,97.652,92.769,17.956,2.848,85.893,0.005,56.061,2.717,7.74,69.062
4599.25,4590.97,125.374,-24.298,90.818,86.277,18.401,2.87,88.579,0.006,56.242,2.719,8.091,70.244
4599.375,4591.087,125.397,-24.262,85.182,80.923,18.263,2.812,94.243,0.005,55.913,2.715,8.365,69.878
4599.5,4591.205,125.421,-24.227,91.848,87.256,17.164,3.101,79.747,0.007,55.913,2.697,8.057,66.928
4599.625,4591.322,125.444,-24.192,99.611,94.63,16.364,3.062,77.457,0.007,55.373,2.685,7.804,64.739
4599.75,4591.44,125.468,-24.156,124.038,117.836,14.095,3.131,66.618,0.008,54.26,2.662,7.236,58.335
4599.875,4591.557,125.492,-24.121,161.63,153.548,11.362,3.311,53.501,0.009,53.241,2.657,6.674,50.199
4600,4591.675,125.515,-24.085,182.958,173.81,10.197,3.127,53.686,0.008,52.328,2.665,6.457,46.579
4600.125,4591.792,125.539,-24.05,214.654,203.921,8.765,3.298,45.886,0.009,52.328,2.696,6.229,41.995
4600.25,4591.91,125.562,-24.014,215.609,204.829,8.854,3.001,51.628,0.007,52.136,2.727,6.186,42.285
4600.375,4592.027,125.586,-23.979,206.419,196.098,9.561,2.931,54.504,0.006,52.514,2.735,6.171,44.564
4600.5,4592.145,125.61,-23.943,184.839,175.597,11.978,2.684,64.872,0.005,53.45,2.733,6.081,52.075
4600.625,4592.262,125.633,-23.908,172.388,163.769,14.297,2.219,85.916,0.003,54.127,2.72,5.929,58.917
4600.75,4592.38,125.657,-23.872,170.151,161.644,14.852,2.211,86.956,0.003,54.642,2.713,5.866,60.506
4600.875,4592.498,125.68,-23.837,172.368,163.75,15.117,2.116,91.29,0.002,54.642,2.707,5.806,61.257
4601,4592.615,125.704,-23.801,176.027,167.225,15.117,2.196,86.066,0.003,54.908,2.706,5.792,61.257
4601.125,4592.732,125.728,-23.766,183.053,173.901,15.861,2.044,92.272,0.002,55.083,2.708,5.784,63.346
4601.25,4592.85,125.751,-23.73,182.21,173.099,17.072,1.772,99.99,0.002,54.992,2.71,5.931,66.678
4601.375,4592.967,125.775,-23.695,178.448,169.526,17.417,1.762,99.99,0.002,54.921,2.71,6.111,67.612
4601.5,4593.085,125.799,-23.659,167.247,158.885,17.596,2.048,96.805,0.002,54.921,2.707,6.655,68.095
4601.625,4593.202,125.822,-23.623,149.49,142.015,18.473,2.142,97.356,0.002,54.836,2.702,7.266,70.435
4601.75,4593.32,125.846,-23.588,136.827,129.986,19.397,2.027,99.99,0.002,54.978,2.699,7.507,72.858
4601.875,4593.437,125.87,-23.552,107.902,102.507,21.499,1.801,99.99,0.002,55.471,2.688,7.712,78.216
4602,4593.555,125.893,-23.517,86.796,82.456,23.224,1.317,99.99,0.001,55.859,2.672,7.535,82.462
4602.125,4593.672,125.917,-23.481,82.152,78.044,23.725,1.146,99.99,0.001,56.18,2.663,7.328,83.669
4602.25,4593.79,125.941,-23.445,86.055,81.752,23.09,0.858,99.99,0.001,56.18,2.645,6.643,82.136
4602.375,4593.907,125.964,-23.41,96.74,91.903,21.691,0.865,99.99,0.001,55.914,2.638,6.176,78.695
4602.5,4594.024,125.988,-23.374,143.289,136.124,15.114,2.048,99.99,0.002,55.124,2.634,5.272,61.247
4602.625,4594.142,126.012,-23.338,217.052,206.2,10.971,2.536,63.749,0.004,53.701,2.647,4.841,48.996
4602.75,4594.259,126.035,-23.303,250.822,238.281,9.28,2.191,70.806,0.003,51.243,2.66,4.84,43.661
4602.875,4594.377,126.059,-23.267,277.539,263.662,7.051,2.83,48.309,0.005,50.793,2.692,5.078,36.3
4603,4594.494,126.083,-23.231,241.784,229.695,7.002,2.811,52.64,0.005,50.793,2.719,5.425,36.134
4603.125,4594.612,126.106,-23.196,212.11,201.504,7.836,2.597,62.639,0.004,50.801,2.727,5.665,38.939
4603.25,4594.729,126.13,-23.16,160.683,152.649,10.498,2.235,88.572,0.003,51.316,2.733,6.431,47.524
4603.375,4594.847,126.154,-23.124,138.208,131.298,12.84,1.978,99.99,0.002,51.769,2.73,7.428,54.659
4603.5,4594.964,126.177,-23.088,137.595,130.965,13.467,2.109,99.99,0.002,52.232,2.725,7.793,56.507
4603.625,4595.082,126.201,-23.053,152.797,145.157,13.794,2.046,99.99,0.002,52.232,2.716,7.82,57.462
4603.75,4595.199,126.225,-23.017,182.363,173.244,13.779,2.01,94.465,0.002,52.232,2.695,6.911,57.419
4603.875,4595.316,126.248,-22.981,199.822,189.831,13.855,1.918,95.247,0.002,52.19,2.687,6.263,57.639
4604,4595.434,126.272,-22.945,232.867,221.223,14.286,0.976,99.99,0.001,52.241,2.674,4.989,58.886
4604.125,4595.551,126.296,-22.91,245.002,232.752,14.638,0.448,99.99,0,52.478,2.67,4.508,59.895
4604.25,4595.668,126.32,-22.874,254.494,241.769,15.341,0.054,99.99,0,52.961,2.665,4.056,61.888
4604.375,4595.786,126.343,-22.838,244.756,232.518,15.628,0.071,99.99,0,52.961,2.662,4.224,62.694
4604.5,4595.903,126.367,-22.802,234.508,222.782,15.548,0.655,99.99,0,53.466,2.661,4.449,62.469
4604.625,4596.021,126.391,-22.766,207.409,197.039,14.92,1.501,99.99,0.001,54.066,2.664,4.986,60.698
4604.75,4596.138,126.414,-22.731,178.447,169.524,14.067,2.18,86.219,0.003,54.353,2.669,5.47,58.253
4604.875,4596.255,126.438,-22.695,166.411,158.09,13.88,2.398,79.392,0.003,54.525,2.673,5.648,57.713
4605,4596.373,126.462,-22.659,151.836,144.244,15.401,2.043,99.99,0.002,54.525,2.683,5.816,62.057
4605.125,4596.49,126.486,-22.623,153.483,145.808,16.924,1.524,99.99,0.001,54.491,2.689,5.726,66.276
4605.25,4596.607,126.509,-22.587,160.591,152.561,16.934,1.421,99.99,0.001,54.425,2.688,5.605,66.303
4605.375,4596.725,126.533,-22.551,185.218,175.957,15.198,1.7,99.99,0.001,54.377,2.678,5.256,61.485
4605.5,4596.842,126.557,-22.515,201.182,191.123,14.008,1.912,95.263,0.002,54.33,2.671,5.049,58.084
4605.625,4596.959,126.581,-22.479,230.916,219.37,12.713,2.062,80.137,0.002,54.33,2.663,4.663,54.281
4605.75,4597.077,126.604,-22.444,240.061,228.058,13.261,1.786,94.186,0.002,54.33,2.667,4.506,55.903
4605.875,4597.194,126.628,-22.408,234.202,222.492,13.694,1.597,99.99,0.001,54.075,2.673,4.57,57.17
4606,4597.312,126.652,-22.372,210.585,200.056,14.022,1.6,99.99,0.001,53.655,2.684,4.972,58.124
4606.125,4597.429,126.676,-22.336,186.279,176.965,13.773,1.977,95.303,0.002,53.399,2.694,5.599,57.401
4606.25,4597.546,126.699,-22.3,176.061,167.258,13.576,2.138,89.036,0.002,53.119,2.699,5.924,56.826
4606.375,4597.664,126.723,-22.264,160.277,152.263,13.423,2.422,80.05,0.003,53.119,2.711,6.432,56.378
4606.5,4597.781,126.747,-22.228,155.666,147.883,13.649,2.523,77.261,0.004,53.522,2.721,6.543,57.039
4606.625,4597.898,126.771,-22.192,159.479,151.505,14.071,2.355,83.178,0.003,53.456,2.724,6.418,58.264
4606.75,4598.016,126.794,-22.156,188.065,178.662,14.836,1.743,99.99,0.002,53.164,2.724,5.91,60.459
4606.875,4598.133,126.818,-22.12,257.228,244.366,14.042,1.35,99.99,0.001,52.407,2.723,5.334,58.181
4607,4598.25,126.842,-22.084,300.143,285.136,13.011,1.359,99.99,0.001,51.966,2.726,5.127,55.166
4607.125,4598.367,126.866,-22.048,359.389,341.42,10.845,1.867,71.03,0.002,51.966,2.739,5.001,48.607
4607.25,4598.485,126.89,-22.012,362.356,344.238,10.181,1.913,68.547,0.002,51.449,2.749,5.085,46.529
4607.375,4598.602,126.913,-21.976,322.289,306.174,10.006,1.976,70.244,0.002,51.269,2.771,5.458,45.979
4607.5,4598.719,126.937,-21.94,270.793,257.254,11.102,1.689,94.523,0.001,51.138,2.785,5.95,49.4
4607.625,4598.836,126.961,-21.904,254.501,241.776,11.916,1.66,99.99,0.001,51.444,2.788,6.189,51.889
4607.75,4598.954,126.985,-21.867,241.193,229.134,13.379,1.425,99.99,0.001,51.561,2.785,6.496,56.251
4607.875,4599.071,127.009,-21.831,237.559,225.681,13.604,1.375,99.99,0.001,51.561,2.779,6.325,56.907
4608,4599.188,127.032,-21.795,234.258,222.545,13.2,1.671,99.99,0.001,52.054,2.776,6.042,55.724
4608.125,4599.306,127.056,-21.759,224.029,212.828,12.089,1.877,91.879,0.002,52.644,2.769,5.356,52.411
4608.25,4599.423,127.08,-21.723,215.197,204.437,11.443,1.865,94.712,0.002,52.761,2.752,4.925,50.449
4608.375,4599.54,127.104,-21.687,212.315,201.699,11.305,1.883,94.272,0.002,52.785,2.739,4.826,50.024
4608.5,4599.658,127.128,-21.651,210.667,200.134,10.983,1.937,91.331,0.002,52.785,2.709,4.651,49.033
4608.625,4599.775,127.151,-21.615,214.118,203.412,10.756,1.975,88.312,0.002,52.907,2.697,4.501,48.329
