采出方式,生产日期,生产时间_(H),套压(MPa)_关井,套压(MPa)_平均,油压(MPa)_关井,油压(MPa)_平均,井口温度,日产气量_(m^3),日产水量_(t),日产油量_(t),日放空气量_(m^3),月产气量_(m^3),月产水量_(t),月产油量_(t),月放空气量_(m^3),年产气量_(10^4m^3),年产水量_(10^4t),年产油量_(10^4t),年放空气量_(10^4m^3),累产气量_(10^8m^3),累产水量_(10^4t),累产油量_(10^4t),累放空气量_(10^8m^3),输压_(MPa),气举注气量_(m^3),备注
自喷,2013/10/6,24,,47.89,,62.49,,292296,2.2,,,1728952,13.4,,,3587.1881,0.0287,0,0,0.35871881,0.0287,0,0,4.3,,本月1日～31日表层套管压力0MPa~0.2MPa，技术套管压力11.8MPa～0.2MPa
自喷,2013/10/7,24,,47.98,,62.48,,288915,2.6,,,2017867,16,,,3616.0796,0.02896,0,0,0.36160796,0.02896,0,0,4.3,,
自喷,2013/10/8,24,,48.08,,62.48,,294078,2.3,,,2311945,18.3,,,3645.4874,0.02919,0,0,0.36454874,0.02919,0,0,4.3,,
自喷,2013/10/9,24,,48.14,,62.47,,303314,2.3,,,2615259,20.6,,,3675.8188,0.02942,0,0,0.36758188,0.02942,0,0,4.3,,
自喷,2013/10/10,24,,48.22,,62.46,,306181,2.4,,,2921440,23,,,3706.4369,0.02966,0,0,0.37064369,0.02966,0,0,4.3,,
自喷,2013/10/11,24,,48.2,,62.46,,305509,2.2,,,3226949,25.2,,,3736.9878,0.02988,0,0,0.37369878,0.02988,0,0,4.4,,
自喷,2013/10/12,22,46.67,46.33,62.81,62.61,,213183,1.3,,,3440132,26.5,,,3758.3061,0.03001,0,0,0.37583061,0.03001,0,0,4,,12日13:30更换一级针阀关井，关井套压48.239MPa，油压 62.449MPa，15:30开井，开井套压44.917MPa，油压 62.758MPa，针阀开度18/100
自喷,2013/10/13,24,,45.48,,62.49,,196960,1.4,,,3637092,27.9,,,3778.0021,0.03015,0,0,0.37780021,0.03015,0,0,4.3,,13日0:40针阀开度18/100调至11/100
自喷,2013/10/14,24,,44.46,,62.34,,189891,1.7,,,3826983,29.6,,,3796.9912,0.03032,0,0,0.37969912,0.03032,0,0,4,,14日0:40针阀开度11/100调至18/100
自喷,2013/10/15,24,,46.74,,62.43,,287171,2.3,,,4114154,31.9,,,3825.7083,0.03055,0,0,0.38257083,0.03055,0,0,4.5,,15日9:50针阀开度18/100调至28/100
自喷,2013/10/16,24,,47.61,,62.45,,298667,2.5,,,4412821,34.4,,,3855.575,0.0308,0,0,0.3855575,0.0308,0,0,4.4,,
自喷,2013/10/17,24,,47.84,,62.46,,301952,2.3,,,4714773,36.7,,,3885.7702,0.03103,0,0,0.38857702,0.03103,0,0,4.3,,
自喷,2013/10/18,24,,47.96,,62.46,,304200,2.6,,,5018973,39.3,,,3916.1902,0.03129,0,0,0.39161902,0.03129,0,0,4.3,,
自喷,2013/10/19,24,,48.01,,62.45,,306548,2.5,,,5325521,41.8,,,3946.845,0.03154,0,0,0.3946845,0.03154,0,0,4.3,,
自喷,2013/10/20,24,,47.84,,62.46,,298427,2.5,,,5623948,44.3,,,3976.6877,0.03179,0,0,0.39766877,0.03179,0,0,4.4,,
自喷,2013/10/21,24,,47.85,,62.45,,304183,2.4,,,5928131,46.7,,,4007.106,0.03203,0,0,0.4007106,0.03203,0,0,4.7,,
自喷,2013/10/22,24,,47.92,,62.44,,308286,2.4,,,6236417,49.1,,,4037.9346,0.03227,0,0,0.40379346,0.03227,0,0,4.7,,
自喷,2013/10/23,24,,47.97,,62.43,,311142,2.2,,,6547559,51.3,,,4069.0488,0.03249,0,0,0.40690488,0.03249,0,0,4.4,,
自喷,2013/10/24,24,,47.8,,62.44,,301727,2.5,,,6849286,53.8,,,4099.2215,0.03274,0,0,0.40992215,0.03274,0,0,4.3,,24日10:00针阀开度28/100调至22/100
自喷,2013/10/25,24,,47.82,,62.43,,307759,2.4,,,7157045,56.2,,,4129.9974,0.03298,0,0,0.41299974,0.03298,0,0,4.3,,
自喷,2013/10/26,24,,47.91,,62.42,,313055,2.5,,,7470100,58.7,,,4161.3029,0.03323,0,0,0.41613029,0.03323,0,0,4.3,,
自喷,2013/10/27,24,,47.69,,62.43,,303386,3.6,,,7773486,62.3,,,4191.6415,0.03359,0,0,0.41916415,0.03359,0,0,4.3,,27日8:00针阀开度22/100调至20/100
自喷,2013/10/28,24,,47.76,,62.41,,312048,2.2,,,8085534,64.5,,,4222.8463,0.03381,0,0,0.42228463,0.03381,0,0,4.4,,
自喷,2013/10/29,24,,47.74,,62.41,,311901,3.5,,,8397435,68,,,4254.0364,0.03416,0,0,0.42540364,0.03416,0,0,4.4,,
自喷,2013/10/30,24,,47.83,,62.4,,318732,2.5,,,8716167,70.5,,,4285.9096,0.03441,0,0,0.42859096,0.03441,0,0,4.3,,30日天然气中硫化氢含量7.56g/m3 ，水中硫化氢含量393mg/L
自喷,2013/10/31,24,,47.92,,62.38,,324852,2,,,9041019,72.5,,,4318.3948,0.03461,0,0,0.43183948,0.03461,0,0,4.5,,
自喷,2013/11/1,24,,47.95,,62.37,,328701,2.6,,,328701,2.6,,,4351.2649,0.03487,0,0,0.43512649,0.03487,0,0,4.6,,本月1日～30日水样半分析氯根含量：13664mg/L，PH值：6。 
自喷,2013/11/2,24,,47.97,,62.37,,329598,2.5,,,658299,5.1,,,4384.2247,0.03512,0,0,0.43842247,0.03512,0,0,4.5,,本月1日～30日表层套管压力0MPa，技术套管压力0.5MPa～9.9MPa 
自喷,2013/11/3,24,,47.94,,62.37,,328091,2.7,,,986390,7.8,,,4417.0338,0.03539,0,0,0.44170338,0.03539,0,0,4.5,,
自喷,2013/11/4,24,,48.06,,62.35,,335960,2.8,,,1322350,10.6,,,4450.6298,0.03567,0,0,0.44506298,0.03567,0,0,4.6,,
自喷,2013/11/5,24,,47.88,,62.37,,324084,2.5,,,1646434,13.1,,,4483.0382,0.03592,0,0,0.44830382,0.03592,0,0,4.6,,5日8:00针阀开度20/100调至18/100 
自喷,2013/11/6,24,,48.04,,62.34,,336339,2.3,,,1982773,15.4,,,4516.6721,0.03615,0,0,0.45166721,0.03615,0,0,4.8,,
自喷,2013/11/7,24,,47.62,,62.38,,312809,2.5,,,2295582,17.9,,,4547.953,0.0364,0,0,0.4547953,0.0364,0,0,4.8,,7日8:00针阀开度18/100调至16/100 
自喷,2013/11/8,24,,47.79,,62.35,,327995,2.5,,,2623577,20.4,,,4580.7525,0.03665,0,0,0.45807525,0.03665,0,0,4.9,,8日19:00针阀开度16/100调至12/100 
自喷,2013/11/9,24,,47.94,,62.38,,308418,3,,,2931995,23.4,,,4611.5943,0.03695,0,0,0.46115943,0.03695,0,0,4.7,,
自喷,2013/11/10,24,,47.04,,62.39,,297370,2.3,,,3229365,25.7,,,4641.3313,0.03718,0,0,0.46413313,0.03718,0,0,4.7,,
自喷,2013/11/11,24,,47.24,,62.37,,310390,2.2,,,3539755,27.9,,,4672.3703,0.0374,0,0,0.46723703,0.0374,0,0,4.9,,
自喷,2013/11/12,24,,47.48,,62.35,,322829,2.3,,,3862584,30.2,,,4704.6532,0.03763,0,0,0.47046532,0.03763,0,0,4.8,,12日9:00针阀开度12/100调至10/100 
自喷,2013/11/13,24,,47.25,,62.37,,304118,2.2,,,4166702,32.4,,,4735.065,0.03785,0,0,0.4735065,0.03785,0,0,4.7,,
自喷,2013/11/14,24,,47.41,,62.35,,321956,2.3,,,4488658,34.7,,,4767.2606,0.03808,0,0,0.47672606,0.03808,0,0,4.8,,
自喷,2013/11/15,24,,47.44,,62.35,,318574,2.4,,,4807232,37.1,,,4799.118,0.03832,0,0,0.4799118,0.03832,0,0,5,,
自喷,2013/11/16,24,,47.31,,62.36,,311338,2.5,,,5118570,39.6,,,4830.2518,0.03857,0,0,0.48302518,0.03857,0,0,5,,16日18:00针阀开度10/100调至8/100 
自喷,2013/11/17,24,,47.21,,62.35,,314998,2.4,,,5433568,42,,,4861.7516,0.03881,0,0,0.48617516,0.03881,0,0,4.9,,
自喷,2013/11/18,24,,47.53,,62.32,,331857,2.5,,,5765425,44.5,,,4894.9373,0.03906,0,0,0.48949373,0.03906,0,0,5,,
自喷,2013/11/19,24,,47.76,,62.3,,340742,6.3,,,6106167,50.8,,,4929.0115,0.03969,0,0,0.49290115,0.03969,0,0,5,,
自喷,2013/11/20,24,,47.35,,62.34,,315977,2.5,,,6422144,53.3,,,4960.6092,0.03994,0,0,0.49606092,0.03994,0,0,4.8,,20日9:00针阀开度8/100调至6/100 
自喷,2013/11/21,24,,47.46,,62.31,,329648,2.8,,,6751792,56.1,,,4993.574,0.04022,0,0,0.4993574,0.04022,0,0,4.9,,
自喷,2013/11/22,24,,45.71,,62.4,,227393,2.5,,,6979185,58.6,,,5016.3133,0.04047,0,0,0.50163133,0.04047,0,0,4.2,,22日17:00针阀开度6/100调至0.3/100 
自喷,2013/11/23,24,,44.33,,62.33,,203468,1.2,,,7182653,59.8,,,5036.6601,0.04059,0,0,0.50366601,0.04059,0,0,4.2,,
自喷,2013/11/24,24,,44.31,,62.33,,223148,1.2,,,7405801,61,,,5058.9749,0.04071,0,0,0.50589749,0.04071,0,0,4.4,,
自喷,2013/11/25,24,,44.8,,62.36,,238992,1.3,,,7644793,62.3,,,5082.8741,0.04084,0,0,0.50828741,0.04084,0,0,4.6,,25日15:00针阀开度0.3/100调至0.1/100 
自喷,2013/11/26,24,,44.97,,62.38,,240424,1.3,,,7885217,63.6,,,5106.9165,0.04097,0,0,0.51069165,0.04097,0,0,4.6,,
自喷,2013/11/27,24,,45.1,,62.39,,247253,1.5,,,8132470,65.1,,,5131.6418,0.04112,0,0,0.51316418,0.04112,0,0,4.7,,
自喷,2013/11/28,24,,45.3,,62.39,,254713,1.5,,,8387183,66.6,,,5157.1131,0.04127,0,0,0.51571131,0.04127,0,0,4.5,,
自喷,2013/11/29,24,,45.52,,62.39,,260325,2,,,8647508,68.6,,,5183.1456,0.04147,0,0,0.51831456,0.04147,0,0,4.5,,"29日11:00更换井口一级针阀关井，关井套压45.682MPa，油压62.382MPa,18:00开井，开井套压40.568MPa，油压62.782MPa，针阀19/100"
自喷,2013/11/30,17,45.7,43.32,62.84,62.45,,143140,1,,,8790648,69.6,,,5197.4596,0.04157,0,0,0.51974596,0.04157,0,0,4.6,,
自喷,2013/12/1,24,,43.18,,62.26,48.8,178668,1,,,178668,1,,,5215.3264,0.04167,0,0,0.52153264,0.04167,0,0,4.5,,本月1日～31日水样半分析氯根含量：18796mg/L，PH值：6，表层套管压力0MPa~0.4MPa，技术套管压力0MPa
自喷,2013/12/2,24,,42.68,,62.03,48,169479,1,,,348147,2,,,5232.2743,0.04177,0,0,0.52322743,0.04177,0,0,4.5,,
自喷,2013/12/3,24,,42.32,,61.9,46,135385,1.2,,,483532,3.2,,,5245.8128,0.04189,0,0,0.52458128,0.04189,0,0,4.3,,3日9:00针阀开度14/100调至10/100
自喷,2013/12/4,24,,42.44,,61.97,46,166702,1.5,,,650234,4.7,,,5262.483,0.04204,0,0,0.5262483,0.04204,0,0,4.4,,
自喷,2013/12/5,24,,41.26,,61.75,46,98765,1,,,748999,5.7,,,5272.3595,0.04214,0,0,0.52723595,0.04214,0,0,4.2,,5日9:30针阀开度10/100调至0.1/100
自喷,2013/12/6,24,,40.78,,61.1,42,101801,1.2,,,850800,6.9,,,5282.5396,0.04226,0,0,0.52825396,0.04226,0,0,4.3,,
自喷,2013/12/7,24,,40.44,,60.46,42,98533,1,,,949333,7.9,,,5292.3929,0.04236,0,0,0.52923929,0.04236,0,0,4.2,,
自喷,2013/12/8,21,39.41,40.34,60.69,61.13,34.9,90113,0.8,,,1039446,8.7,,,5301.4042,0.04244,0,0,0.53014042,0.04244,0,0,4,,8日8:00因井口三级节流脏物堵塞导致井口自动截断阀关闭关井，关井套压39.22MPa，油压59.73MPa，11:00开井，开井套压39.41MPa，油压60.69MPa
自喷,2013/12/9,24,,40.7,,60.68,39.8,99287,0.7,,,1138733,9.4,,,5311.3329,0.04251,0,0,0.53113329,0.04251,0,0,4,,
自喷,2013/12/10,24,,41,,60.9,39.8,106500,1,,,1245233,10.4,,,5321.9829,0.04261,0,0,0.53219829,0.04261,0,0,4.1,,
自喷,2013/12/11,24,,41.21,,61.03,39.6,110282,0.8,,,1355515,11.2,,,5333.0111,0.04269,0,0,0.53330111,0.04269,0,0,4,,
自喷,2013/12/12,24,,41.2,,60.92,38.4,108813,0.8,,,1464328,12,,,5343.8924,0.04277,0,0,0.53438924,0.04277,0,0,4.3,,12日天然气中硫化氢含量8.26g/m3 ，水中硫化氢含量314.34mg/L
自喷,2013/12/13,24,,41.24,,60.9,39,108841,0.8,,,1573169,12.8,,,5354.7765,0.04285,0,0,0.53547765,0.04285,0,0,4.4,,
自喷,2013/12/14,24,,41.34,,61,39.1,112989,0.4,,,1686158,13.2,,,5366.0754,0.04289,0,0,0.53660754,0.04289,0,0,4.4,,
自喷,2013/12/15,24,,41.57,,61.16,39,117865,0.6,,,1804023,13.8,,,5377.8619,0.04295,0,0,0.53778619,0.04295,0,0,4.4,,
自喷,2013/12/16,24,,41.79,,61.3,40,122557,0.6,,,1926580,14.4,,,5390.1176,0.04301,0,0,0.53901176,0.04301,0,0,4.4,,
自喷,2013/12/17,24,,41.77,,61.21,40,116458,0.4,,,2043038,14.8,,,5401.7634,0.04305,0,0,0.54017634,0.04305,0,0,4.4,,
自喷,2013/12/18,24,,41.76,,61.16,38.1,114566,0.4,,,2157604,15.2,,,5413.22,0.04309,0,0,0.541322,0.04309,0,0,4.2,,
自喷,2013/12/19,24,,41.82,,61.18,38,116723,0.4,,,2274327,15.6,,,5424.8923,0.04313,0,0,0.54248923,0.04313,0,0,4.3,,
自喷,2013/12/20,23.17,41.97,41.75,61.26,61.14,37.8,109499,0.4,,,2383826,16,,,5435.8422,0.04317,0,0,0.54358422,0.04317,0,0,4.2,,20日11:50因井口截断阀导压管泄漏关井，关井套压41.97MPa，油压61.26MPa，12:40开井，开井套压41.00MPa，油压61.184MPa
自喷,2013/12/21,24,,41.92,,61.12,38,113520,0.6,,,2497346,16.6,,,5447.1942,0.04323,0,0,0.54471942,0.04323,0,0,4,,
自喷,2013/12/22,24,,42.14,,61.26,40,117835,1.1,,,2615181,17.7,,,5458.9777,0.04334,0,0,0.54589777,0.04334,0,0,4,,
自喷,2013/12/23,24,,41.77,,60.97,38.2,98583,0.2,,,2713764,17.9,,,5468.836,0.04336,0,0,0.5468836,0.04336,0,0,3.9,,
自喷,2013/12/24,24,,41.71,,60.69,37.1,101668,0.8,,,2815432,18.7,,,5479.0028,0.04344,0,0,0.54790028,0.04344,0,0,4,,
自喷,2013/12/25,24,,44.05,,61.7,48,210438,1.5,,,3025870,20.2,,,5500.0466,0.04359,0,0,0.55000466,0.04359,0,0,4.6,,25日18:20针阀开度0.1/100调至30/100
自喷,2013/12/26,24,,47.64,,62.43,51.6,295487,1.5,,,3321357,21.7,,,5529.5953,0.04374,0,0,0.55295953,0.04374,0,0,4.7,,
自喷,2013/12/27,24,,48.2,,62.47,53.6,290668,3.5,,,3612025,25.2,,,5558.6621,0.04409,0,0,0.55586621,0.04409,0,0,4.6,,
自喷,2013/12/28,24,,48.53,,62.46,54,294671,3,,,3906696,28.2,,,5588.1292,0.04439,0,0,0.55881292,0.04439,0,0,4.6,,
自喷,2013/12/29,24,,48.9,,62.49,55,296275,3,,,4202971,31.2,,,5617.7567,0.04469,0,0,0.56177567,0.04469,0,0,4.6,,
自喷,2013/12/30,24,,49,,62.5,56,301274,3,,,4504245,34.2,,,5647.8841,0.04499,0,0,0.56478841,0.04499,0,0,4.7,,
自喷,2013/12/31,24,,48.4,,62.5,53.3,216648,1.9,,,4720893,36.1,,,5669.5489,0.04518,0,0,0.56695489,0.04518,0,0,4.3,,31日15:50针阀开度30/100调至12/100
自喷,2014/1/1,24,,48.3,,62.5,49,209511,2,,,209511,2,,,20.9511,0.0002,0,0,0.56905,0.04538,0,0,4.2,,本月1日～31日水样半分析氯根含量：18796mg/L，PH值：6，表层套管压力0.20MPa~0.30MPa，技术套管压力0.00MPa～25.80MPa。
自喷,2014/1/2,24,,35.9,,62.5,50,210231,1.7,,,419742,3.7,,,41.9742,0.00037,0,0,0.57115231,0.04555,0,0,4.3,,
自喷,2014/1/3,24,,47,,62.5,51,225712,1.8,,,645454,5.5,,,64.5454,0.00055,0,0,0.57340943,0.04573,0,0,4.4,,
自喷,2014/1/4,24,,46.9,,62.8,51.4,226749,2,,,872203,7.5,,,87.2203,0.00075,0,0,0.57567692,0.04593,0,0,4.4,,4日11:10更换套压表，换前换后一致，均为47.00MPa
自喷,2014/1/5,24,,47,,63,51,219919,1.9,,,1092122,9.4,,,109.2122,0.00094,0,0,0.57787611,0.04612,0,0,4.4,,
自喷,2014/1/6,24,,46.5,,63,50.8,217903,2,,,1310025,11.4,,,131.0025,0.00114,0,0,0.58005514,0.04632,0,0,4.2,,
自喷,2014/1/7,24,,46.5,,63,51.2,229178,2.2,,,1539203,13.6,,,153.9203,0.00136,0,0,0.58234692,0.04654,0,0,4.2,,
自喷,2014/1/8,24,,46.3,,63,52,225965,2.1,,,1765168,15.7,,,176.5168,0.00157,0,0,0.58460657,0.04675,0,0,4.3,,8日天然气中硫化氢含量7.38g/m3 ，水中硫化氢含量331.48mg/L
自喷,2014/1/9,24,,45.5,,63.4,47,152696,1.2,,,1917864,16.9,,,191.7864,0.00169,0,0,0.58613353,0.04687,0,0,4.5,,9日13:40针阀开度12/100调至0.1/100
自喷,2014/1/10,24,,43.7,,62.5,41.8,114230,0.6,,,2032094,17.5,,,203.2094,0.00175,0,0,0.58727583,0.04693,0,0,4,,
自喷,2014/1/11,10.75,42.8,42.9,62.5,62.4,24.9,62380,0.2,,,2094474,17.7,,,209.4474,0.00177,0,0,0.58789963,0.04695,0,0,5,,11日9:30~9:31对技术套管泄压25.80MPa↓0.00MPa，18:45因岳105井清管调度室通知关井，关井套压42.80MPa，油压62.40MPa。
自喷,2014/1/12,16.67,38.9,40.1,63.3,63.1,28.3,83733,0.3,,,2178207,18,,,217.8207,0.0018,0,0,0.58873696,0.04698,0,0,3.8,,12日15:20开井，开井套压38.70MPa，油压63.30MPa。
自喷,2014/1/13,24,,39.4,,62.7,38.2,113928,1.6,,,2292135,19.6,,,229.2135,0.00196,0,0,0.58987624,0.04714,0,0,3.8,,
自喷,2014/1/14,3.75,40.8,40.9,62.5,62.5,26,17144,0.2,,,2309279,19.8,,,230.9279,0.00198,0,0,0.59004768,0.04716,0,0,3.8,,14日11:45因50万撬装碰口关井，关井套压40.80MPa，油压62.50MPa，4号阀门关闭无油压显示。
自喷,2014/1/15,0,37,37,,,,,,,,2309279,19.8,,,230.9279,0.00198,0,0,0.59004768,0.04716,0,0,,,
自喷,2014/1/16,0,36.5,36.5,,,,,,,,2309279,19.8,,,230.9279,0.00198,0,0,0.59004768,0.04716,0,0,,,
自喷,2014/1/17,0,36.4,36.4,,,,,,,,2309279,19.8,,,230.9279,0.00198,0,0,0.59004768,0.04716,0,0,,,
自喷,2014/1/18,0,36,36,,,,,,,,2309279,19.8,,,230.9279,0.00198,0,0,0.59004768,0.04716,0,0,,,
自喷,2014/1/19,15,36.2,35.9,63,63,22.2,101210,0.3,,,2410489,20.1,,,241.0489,0.00201,0,0,0.59105978,0.04719,0,0,4.1,,19日17:00开井，开井套压36.20MPa，油压63.00MPa。
自喷,2014/1/20,24,,39,,63,40,174353,1.4,,,2584842,21.5,,,258.4842,0.00215,0,0,0.59280331,0.04733,0,0,4,,20日8:30~8:31对技术套管泄压13.00MPa↓0.00MPa。
自喷,2014/1/21,24,,40.4,,62.7,41.8,166425,0.6,,,2751267,22.1,,,275.1267,0.00221,0,0,0.59446756,0.04739,0,0,4,,21日8:30~8:31对技术套管泄压20.00MPa↓0.00MPa。
自喷,2014/1/22,20.5,39.5,39.9,62.6,62.7,37.9,131871,1.5,,,2883138,23.6,,,288.3138,0.00236,0,0,0.59578627,0.04754,0,0,4.2,,22日18:30因磨47井脱硫塔故障关井，关井套压40.80MPa，油压62.80MPa，22:00开井，开井套压37.80MPa，油压62.50MPa。
自喷,2014/1/23,21.5,43,42.4,63.5,63,48,265158,3,,,3148296,26.6,,,314.8296,0.00266,0,0,0.59843785,0.04784,0,0,5.1,,23日20:00因磨47井平衡输压关井，关井套压46.80MPa，油压63.50MPa，22:30开井，开井套压41.00MPa，油压63.50MPa。
自喷,2014/1/24,24,,42,,63,42,143456,0.8,,,3291752,27.4,,,329.1752,0.00274,0,0,0.59987241,0.04792,0,0,4,,
自喷,2014/1/25,24,,42.8,,62.2,52.7,355298,4.2,,,3647050,31.6,,,364.705,0.00316,0,0,0.60342539,0.04834,0,0,5.1,,25日22:00针阀开度0.1/100调至50/100，开50万装置生产。
自喷,2014/1/26,21.5,48,43.9,63,62.7,55,266651,2,,,3913701,33.6,,,391.3701,0.00336,0,0,0.6060919,0.04854,0,0,4.7,,26日14:40因磨47井平衡输压关井，关井套压48.00MPa，油压62.00MPa。17:10开井，开井套压43.00MPa，油压63.00MPa，针阀0.1/100。
自喷,2014/1/27,24,,40.2,,63,44.7,129041,1.4,,,4042742,35,,,404.2742,0.0035,0,0,0.60738231,0.04868,0,0,3.8,,
自喷,2014/1/28,24,,40,,63,43,135328,1.3,,,4178070,36.3,,,417.807,0.00363,0,0,0.60873559,0.04881,0,0,3.8,,
自喷,2014/1/29,24,,39.8,,62.9,43,139109,1.1,,,4317179,37.4,,,431.7179,0.00374,0,0,0.61012668,0.04892,0,0,3.8,,
自喷,2014/1/30,24,,39.6,,62.5,43.2,142238,1.2,,,4459417,38.6,,,445.9417,0.00386,0,0,0.61154906,0.04904,0,0,3.9,,
自喷,2014/1/31,24,,39.6,,62.5,43,146403,1.5,,,4605820,40.1,,,460.582,0.00401,0,0,0.61301309,0.04919,0,0,3.9,,
自喷,2014/2/1,24,,39.6,,62.5,43,148868,0.7,,,148868,0.7,,,475.4688,0.00408,0,0,0.61450177,0.04926,0,0,3.8,,本月水样半分析氯根含量：18796mg/L，PH值：6，表层套管压力0.40MPa~2.50MPa，技术套管压力0.00MPa～15.00MPa。
自喷,2014/2/2,24,,39.6,,62.5,44,144460,1.5,,,293328,2.2,,,489.9148,0.00423,0,0,0.61594637,0.04941,0,0,3.4,,
自喷,2014/2/3,24,,39.6,,62.5,43.6,148496,1.2,,,441824,3.4,,,504.7644,0.00435,0,0,0.61743133,0.04953,0,0,3.3,,
自喷,2014/2/4,24,,39.6,,62.5,44.1,147802,1.2,,,589626,4.6,,,519.5446,0.00447,0,0,0.61890935,0.04965,0,0,3.8,,
自喷,2014/2/5,24,,39.6,,62.5,43.6,149837,1,,,739463,5.6,,,534.5283,0.00457,0,0,0.62040772,0.04975,0,0,3.4,,
自喷,2014/2/6,24,,39.6,,62.5,43.6,152914,1,,,892377,6.6,,,549.8197,0.00467,0,0,0.62193686,0.04985,0,0,3.5,,
自喷,2014/2/7,24,,39.6,,62.5,42.3,157515,1.2,,,1049892,7.8,,,565.5712,0.00479,0,0,0.62351201,0.04997,0,0,3.9,,
自喷,2014/2/8,24,,39.6,,62.5,43.5,166540,1.5,,,1216432,9.3,,,582.2252,0.00494,0,0,0.62517741,0.05012,0,0,3.9,,
自喷,2014/2/9,24,,39.6,,62.5,44.2,177916,1.3,,,1394348,10.6,,,600.0168,0.00507,0,0,0.62695657,0.05025,0,0,4,,
自喷,2014/2/10,24,,39.6,,62.5,45,181860,1.4,,,1576208,12,,,618.2028,0.00521,0,0,0.62877517,0.05039,0,0,3.9,,
自喷,2014/2/11,24,,39.8,,62.5,45,186832,1.2,,,1763040,13.2,,,636.886,0.00533,0,0,0.63064349,0.05051,0,0,4,,
自喷,2014/2/12,24,,39.8,,62.5,45,191484,1.2,,,1954524,14.4,,,656.0344,0.00545,0,0,0.63255833,0.05063,0,0,4,,12日23:10~23:11对技术套管泄压25.00MPa↓0.00MPa。
自喷,2014/2/13,21.67,36.7,36.7,60.7,58.3,45.9,174868,2.2,,,2129392,16.6,,,673.5212,0.00567,0,0,0.63430701,0.05085,0,0,3.9,,13日13:00因整改磨47井流程关井，关井套压38.90MPa，油压58.70MPa，15:20开井，开井套压36.10MPa，油压60.70MPa
自喷,2014/2/14,16.25,36,34.8,63,60,45,129179,1.2,,,2258571,17.8,,,686.4391,0.00579,0,0,0.6355988,0.05097,0,0,4,,14日8:30~8:31对技术套管泄压3.70MPa↓0.00MPa。11:30因整改磨47井流程关井，关井套压35.60MPa，油压56.00MPa，20:15开井，开井套压35.00MPa，油压6
自喷,2014/2/15,24,,36.4,,62.9,47.5,199355,1,,,2457926,18.8,,,706.3746,0.00589,0,0,0.63759235,0.05107,0,0,4,,
自喷,2014/2/16,24,,36.4,,63,48,205745,1.8,,,2663671,20.6,,,726.9491,0.00607,0,0,0.6396498,0.05125,0,0,4.2,,
自喷,2014/2/17,24,,36.8,,63,50,216331,1.2,,,2880002,21.8,,,748.5822,0.00619,0,0,0.64181311,0.05137,0,0,4.7,,
自喷,2014/2/18,24,,35.8,,63,50,226160,1.5,,,3106162,23.3,,,771.1982,0.00634,0,0,0.64407471,0.05152,0,0,5.9,,
自喷,2014/2/19,24,,37,,63,52.5,228859,2.5,,,3335021,25.8,,,794.0841,0.00659,0,0,0.6463633,0.05177,0,0,4.6,,
自喷,2014/2/20,24,,39.5,,61.9,64.3,495961,2.6,,,3830982,28.4,,,843.6802,0.00685,0,0,0.65132291,0.05203,0,0,7.1,,20日15:40针阀开度0.1/100调至45/100。
自喷,2014/2/21,24,,38.3,,62.2,62.8,295984,1.8,,,4126966,30.2,,,873.2786,0.00703,0,0,0.65428275,0.05221,0,0,4.9,,21日12:30针阀开度45/100调至0.1/100。
自喷,2014/2/22,24,,35.9,,62.3,55.7,215710,1.5,,8000,4342676,31.7,,8000,894.8496,0.00718,0,0.8,0.65643985,0.05236,0,8.00E-05,4.4,,22日16:20~17:00因输压高放空生产，输压6.70MPa↓4.00MPa，放空气量8000立方米。
自喷,2014/2/23,24,,35.1,,62.3,55.5,229983,1.8,,,4572659,33.5,,8000,917.8479,0.00736,0,0.8,0.65873968,0.05254,0,8.00E-05,4.2,,
自喷,2014/2/24,24,,34.4,,62.3,54.4,215647,1,,,4788306,34.5,,8000,939.4126,0.00746,0,0.8,0.66089615,0.05264,0,8.00E-05,4.3,,
自喷,2014/2/25,24,,33.4,,62.2,52,198262,2.5,,,4986568,37,,8000,959.2388,0.00771,0,0.8,0.66287877,0.05289,0,8.00E-05,4,,25日天然气中硫化氢含量7.31g/m3 ，水中硫化氢含量311.2mg/L，12:12~12:13对技术套管泄压0.80MPa↓0.00MPa。
自喷,2014/2/26,24,,32.9,,62.2,52,203078,2.5,,,5189646,39.5,,8000,979.5466,0.00796,0,0.8,0.66490955,0.05314,0,8.00E-05,4,,
自喷,2014/2/27,24,,32.8,,62.2,52.5,218705,2.5,,,5408351,42,,8000,1001.4171,0.00821,0,0.8,0.6670966,0.05339,0,8.00E-05,4.4,,
自喷,2014/2/28,24,,38,,61.4,77,612703,6,,,6021054,48,,8000,1062.6874,0.00881,0,0.8,0.67322363,0.05399,0,8.00E-05,7.3,,28日11:00针阀开度0.1/100调至45/100。
自喷,2014/3/1,24,,40.5,,60.9,79.5,665802,6.5,,,665802,6.5,,,1129.2676,0.00946,0,0.8,0.67988165,0.05464,0,8.00E-05,6.9,,1日~31日表层套管压力0.00MPa，技术套管压力0.00MPa～2.90MPa。
自喷,2014/3/2,24,,40.9,,60.9,82,665106,6,,,1330908,12.5,,,1195.7782,0.01006,0,0.8,0.68653271,0.05524,0,8.00E-05,6.9,,
