Depth,TVD,DX,DY,GR,CAL,RT,RXO,SH,POR,SW,PERM,ACN,DENN,CNLN
4527.125,4523.417,107.521,-46.268,27.633,8.71,90747.93,16664.697,2.158,1.012,4.881,0.004,49.081,2.637,0.984
4527.25,4523.542,107.524,-46.269,28.381,8.689,93114.156,17243.953,2.083,1.108,4.336,0.005,49.257,2.626,0.945
4527.375,4523.667,107.528,-46.27,28.496,8.644,85429.539,16330.664,1.92,1.133,4.51,0.005,49.274,2.626,0.951
4527.5,4523.792,107.532,-46.271,28.152,8.625,58410.367,13125.879,1.799,1.122,5.41,0.005,49.053,2.652,0.967
4527.625,4523.917,107.535,-46.272,27.802,8.617,32453.18,10427.173,1.782,1.154,6.764,0.006,49.053,2.665,1.029
4527.75,4524.042,107.539,-46.273,27.589,8.623,22970.686,9530.871,1.814,1.081,8.593,0.005,49.131,2.684,1.115
4527.875,4524.167,107.543,-46.274,26.738,8.618,21553.756,9476.26,1.881,0.983,9.311,0.003,48.915,2.69,1.13
4528,4524.292,107.547,-46.274,25.837,8.587,41335.238,12095.998,1.925,0.846,8.697,0.002,48.792,2.693,1.039
4528.125,4524.417,107.55,-46.275,25.937,8.56,55957.762,14252.214,2.1,0.68,8.886,0.001,48.628,2.701,0.963
4528.25,4524.542,107.554,-46.276,26.935,8.563,84732.445,19072.996,2.271,0.596,8.615,0.001,48.537,2.702,0.875
4528.375,4524.667,107.558,-46.277,27.176,8.62,93127.07,20781.07,2.269,0.606,7.903,0.001,48.537,2.7,0.914
4528.5,4524.792,107.561,-46.278,26.706,8.675,99397.828,21886.975,2.103,0.724,6.493,0.001,48.608,2.69,0.943
4528.625,4524.917,107.565,-46.279,25.019,8.777,94232.117,19189.369,1.997,0.886,5.368,0.002,48.788,2.674,0.953
4528.75,4525.042,107.569,-46.279,24.147,8.801,86436.008,16654.391,1.887,0.98,5.156,0.003,48.9,2.663,1.029
4528.875,4525.167,107.572,-46.28,23.722,8.765,62471.633,11798.765,2.052,0.953,6.247,0.003,48.828,2.651,1.151
4529,4525.292,107.576,-46.281,24.41,8.635,34703.039,8517.802,2.202,0.867,8.741,0.002,48.825,2.653,1.445
4529.125,4525.417,107.58,-46.282,24.586,8.539,26065.67,7860.99,2.372,0.706,12.745,0.001,48.66,2.668,1.388
4529.25,4525.542,107.583,-46.282,24.609,8.525,21895.59,7592.728,2.465,0.609,15.151,0.001,48.637,2.685,1.207
4529.375,4525.667,107.587,-46.283,24.868,8.572,32579.375,8447.843,2.497,0.641,12.677,0.001,48.739,2.687,0.838
4529.5,4525.792,107.591,-46.284,25.118,8.63,42485.258,9180.175,2.547,0.686,10.109,0.001,48.85,2.677,0.708
4529.625,4525.917,107.594,-46.285,25.579,8.634,64665.168,10576.486,2.608,0.752,7.736,0.001,48.942,2.664,0.627
4529.75,4526.042,107.598,-46.285,26.351,8.599,86299.977,11651.509,2.678,0.87,5.814,0.002,48.946,2.657,0.584
4529.875,4526.167,107.602,-46.286,26.965,8.557,92149.367,11757.737,2.856,0.946,5.077,0.003,49.259,2.646,0.575
4530,4526.292,107.605,-46.287,28.188,8.54,93093.938,10900.916,2.914,0.964,4.953,0.003,49.517,2.642,0.638
4530.125,4526.417,107.609,-46.287,28.726,8.526,89277.789,10121.078,2.883,0.895,5.521,0.003,49.553,2.644,0.802
4530.25,4526.542,107.613,-46.288,28.838,8.523,76392.469,8544.941,2.703,0.792,6.7,0.002,49.179,2.658,0.877
4530.375,4526.667,107.616,-46.289,28.243,8.53,57794.074,7543.551,2.511,0.811,7.375,0.001,49.056,2.667,0.888
4530.5,4526.792,107.62,-46.289,27.502,8.558,46031.449,7068.778,1.996,0.953,7.29,0.003,49.051,2.684,0.811
4530.625,4526.917,107.623,-46.29,26.017,8.586,27652.982,6237.427,1.659,1.142,7.531,0.005,49.095,2.7,0.787
4530.75,4527.042,107.627,-46.291,25.307,8.659,17112.676,5554.484,1.593,1.176,9.056,0.006,49.308,2.708,0.727
4530.875,4527.167,107.631,-46.291,25.533,8.708,15134.186,5365.172,1.689,1.094,10.716,0.005,49.224,2.706,0.598
4531,4527.292,107.634,-46.292,27.148,8.723,13912.57,5227.682,1.874,1.044,11.434,0.004,49.316,2.685,0.544
4531.125,4527.417,107.638,-46.293,29.526,8.734,17713.002,5548.714,1.929,0.891,12.204,0.002,49.316,2.675,0.611
4531.25,4527.542,107.642,-46.293,30.642,8.75,22460.855,5913.714,1.938,0.88,10.901,0.002,48.891,2.669,0.707
4531.375,4527.667,107.645,-46.294,31.333,8.76,31299.029,6576.102,1.818,0.901,9.319,0.002,48.958,2.664,0.802
4531.5,4527.792,107.649,-46.295,31.006,8.769,32864.945,6700.259,1.728,0.896,9.186,0.002,48.772,2.655,0.737
4531.625,4527.917,107.653,-46.295,30.948,8.765,25851.119,6150.817,1.685,0.93,10.043,0.003,48.737,2.63,0.712
4531.75,4528.042,107.656,-46.296,31.254,8.743,13713.302,5011.67,1.741,0.956,12.305,0.003,48.752,2.62,0.784
4531.875,4528.167,107.66,-46.296,31.358,8.718,10068.682,4565.9,1.945,0.977,14.639,0.003,48.752,2.626,0.904
4532,4528.292,107.664,-46.297,30.896,8.707,7843.172,4214.921,2.127,1.028,15.194,0.004,48.936,2.643,0.934
4532.125,4528.417,107.667,-46.297,29.258,8.689,9496.428,4735.213,2.178,1.119,13.373,0.005,49.298,2.646,0.912
4532.25,4528.542,107.671,-46.298,28.061,8.671,10969.68,5237.602,2.17,1.145,12.072,0.005,49.607,2.639,0.848
4532.375,4528.667,107.674,-46.299,26.022,8.667,12749.742,6035.547,2.104,1.021,12.957,0.003,49.366,2.636,0.851
4532.5,4528.792,107.678,-46.299,25.555,8.678,11902.572,6198.27,2.157,0.79,17.511,0.002,49.357,2.641,0.978
4532.625,4528.917,107.682,-46.3,26.33,8.645,10779.181,6046.118,2.533,0.5,31.247,0.001,48.859,2.662,1.153
4532.75,4529.042,107.685,-46.3,28.733,8.63,8770.156,5708.719,2.915,0.26,60.252,0,48.507,2.683,1.208
4532.875,4529.167,107.689,-46.301,29.545,8.609,12749.813,6218.788,2.961,0.137,90.164,0,48.206,2.685,1.168
4533,4529.292,107.693,-46.301,29.059,8.607,20645.82,7330.158,2.898,0.095,92.257,0,48,2.675,1.103
4533.125,4529.417,107.696,-46.302,27.682,8.61,42122.195,10582.028,2.911,0.131,61.973,0,48.002,2.667,0.99
4533.25,4529.542,107.7,-46.302,27.329,8.602,50375.363,11953.879,3.001,0.217,31.179,0,48.002,2.669,0.885
4533.375,4529.667,107.703,-46.303,27.453,8.589,44756.66,11350.332,3.141,0.332,22.941,0,48.236,2.687,0.848
4533.5,4529.792,107.707,-46.303,27.632,8.569,21576.363,7754.562,3.2,0.512,18.393,0,48.428,2.715,0.82
4533.625,4529.917,107.711,-46.304,27.731,8.58,12729.929,6245.321,3.29,0.543,24.51,0.001,48.566,2.727,0.81
4533.75,4530.042,107.714,-46.304,28.308,8.602,5734.146,4828.196,3.35,0.415,39.369,0,48.461,2.728,0.793
4533.875,4530.167,107.718,-46.305,28.23,8.675,14670.314,5408.379,3.21,0.23,52.388,0,48.461,2.716,0.788
4534,4530.292,107.721,-46.305,27.473,8.766,27190.078,6560.383,2.492,0.197,44.657,0,48.261,2.678,0.817
4534.125,4530.417,107.725,-46.306,25.264,8.797,60241.941,10360.529,1.844,0.237,25.747,0,47.93,2.656,0.8
4534.25,4530.542,107.729,-46.306,23.797,8.812,89758.797,16164.004,1.659,0.271,18.608,0,47.737,2.655,0.627
4534.375,4530.667,107.732,-46.306,23.598,8.772,96408.141,20375.248,1.493,0.34,14.011,0,47.75,2.667,0.513
4534.5,4530.792,107.736,-46.307,23.536,8.746,99990,34497.254,1.317,0.452,10.317,0,47.883,2.68,0.358
4534.625,4530.917,107.739,-46.307,23.285,8.71,99990,41290.836,1.237,0.588,7.913,0,47.883,2.681,0.35
4534.75,4531.042,107.743,-46.308,22.976,8.699,99773.281,44823.305,1.061,0.764,6.113,0.002,48.091,2.674,0.376
4534.875,4531.167,107.747,-46.308,22.521,8.696,95463.602,31245.156,0.974,1.002,4.759,0.004,48.184,2.67,0.461
4535,4531.292,107.75,-46.308,22.731,8.705,89095.633,21797.332,0.998,1.28,3.879,0.008,48.63,2.674,0.588
4535.125,4531.417,107.754,-46.309,24.101,8.705,69158.227,11089.114,1.153,1.497,3.73,0.013,49.243,2.683,0.653
4535.25,4531.542,107.757,-46.309,25.231,8.677,45167.301,8068.48,1.227,1.593,4.14,0.017,49.267,2.683,0.771
4535.375,4531.667,107.761,-46.31,25.048,8.613,37526.234,7745.376,1.205,1.585,4.652,0.017,49.502,2.67,0.784
4535.5,4531.792,107.765,-46.31,24.246,8.576,36571.422,7715.649,1.259,1.391,5.285,0.011,49.54,2.656,0.749
4535.625,4531.917,107.768,-46.31,25.192,8.535,50144.18,8209.041,1.443,1.09,6.129,0.005,49.087,2.653,0.659
4535.75,4532.042,107.772,-46.311,26.304,8.532,55446.039,8428.331,1.945,0.86,7.346,0.002,48.871,2.653,0.596
4535.875,4532.167,107.775,-46.311,27.801,8.542,47914.578,8129.975,2.054,0.857,8.096,0.002,48.874,2.655,0.594
4536,4532.292,107.779,-46.311,27.151,8.569,24640.545,6923.87,1.864,0.984,8.991,0.004,48.874,2.655,0.619
4536.125,4532.417,107.782,-46.312,26.466,8.585,15507.291,6320.956,1.55,1.079,11.13,0.005,49.079,2.66,0.621
4536.25,4532.542,107.786,-46.312,26.704,8.59,6735.757,5506.555,1.779,1.036,15.494,0.004,49.166,2.676,0.605
4536.375,4532.667,107.79,-46.312,28.818,8.611,5885.064,5389.783,2.073,0.94,18.817,0.003,49.2,2.687,0.643
4536.5,4532.792,107.793,-46.313,29.809,8.642,9623.522,5799.118,2.62,0.817,16.929,0.002,49.155,2.699,0.699
4536.625,4532.917,107.797,-46.313,29.887,8.724,28926.824,7683.685,2.737,0.762,11.567,0.001,49.101,2.691,0.77
4536.75,4533.042,107.8,-46.313,29.337,8.78,45984.906,9408.275,2.728,0.75,8.906,0.001,49.099,2.681,0.635
4536.875,4533.167,107.804,-46.313,28.025,8.779,77844.594,13329.563,2.549,0.736,7.231,0.001,49.068,2.657,0.503
4537,4533.292,107.807,-46.314,25.603,8.738,96920.813,18051.521,2.296,0.757,6.287,0.001,48.866,2.646,0.243
4537.125,4533.417,107.811,-46.314,24.097,8.693,99393.75,20399.055,1.712,0.841,5.486,0.002,48.763,2.64,0.16
4537.25,4533.542,107.815,-46.314,21.393,8.675,99990,25062.324,1.269,0.937,4.907,0.003,48.721,2.665,0.198
4537.375,4533.667,107.818,-46.315,20.375,8.663,99990,26774.85,1.182,1.094,4.233,0.005,48.721,2.684,0.39
4537.5,4533.792,107.822,-46.315,20.218,8.678,99990,25878.559,1.029,1.339,3.437,0.009,48.843,2.715,0.515
4537.625,4533.917,107.825,-46.315,19.856,8.691,99990,21144.344,0.866,1.475,3.108,0.013,48.89,2.711,0.663
4537.75,4534.042,107.829,-46.315,20.025,8.714,99990,17986.977,0.842,1.464,3.13,0.012,49.089,2.701,0.655
4537.875,4534.167,107.832,-46.315,20.86,8.744,99990,13497.597,0.978,1.454,3.153,0.012,49.201,2.688,0.619
4538,4534.292,107.836,-46.316,24.082,8.773,99990,11376.367,1.278,1.405,3.264,0.011,49.337,2.685,0.608
4538.125,4534.417,107.839,-46.316,26.849,8.837,99764.102,11234.719,1.403,1.331,3.473,0.009,49.337,2.685,0.711
4538.25,4534.542,107.843,-46.316,27.352,8.857,94073.172,11645.152,1.509,1.198,4.045,0.006,49.314,2.677,0.76
4538.375,4534.667,107.846,-46.316,26.238,8.837,73651.125,11482.787,1.496,1.044,5.157,0.004,49.041,2.67,0.756
4538.5,4534.792,107.85,-46.316,25.3,8.769,56976.91,10777.604,1.434,0.913,7.012,0.003,48.659,2.665,0.701
4538.625,4534.917,107.853,-46.317,24.333,8.744,27447.123,8686.116,1.426,0.855,10.319,0.002,48.493,2.678,0.696
4538.75,4535.042,107.857,-46.317,24.112,8.719,10190.461,6890.605,1.419,0.896,14.253,0.002,48.486,2.689,0.751
4538.875,4535.167,107.86,-46.317,23.847,8.712,8097.064,6556.175,1.264,1.028,14.603,0.004,48.407,2.695,0.846
4539,4535.292,107.864,-46.317,22.131,8.709,13460.883,6988.335,0.993,1.153,10.434,0.005,48.452,2.678,0.884
4539.125,4535.417,107.868,-46.317,19.833,8.698,35138.82,9239.238,0.912,1.227,6.527,0.007,48.459,2.669,0.864
4539.25,4535.542,107.871,-46.317,18.755,8.681,52384.156,11190.219,0.851,1.26,4.982,0.008,48.673,2.663,0.815
4539.375,4535.667,107.875,-46.318,17.868,8.678,81805.789,15049.862,1.022,1.156,4.538,0.006,48.688,2.676,0.734
4539.5,4535.792,107.878,-46.318,19.573,8.697,92592.617,16749.061,1.343,0.837,6.102,0.002,48.689,2.684,0.665
4539.625,4535.917,107.882,-46.318,21.474,8.711,99505.938,18010.385,2.076,0.48,9.996,0,48.511,2.691,0.61
4539.75,4536.042,107.885,-46.318,25.945,8.724,99990,17256.27,2.409,0.321,14.596,0,48.216,2.684,0.465
4539.875,4536.167,107.889,-46.318,27.281,8.693,99990,16600.418,2.543,0.268,17.238,0,48.045,2.68,0.401
4540,4536.292,107.892,-46.318,26.928,8.665,99990,16095.363,2.109,0.325,14.309,0,48.01,2.672,0.39
4540.125,4536.417,107.896,-46.318,23.732,8.612,99990,17509.922,1.781,0.441,10.769,0,48.01,2.671,0.334
4540.25,4536.542,107.899,-46.318,21.965,8.583,99990,18601.215,1.277,0.644,7.281,0.001,48.018,2.681,0.255
4540.375,4536.667,107.903,-46.318,20.169,8.588,99990,19951.006,1.176,0.856,5.396,0.002,48.253,2.705,0.265
4540.5,4536.792,107.906,-46.319,20.112,8.631,99990,20286.082,1.22,0.999,4.591,0.003,48.355,2.717,0.379
4540.625,4536.917,107.91,-46.319,20.464,8.696,99990,20130.322,1.382,0.997,4.623,0.003,48.701,2.724,0.425
4540.75,4537.042,107.913,-46.319,21.276,8.736,99990,18970.088,1.605,0.89,5.15,0.002,48.813,2.706,0.445
4540.875,4537.167,107.916,-46.319,22.318,8.793,99990,16928.77,1.773,0.877,5.232,0.002,48.813,2.691,0.535
4541,4537.292,107.92,-46.319,23.003,8.808,99990,15942.705,2.175,0.827,5.544,0.002,48.931,2.661,0.662
4541.125,4537.417,107.923,-46.319,23.54,8.795,99990,15270.637,2.165,0.883,5.226,0.002,48.882,2.648,0.931
4541.25,4537.542,107.927,-46.319,22.053,8.747,99990,15254.885,1.891,1.064,4.342,0.004,48.989,2.646,1.009
4541.375,4537.667,107.93,-46.319,20.844,8.722,99990,15106.253,1.271,1.222,3.75,0.007,48.867,2.643,0.938
4541.5,4537.792,107.934,-46.319,19.228,8.683,99990,14512.715,1.065,1.215,3.774,0.007,48.689,2.638,0.742
4541.625,4537.917,107.937,-46.319,19.399,8.68,99990,14262.658,1.081,1.12,4.11,0.005,48.689,2.633,0.656
4541.75,4538.042,107.941,-46.319,21.492,8.691,99990,14097.935,1.351,0.954,4.839,0.003,48.615,2.649,0.651
4541.875,4538.167,107.944,-46.319,24.498,8.729,99990,14982.112,1.513,0.771,6.039,0.002,48.557,2.663,0.64
4542,4538.292,107.948,-46.319,25.984,8.771,99990,16328.583,1.783,0.579,8.092,0.001,48.469,2.685,0.548
4542.125,4538.417,107.951,-46.319,27.302,8.787,99990,20817.443,1.756,0.411,11.564,0,48.14,2.689,0.494
4542.25,4538.542,107.955,-46.319,26.593,8.824,99990,27092.58,1.627,0.281,16.563,0,48.127,2.688,0.413
4542.375,4538.667,107.958,-46.319,26.047,8.864,99990,30019.822,1.412,0.23,19.935,0,47.735,2.688,0.388
4542.5,4538.792,107.961,-46.319,25.531,8.882,99990,36194.945,1.315,0.256,18.418,0,47.528,2.684,0.354
4542.625,4538.917,107.965,-46.319,25.337,8.885,99990,39694.059,1.254,0.423,12.008,0,47.555,2.678,0.336
4542.75,4539.042,107.968,-46.319,24.876,8.872,99990,49825.426,0.975,0.707,6.555,0.001,48.017,2.666,0.322
4542.875,4539.167,107.972,-46.319,23.258,8.825,99990,56906.055,0.777,0.852,5.391,0.002,48.407,2.657,0.291
4543,4539.292,107.975,-46.318,22.269,8.759,99990,56042.32,0.415,0.898,5.107,0.002,48.422,2.658,0.323
4543.125,4539.417,107.979,-46.318,21.26,8.729,99990,43578.801,0.341,0.922,4.995,0.003,48.501,2.673,0.387
4543.25,4539.542,107.982,-46.318,21.999,8.686,99990,26990.84,0.433,1.058,4.338,0.004,48.218,2.688,0.589
4543.375,4539.667,107.985,-46.318,22.882,8.681,99990,22148.975,0.708,1.102,4.168,0.005,48.03,2.713,0.703
4543.5,4539.792,107.989,-46.318,24.232,8.684,99990,19045.445,0.94,0.95,4.915,0.003,47.966,2.712,0.685
4543.625,4539.917,107.992,-46.318,23.837,8.683,99990,22925.25,1.001,0.708,6.593,0.001,47.966,2.702,0.525
4543.75,4540.042,107.996,-46.318,23.323,8.678,99990,26969.162,1.158,0.522,9.006,0.001,47.918,2.681,0.437
4543.875,4540.167,107.999,-46.318,23.3,8.681,99990,34073.969,1.543,0.38,12.161,0,47.897,2.677,0.406
4544,4540.292,108.003,-46.318,24.615,8.696,99990,35502.02,1.78,0.308,14.996,0,47.888,2.679,0.488
4544.125,4540.417,108.006,-46.318,25.15,8.716,99990,33635.941,2.036,0.26,17.633,0,47.878,2.68,0.511
4544.25,4540.542,108.009,-46.317,25.873,8.731,99990,28284.871,2.109,0.242,18.964,0,47.879,2.675,0.476
4544.375,4540.667,108.013,-46.317,26.761,8.759,99990,26309.191,2.125,0.234,19.595,0,47.879,2.67,0.4
4544.5,4540.792,108.016,-46.317,27.39,8.767,99990,24539.262,2.175,0.246,18.686,0,47.841,2.66,0.369
4544.625,4540.917,108.02,-46.317,28.186,8.75,99990,26097.359,2.188,0.272,16.922,0,47.901,2.657,0.345
4544.75,4541.042,108.023,-46.317,28.265,8.701,99990,27772.373,2.144,0.325,14.328,0,47.947,2.66,0.372
4544.875,4541.167,108.026,-46.317,27.514,8.681,99990,30465.672,2.047,0.442,10.683,0,48.117,2.68,0.422
4545,4541.292,108.03,-46.317,25.761,8.677,99990,30823.504,2.062,0.67,7.189,0.001,48.124,2.696,0.6
4545.125,4541.417,108.033,-46.316,24.737,8.733,99990,30016.943,2.039,0.982,4.708,0.004,48.395,2.721,0.769
4545.25,4541.542,108.036,-46.316,22.962,8.782,99990,27214.555,1.885,1.139,4.023,0.005,48.86,2.731,0.814
4545.375,4541.667,108.04,-46.316,22.447,8.877,99990,23892.578,1.81,1.169,3.92,0.006,49.059,2.728,0.811
4545.5,4541.792,108.043,-46.316,22.492,8.971,99990,22157.473,1.695,1.16,3.952,0.006,49.135,2.718,0.796
4545.625,4541.917,108.047,-46.316,22.802,9.009,99990,20100.883,1.631,1.129,4.063,0.005,48.953,2.719,0.795
4545.75,4542.042,108.05,-46.315,24.08,9.058,99990,19629.582,1.617,1.062,4.318,0.004,48.946,2.72,0.859
4545.875,4542.167,108.053,-46.315,25.132,9.059,99990,20293.971,1.474,1.001,4.585,0.004,48.626,2.713,0.922
4546,4542.292,108.057,-46.315,27.331,9.014,99990,23970.76,1.341,0.894,5.18,0.002,48.347,2.691,1.069
4546.125,4542.417,108.06,-46.315,27.775,8.934,99990,27232.295,1.361,0.705,6.612,0.001,47.91,2.681,1.068
4546.25,4542.542,108.063,-46.314,26.9,8.895,99990,38278.086,1.493,0.518,9.142,0.001,47.771,2.676,0.997
4546.375,4542.667,108.067,-46.314,24.679,8.85,99990,55876.215,1.592,0.372,12.351,0,47.771,2.679,0.853
4546.5,4542.792,108.07,-46.314,23.675,8.813,99990,66865.359,1.842,0.358,12.882,0,47.643,2.691,0.725
4546.625,4542.917,108.073,-46.314,23.117,8.802,99990,78997.227,2.054,0.404,11.337,0,47.873,2.702,0.63
4546.75,4543.042,108.077,-46.313,24.108,8.727,99990,72103.141,2.19,0.443,10.432,0,48.052,2.704,0.355
4546.875,4543.167,108.08,-46.313,24.775,8.726,99990,63035.988,2.295,0.515,8.92,0,48.349,2.701,0.189
4547,4543.292,108.083,-46.313,25.47,8.756,99990,43758.234,2.139,0.554,8.292,0,48.395,2.689,0.176
4547.125,4543.417,108.087,-46.313,25.679,8.832,99990,32630.221,2.046,0.611,7.506,0.001,48.395,2.683,0.305
4547.25,4543.542,108.09,-46.312,26.061,8.88,99990,28566.125,1.91,0.655,6.999,0.001,48.506,2.677,0.434
4547.375,4543.667,108.093,-46.312,26.796,8.882,99990,23343.484,1.761,0.679,6.765,0.001,48.583,2.68,0.732
4547.5,4543.792,108.097,-46.312,26.25,8.863,99990,20975.148,1.682,0.727,6.308,0.001,48.319,2.683,0.991
4547.625,4543.917,108.1,-46.311,25.521,8.853,99990,18053.227,1.56,0.714,6.441,0.001,48.141,2.685,1.025
4547.75,4544.042,108.103,-46.311,24.518,8.841,99990,17061.219,1.559,0.628,7.322,0.001,48.001,2.683,0.944
4547.875,4544.167,108.107,-46.311,24.625,8.818,99990,17448.715,1.635,0.627,7.418,0.001,48.001,2.684,0.853
4548,4544.292,108.11,-46.31,24.789,8.794,99990,20078.66,1.439,0.861,5.498,0.002,47.998,2.696,0.87
4548.125,4544.417,108.113,-46.31,23.782,8.747,99990,25192.506,1.222,1.247,3.761,0.008,48.033,2.707,1.093
4548.25,4544.542,108.116,-46.31,23.047,8.748,99990,28868.939,0.825,1.597,2.874,0.016,47.846,2.732,1.378
4548.375,4544.667,108.12,-46.309,21.911,8.775,99990,35002.227,0.637,1.614,2.855,0.018,47.698,2.745,1.406
4548.5,4544.792,108.123,-46.309,21.839,8.869,99990,37491.344,0.612,1.351,3.429,0.01,47.692,2.742,1.231
4548.625,4544.917,108.126,-46.309,22.534,8.959,99990,36874.945,0.792,1.046,4.493,0.004,47.534,2.72,1.121
4548.75,4545.042,108.13,-46.308,25.013,8.999,99990,34373.43,1.175,0.781,5.892,0.002,47.465,2.698,1.009
4548.875,4545.167,108.133,-46.308,26.534,9.046,99990,33673.543,1.361,0.694,6.617,0.001,47.463,2.693,1.118
4549,4545.292,108.136,-46.307,26.566,9.057,99990,34182.613,1.625,0.657,6.978,0.001,47.479,2.695,1.225
4549.125,4545.417,108.139,-46.307,25.634,9.032,99990,36628.563,1.787,0.623,7.455,0.001,47.532,2.703,1.36
4549.25,4545.542,108.143,-46.307,25.088,8.95,99990,38323.832,1.864,0.477,9.85,0,47.534,2.708,1.215
4549.375,4545.667,108.146,-46.306,24.566,8.905,99990,40447.094,2.118,0.353,13.102,0,47.463,2.719,1.052
4549.5,4545.792,108.149,-46.306,25.472,8.828,99990,39835.73,2.251,0.268,18.165,0,47.528,2.719,0.712
4549.625,4545.917,108.152,-46.305,26.46,8.784,99990,38674.801,2.436,0.179,25.607,0,47.699,2.707,0.525
4549.75,4546.042,108.156,-46.305,28.501,8.768,99990,35485.543,2.437,0.191,24.08,0,47.899,2.687,0.496
4549.875,4546.167,108.159,-46.305,28.856,8.762,99990,31423.533,2.374,0.209,21.989,0,47.899,2.682,0.623
4550,4546.292,108.162,-46.304,28.703,8.802,99990,28614.051,2.247,0.211,21.794,0,47.964,2.681,0.863
4550.125,4546.417,108.165,-46.304,28.795,8.849,99990,23637.516,2.266,0.24,19.262,0,47.928,2.682,0.927
4550.25,4546.542,108.169,-46.303,28.976,9.008,99990,20736.238,2.273,0.348,14.198,0,48.031,2.682,0.867
4550.375,4546.667,108.172,-46.303,28.76,9.178,99990,20542.545,2.177,0.616,7.887,0.001,48.168,2.695,0.784
4550.5,4546.792,108.175,-46.302,28.281,9.241,99990,21493.125,2.092,0.955,4.885,0.003,48.27,2.736,0.681
4550.625,4546.917,108.178,-46.302,28.663,9.258,99990,22207.945,2.117,1.265,3.67,0.008,48.27,2.759,0.749
4550.75,4547.042,108.182,-46.301,28.976,9.232,99990,23935.035,2.097,1.514,3.028,0.014,48.28,2.809,0.816
4550.875,4547.167,108.185,-46.301,28.297,9.142,99990,25800.865,1.956,1.535,2.987,0.014,48.302,2.817,0.897
4551,4547.292,108.188,-46.301,27.421,9.033,99990,26572.389,1.558,1.41,3.276,0.011,48.458,2.799,0.922
4551.125,4547.417,108.191,-46.3,26.587,8.997,99990,26715.023,1.636,1.129,4.139,0.006,48.623,2.751,0.92
4551.25,4547.542,108.194,-46.3,28.344,8.971,99990,27667.938,1.982,0.771,6.557,0.001,48.629,2.73,0.829
4551.375,4547.667,108.198,-46.299,29.817,8.969,99990,29750.07,2.885,0.419,11.142,0,48.563,2.709,0.637
4551.5,4547.792,108.201,-46.299,32.346,8.95,99990,36984.086,3.401,0.336,13.621,0,48.457,2.68,0.535
4551.625,4547.917,108.204,-46.298,33.095,8.88,99990,42262.754,3.415,0.345,13.301,0,48.5,2.672,0.429
4551.75,4548.042,108.207,-46.298,33.073,8.817,99990,42791.289,3.356,0.361,12.68,0,48.54,2.656,0.389
4551.875,4548.167,108.211,-46.297,32.927,8.804,99990,38637.906,3.452,0.331,14.043,0,48.54,2.652,0.328
4552,4548.292,108.214,-46.297,33.194,8.809,99990,30945.051,3.528,0.265,17.333,0,48.54,2.656,0.363
4552.125,4548.417,108.217,-46.296,33.309,8.856,99990,27664.174,3.666,0.252,18.162,0,48.382,2.664,0.415
4552.25,4548.542,108.22,-46.296,33.001,8.88,99990,24073.531,3.767,0.265,17.349,0,48.474,2.67,0.493
4552.375,4548.667,108.223,-46.295,32.059,8.87,99990,24307.141,3.833,0.31,15.005,0,48.517,2.673,0.49
4552.5,4548.792,108.227,-46.295,31.606,8.835,99990,27342.508,3.989,0.356,12.918,0,48.764,2.68,0.476
4552.625,4548.917,108.23,-46.294,31.414,8.761,99990,30083.471,4.083,0.315,14.67,0,48.727,2.683,0.444
4552.75,4549.042,108.233,-46.294,31.628,8.751,99990,30433.5,4.306,0.26,17.843,0,48.726,2.682,0.401
4552.875,4549.167,108.236,-46.293,32.712,8.783,99990,28874.609,4.548,0.235,19.679,0,48.673,2.67,0.384
4553,4549.292,108.239,-46.293,34.107,8.867,99990,28361.633,4.622,0.323,15.047,0,48.666,2.661,0.365
4553.125,4549.417,108.242,-46.292,34.306,8.884,99990,30324.748,4.364,0.512,9.183,0,49.045,2.647,0.385
4553.25,4549.542,108.246,-46.292,33.264,8.856,99990,41731.469,3.465,0.666,6.888,0.001,49.203,2.644,0.422
4553.375,4549.667,108.249,-46.291,31.32,8.764,99990,61505.551,3.03,0.697,6.574,0.001,49.203,2.649,0.496
4553.5,4549.792,108.252,-46.291,30.405,8.681,99990,73635.734,2.432,0.683,6.712,0.001,49.077,2.667,0.48
4553.625,4549.917,108.255,-46.29,29.35,8.658,99990,90838.352,2.149,0.699,6.564,0.001,48.724,2.686,0.26
4553.75,4550.042,108.258,-46.29,28.662,8.631,99990,96457.766,2.055,0.743,6.172,0.001,48.657,2.697,-0.02
4553.875,4550.167,108.261,-46.289,28.518,8.622,99990,99707.766,1.998,0.774,5.923,0.001,48.726,2.712,-0.061
4554,4550.292,108.265,-46.289,28.576,8.606,99990,99539.203,2.031,0.791,5.799,0.001,48.727,2.716,0.076
4554.125,4550.417,108.268,-46.288,28.616,8.594,99432.867,97221.75,2.124,0.871,5.339,0.002,48.727,2.712,0.324
4554.25,4550.542,108.271,-46.288,28.527,8.591,89228.32,79515.117,2.141,1.002,4.986,0.004,49.05,2.697,0.44
4554.375,4550.667,108.274,-46.287,28.488,8.585,60913.973,46662.156,2.115,1.236,4.754,0.007,49.282,2.688,0.589
4554.5,4550.792,108.277,-46.287,28.712,8.571,41161.313,28021.578,2.144,1.624,4.685,0.019,49.939,2.675,0.773
4554.625,4550.917,108.28,-46.286,29.927,8.561,12569.826,6578.978,2.245,2.239,5.856,0.058,51.117,2.673,0.882
