序号,井号,层位,取样日期,,取样部位,取样井段(m),"相对密度
",组份分析(%),,,,,,,,,,,,,,,,,压缩因子,热值(KJ/m3),"临界温度
(k)","临界压力
(MPa)",重烃(%)
#REF!,SY201,MK组,2018-03-21 00:00:00,,分离器,4574.00-/,0.584,96.399,0.149,0.009,0,0,0,0,0,2.311,42.583,0.6,8.61,0.012,0.517,0.003,0,0.05,0.998,36027,194.14,4.6882,0.158
#REF!,SY201,MK组,2018-11-08 00:00:00,,分离器,4574.00-/,0.5812,96.248,0.153,0.04,0,0,0,0,0,1.815,33.444,0.557,7.99,0,1.093,0.014,0,0,0.998,35991,193.04,4.662,0.193
#REF!,SY201,MK组,2019-03-18 00:00:00,,分离器,4574.00-/,0.5821,96.286,0.126,0,0,0,0,0,0,1.995,36.761,0.59,8.42,0.05,0.94,0.016,0,0.23,0.998,35958,193.35,4.6716,0.126
#REF!,SY201,MK组,2019-06-11 00:00:00,,分离器,/-/,0.5844,95.887,0.138,0,0,0,0,0,0,2.115,38.972,0.632,9.07,0.064,1.147,0.017,0,0.29,0.998,35828,193.42,4.6738,0.138
#REF!,SY201,MK组,2019-09-25 00:00:00,,分离器,4574.00-/,0.5834,96.28,0.151,0,0,0,0,0,0,2.182,40.206,0.58,8.31,0.026,0.765,0.016,0,0.12,0.998,35971,193.74,4.6797,0.151
#REF!,SY201,MK组,2020-11-19 00:00:00,,分离器,/,0.5786,97.011,0.137,0,0,0,0,0,0,1.929,35.544,0.289,4.15,0,0.622,0.012,0,0,0.998,36164,193.05,4.6629,0.137
#REF!,SY201,MK组,2021-03-05 00:00:00,,分离器,/,0.5916,95.449,0.238,0,0,0,0,0,0,2.947,54.303,0.669,9.6,0,0.682,0.015,0,0,0.998,35741,194.97,4.7074,0.238
#REF!,SY201,MK组,2021-06-02 00:00:00,,分离器,/-/,0.5806,96.644,0.129,0,0,0,0,0,0,1.868,34.42,0.678,9.72,0,0.667,0.014,0,0,0.998,36114,193.65,4.6777,0.129
#REF!,SY201,MK组,2022/3/17,2022/3/18,分离器,4574.00-/,0.58,96.736,0.128,0,0,0,0,0,0,1.86,34.273,0.598,8.58,0,0.66,0.015,0.003,0,0.998,36129,193.49,4.6739,0.128
#REF!,SYX211,MK组,2017-10-26 00:00:00,,分离器,4978.00-5052.00,0.6251,91.056,0.123,0.43,0,0,0,0,0,4.359,80.321,3.326,47.71,0.031,0.63,0.015,0.03,0.14,0.9978,35066,202.01,4.8599,0.553
#REF!,SYX211,MK组,2017-11-01 00:00:00,,分离器,4978.00-5052.00,0.7143,82.161,0.126,0.224,0,0,0,0,0,14.476,266.74,2.234,32.04,0.048,0.674,0.019,0.038,0.22,0.9976,31326,211.06,5.0922,0.35
#REF!,SYX211,MK组,2020-07-28 00:00:00,,分离器,4978-5052,0.598984096696088,94.404,0.158,0,0,0,0,0,0,3.044,56.0899207665377,1.889,27.1,0,0.487,0.014,0.004,0,0.997930616684274,35589.1580298477,197.3449028,4.7658145711342,0.158
#REF!,SYX211,MK组,2021-03-05 00:00:00,,分离器,/,0.5977,94.839,0.307,0,0,0,0,0,0,3.412,62.871,1.082,15.52,0,0.346,0.014,0,0,0.998,35657,196.55,4.7428,0.307
#REF!,SYX211,MK组,2021-06-03 00:00:00,,分离器,/-/,0.5933,95.246,0.226,0,0,0,0,0,0,2.891,53.271,1.249,17.92,0,0.369,0.014,0.005,0,0.998,35795,196.15,4.735,0.226
#REF!,SYX211,MK组,2021/10/22,2021/10/26,分离器,/,0.5948,95.123,0.246,0,0,0,0,0,0,3.107,57.251,1.11,15.94,0,0.396,0.015,0.003,0,0.998,35730,196.15,4.7346,0.246
#REF!,SYX211,MK组,2022/1/10,2022/1/10,分离器,/,0.5918,95.497,0.226,0,0,0,0,0,0,2.939,54.155,0.902,12.94,0,0.417,0.019,0,0,0.998,35806,195.54,4.7205,0.226
