Depth,TVD,DX,DY,PERM,POR,SW,AC,CAL,CNL,DEN,GR,KTH,PE,RT,RXO,SH
4551,4549.183,59.445,-59.209,0.31,3.833,16.212,47.159,9.07,5.225,2.809,29.079,12.257,-9999,668.417,332.033,0.537
4551.125,4549.308,59.45,-59.21,0.206,3.392,17.622,46.448,9.077,4.992,2.827,27.955,11.209,-9999,699.945,334.512,0.089
4551.25,4549.433,59.455,-59.21,0.153,3.103,19.127,46.174,9.091,4.881,2.831,27.165,10.384,-9999,694.328,327.695,0.01
4551.375,4549.558,59.459,-59.211,0.123,2.909,20.808,45.867,9.084,4.734,2.826,28.209,10.78,-9999,655.15,308.022,0.01
4551.5,4549.683,59.464,-59.211,0.101,2.745,22.716,45.828,9.048,4.568,2.833,30.497,12.224,-9999,615.514,286.728,0.523
4551.625,4549.808,59.468,-59.212,0.103,2.757,22.999,46.321,9.002,4.482,2.837,32.427,13.709,-9999,599.952,276.242,1.168
4551.75,4549.932,59.473,-59.212,0.123,2.908,21.782,47.063,8.961,4.588,2.825,32.922,14.337,-9999,610.614,279.287,1.445
4551.875,4550.057,59.478,-59.213,0.259,3.632,17.535,47.965,8.927,4.897,2.799,32.179,14.28,-9999,620.909,280.78,1.42
4552,4550.182,59.482,-59.213,0.669,4.817,13.489,49.176,8.897,5.471,2.763,30.251,13.828,-9999,618.109,271.661,1.221
4552.125,4550.307,59.487,-59.214,1.533,6.165,10.822,50.304,8.872,6.358,2.717,27.532,13.024,-9999,604.763,255.288,0.869
4552.25,4550.432,59.492,-59.215,3.231,7.696,8.947,51.593,8.853,7.512,2.659,24.984,12.096,-9999,582.712,239.286,0.468
4552.375,4550.557,59.496,-59.215,6.071,9.285,7.754,53.185,8.837,8.783,2.592,23.299,11.42,-9999,542.303,222.845,0.179
4552.5,4550.682,59.501,-59.216,9.841,10.721,7.178,55.769,8.827,9.821,2.534,22.299,11.109,-9999,477.132,199.745,0.046
4552.625,4550.807,59.506,-59.216,13.411,11.755,7.187,56.68,8.821,10.455,2.491,21.675,10.997,-9999,396.542,169.653,0.01
4552.75,4550.932,59.51,-59.217,16.119,12.417,7.619,57.573,8.815,10.839,2.469,21.397,11.036,-9999,316.303,137.761,0.015
4552.875,4551.057,59.515,-59.217,18.311,12.897,8.318,58.03,8.806,11.431,2.461,21.302,11.179,-9999,247.398,109.73,0.076
4553,4551.182,59.519,-59.218,20.487,13.335,9.097,57.909,8.799,12.335,2.466,21.183,11.341,-9999,194.137,87.972,0.145
4553.125,4551.307,59.524,-59.218,22.021,13.625,9.893,57.483,8.799,13.228,2.48,20.984,11.433,-9999,160.29,73.953,0.184
4553.25,4551.431,59.529,-59.219,22.022,13.625,10.578,56.99,8.81,13.699,2.495,20.775,11.389,-9999,144.23,66.983,0.165
4553.375,4551.556,59.533,-59.219,20.154,13.27,10.905,56.363,8.823,13.619,2.506,20.691,11.279,-9999,145.139,66.85,0.118
4553.5,4551.681,59.538,-59.22,17.202,12.659,10.832,55.713,8.831,12.951,2.514,21.057,11.28,-9999,165.817,74.624,0.119
4553.625,4551.806,59.543,-59.22,13.857,11.87,10.369,55.057,8.832,12.024,2.526,21.849,11.406,-9999,208.802,90.539,0.173
4553.75,4551.931,59.547,-59.221,11.008,11.084,9.551,54.332,8.831,11.181,2.543,22.516,11.443,-9999,280.487,115.874,0.188
4553.875,4552.056,59.552,-59.221,9.023,10.447,8.677,53.244,8.838,10.643,2.56,22.44,11.243,-9999,378.438,147.824,0.103
4554,4552.181,59.557,-59.222,7.941,10.058,7.892,52.921,8.853,10.369,2.567,21.8,10.87,-9999,483.046,177.706,0.01
4554.125,4552.306,59.561,-59.223,7.391,9.845,7.333,52.617,8.87,10.213,2.565,21.365,10.726,-9999,573.462,196.756,0.01
4554.25,4552.431,59.566,-59.223,6.915,9.652,7.033,52.276,8.881,10.01,2.563,21.722,11.619,-9999,637.482,202.123,0.263
4554.375,4552.556,59.57,-59.224,6.15,9.321,6.995,51.757,8.884,9.642,2.569,22.656,13.245,-9999,685.002,199.396,0.965
4554.5,4552.681,59.575,-59.224,5.045,8.788,7.144,51.181,8.879,9.025,2.583,23.527,14.773,-9999,733.896,195.896,1.639
4554.625,4552.805,59.58,-59.225,3.848,8.107,7.403,50.975,8.873,8.338,2.598,23.822,15.551,-9999,798.221,197.204,1.986
4554.75,4552.93,59.584,-59.225,2.738,7.326,7.75,50.068,8.866,7.725,2.612,23.69,15.798,-9999,879.849,204.342,2.097
4554.875,4553.055,59.589,-59.226,2.021,6.693,7.993,49.552,8.862,7.219,2.632,23.357,15.612,-9999,981.521,218.451,2.014
4555,4553.18,59.594,-59.226,1.561,6.198,8.127,49.139,8.865,6.779,2.656,22.906,15.146,-9999,1092.9,238.811,1.805
4555.125,4553.305,59.598,-59.227,1.253,5.805,8.258,48.689,8.874,6.46,2.679,22.355,14.415,-9999,1187.895,261.816,1.48
4555.25,4553.43,59.603,-59.227,1.131,5.632,8.311,48.757,8.884,6.389,2.691,21.64,13.52,-9999,1220.596,277.621,1.086
4555.375,4553.555,59.608,-59.228,1.194,5.723,8.271,48.87,8.889,6.515,2.689,21.045,12.741,-9999,1180.583,279.457,0.746
4555.5,4553.68,59.612,-59.228,1.365,5.956,8.277,49.071,8.885,6.732,2.68,20.945,12.293,-9999,1085.57,267.466,0.553
4555.625,4553.805,59.617,-59.229,1.564,6.202,8.396,49.344,8.873,6.929,2.671,21.456,12.17,-9999,975.565,249.193,0.5
4555.75,4553.93,59.622,-59.23,1.734,6.395,8.61,49.57,8.865,7.09,2.669,22.181,12.185,-9999,877.26,231.602,0.506
4555.875,4554.055,59.626,-59.23,1.858,6.527,8.851,49.692,8.869,7.215,2.672,22.937,12.299,-9999,802.918,218.137,0.555
4556,4554.179,59.631,-59.231,1.928,6.599,9.075,49.727,8.881,7.266,2.677,24.012,12.503,-9999,754.366,209.871,0.643
4556.125,4554.304,59.635,-59.231,1.932,6.604,9.242,49.796,8.891,7.219,2.679,25.316,12.766,-9999,730.005,207.186,0.757
4556.25,4554.429,59.64,-59.232,1.888,6.559,9.342,49.767,8.894,7.118,2.677,26.22,13.043,-9999,728.681,210.616,0.877
4556.375,4554.554,59.645,-59.232,1.815,6.482,9.388,49.7,8.888,7.074,2.677,26.239,13.207,-9999,739.399,217.826,0.949
4556.5,4554.679,59.649,-59.233,1.758,6.421,9.393,49.338,8.877,7.188,2.68,25.505,13.313,-9999,751.08,225.863,0.995
4556.625,4554.804,59.654,-59.233,1.73,6.39,9.401,49.141,8.862,7.456,2.683,24.595,13.794,-9999,754.058,231.153,1.206
4556.75,4554.929,59.659,-59.234,1.679,6.334,9.491,48.933,8.852,7.64,2.685,23.675,14.217,-9999,751.823,234.212,1.392
4556.875,4555.054,59.663,-59.234,1.523,6.152,9.74,48.686,8.85,7.612,2.684,22.955,14.496,-9999,755.817,238.189,1.516
4557,4555.179,59.668,-59.235,1.324,5.902,9.989,48.356,8.852,7.435,2.679,22.858,14.908,-9999,783.679,247.874,1.699
4557.125,4555.304,59.673,-59.235,1.107,5.595,10.165,48.039,8.853,7.178,2.673,23.281,15.454,-9999,841.839,265.151,1.943
4557.25,4555.429,59.677,-59.236,0.904,5.268,10.257,47.799,8.849,6.84,2.671,23.907,15.864,-9999,928.326,290.323,2.127
4557.375,4555.553,59.682,-59.236,0.723,4.93,10.408,47.749,8.844,6.475,2.681,24.34,15.91,-9999,1012.693,317.077,2.148
4557.5,4555.678,59.686,-59.237,0.609,4.683,10.644,47.518,8.84,6.251,2.699,24.473,15.535,-9999,1052.64,333.893,1.979
4557.625,4555.803,59.691,-59.238,0.565,4.581,10.986,47.421,8.84,6.315,2.719,24.362,14.911,-9999,1009.615,327.57,1.7
4557.75,4555.928,59.696,-59.238,0.609,4.683,11.284,47.392,8.841,6.557,2.732,23.875,14.078,-9999,905.945,301.257,1.331
4557.875,4556.053,59.7,-59.239,0.694,4.869,11.622,47.561,8.844,6.815,2.737,23.324,13.236,-9999,794.407,269.935,0.962
4558,4556.178,59.705,-59.239,0.793,5.066,11.79,47.762,8.851,6.974,2.74,23.279,12.94,-9999,728.444,251.099,0.833
4558.125,4556.303,59.71,-59.24,0.864,5.197,11.719,47.974,8.855,6.99,2.745,23.84,13.214,-9999,715.096,248.592,0.952
4558.25,4556.428,59.714,-59.24,0.895,5.252,11.454,48.237,8.853,6.891,2.751,24.709,13.887,-9999,738.452,257.858,1.247
4558.375,4556.553,59.719,-59.241,0.883,5.232,11.276,48.64,8.846,6.827,2.754,25.41,14.496,-9999,764.145,268.456,1.516
4558.5,4556.678,59.724,-59.241,0.961,5.365,11.009,49.075,8.839,6.947,2.748,25.647,14.859,-9999,752.959,268.089,1.677
4558.625,4556.803,59.728,-59.242,1.231,5.774,10.705,49.075,8.833,7.274,2.73,25.233,14.783,-9999,682.345,248.674,1.643
4558.75,4556.927,59.733,-59.242,1.777,6.442,10.51,49.577,8.825,7.725,2.704,24.183,14.193,-9999,566.022,212.655,1.382
4558.875,4557.052,59.737,-59.243,2.417,7.059,10.825,50.139,8.821,8.199,2.679,22.944,13.407,-9999,447.426,173.703,1.036
4559,4557.177,59.742,-59.243,3.08,7.587,11.315,50.562,8.828,8.634,2.656,21.87,12.761,-9999,361.918,144.513,0.755
4559.125,4557.302,59.747,-59.244,3.733,8.034,11.586,51.085,8.85,8.954,2.635,21.263,12.496,-9999,319.776,130.227,0.64
4559.25,4557.427,59.751,-59.245,4.223,8.335,11.387,51.335,8.877,9.103,2.619,21.133,12.538,-9999,314.859,129.668,0.658
4559.375,4557.552,59.756,-59.245,4.436,8.458,10.854,51.404,8.907,9.01,2.612,21.289,12.742,-9999,344.99,142.463,0.747
4559.5,4557.677,59.761,-59.246,4.285,8.37,10.212,51.417,8.93,8.631,2.613,21.585,12.955,-9999,403.334,165.767,0.839
4559.625,4557.802,59.765,-59.246,3.841,8.103,9.611,51.391,8.94,8.111,2.621,22.022,13.128,-9999,483.315,196.465,0.914
4559.75,4557.927,59.77,-59.247,3.383,7.802,9.138,51.216,8.932,7.725,2.634,22.439,13.057,-9999,569.557,227.532,0.884
4559.875,4558.052,59.775,-59.247,3.025,7.547,8.825,50.93,8.913,7.556,2.648,22.429,12.472,-9999,641.142,250.559,0.63
4560,4558.177,59.779,-59.248,2.777,7.357,8.717,50.93,8.891,7.561,2.661,21.931,11.333,-9999,682.026,259.221,0.141
4560.125,4558.301,59.784,-59.248,2.602,7.215,8.782,50.565,8.871,7.608,2.66,21.389,10.245,-9999,688.467,252.215,0.01
4560.25,4558.426,59.788,-59.249,2.463,7.098,8.973,50.164,8.857,7.535,2.646,20.785,9.253,-9999,677.834,237.171,0.01
4560.375,4558.551,59.793,-59.249,2.29,6.946,9.237,49.836,8.849,7.27,2.626,19.872,8.139,-9999,667.068,222.454,0.01
4560.5,4558.676,59.798,-59.25,2.061,6.732,9.519,49.416,8.849,6.933,2.615,19.009,7.158,-9999,670.505,215.442,0.01
4560.625,4558.801,59.802,-59.25,1.813,6.48,9.72,49.145,8.849,6.696,2.62,18.923,6.896,-9999,694.674,219.021,0.01
4560.75,4558.926,59.807,-59.251,1.606,6.25,9.739,49.04,8.849,6.606,2.638,19.647,7.277,-9999,745.605,235.903,0.01
4560.875,4559.051,59.812,-59.252,1.453,6.067,9.594,49.028,8.848,6.527,2.656,20.291,7.693,-9999,812.259,263.471,0.01
4561,4559.176,59.816,-59.252,1.381,5.975,9.391,49.072,8.846,6.402,2.667,20.606,7.959,-9999,866.515,292.461,0.01
4561.125,4559.301,59.821,-59.253,1.395,5.993,9.266,49.308,8.85,6.332,2.671,20.739,8.149,-9999,870.927,307.771,0.01
4561.25,4559.426,59.826,-59.253,1.491,6.114,9.278,49.642,8.862,6.402,2.675,20.658,8.286,-9999,825.483,304.432,0.01
4561.375,4559.551,59.83,-59.254,1.653,6.304,9.439,49.642,8.878,6.584,2.677,20.182,8.328,-9999,748.705,286.808,0.01
4561.5,4559.675,59.835,-59.254,1.837,6.505,9.701,49.94,8.891,6.733,2.672,19.598,8.411,-9999,667.028,263.773,0.01
4561.625,4559.8,59.839,-59.255,2.007,6.679,10.026,50.16,8.896,6.783,2.659,19.498,8.718,-9999,596.07,242.347,0.01
4561.75,4559.925,59.844,-59.255,2.203,6.867,10.265,50.338,8.892,6.839,2.641,19.882,9.227,-9999,542.252,225.879,0.01
4561.875,4560.05,59.849,-59.256,2.444,7.083,10.363,50.6,8.884,6.96,2.626,20.457,9.762,-9999,505.762,215.933,0.01
4562,4560.175,59.853,-59.256,2.657,7.261,10.401,50.835,8.877,7.06,2.621,21.026,10.134,-9999,481.198,210.994,0.01
4562.125,4560.3,59.858,-59.257,2.757,7.341,10.478,50.923,8.876,7.06,2.624,21.653,10.392,-9999,466.271,209.754,0.01
4562.25,4560.425,59.863,-59.257,2.746,7.332,10.603,50.885,8.881,7.022,2.631,22.351,10.558,-9999,457.397,210.358,0.01
4562.375,4560.55,59.867,-59.258,2.634,7.242,10.809,50.78,8.893,6.993,2.635,22.853,10.695,-9999,450.435,211.198,0.01
4562.5,4560.675,59.872,-59.258,2.43,7.07,11.134,50.413,8.913,6.945,2.638,22.812,10.745,-9999,444.262,211.71,0.01
4562.625,4560.8,59.877,-59.259,2.137,6.806,11.571,49.805,8.936,6.845,2.641,22.31,10.803,-9999,444.285,213.747,0.01
4562.75,4560.925,59.881,-59.26,1.792,6.458,12.004,49.805,8.954,6.698,2.645,21.914,10.988,-9999,457.334,220.092,0.01
4562.875,4561.049,59.886,-59.26,1.44,6.051,12.363,49.098,8.961,6.481,2.652,22.322,11.736,-9999,492.391,234.88,0.313
4563,4561.174,59.89,-59.261,1.093,5.574,12.699,48.204,8.962,6.133,2.661,23.187,12.879,-9999,547.107,257.73,0.806
4563.125,4561.299,59.895,-59.261,0.76,5.003,13.235,47.738,8.963,5.597,2.677,24.021,14.096,-9999,615.788,286.735,1.339
4563.25,4561.424,59.9,-59.262,0.483,4.37,14.189,47.187,8.976,4.94,2.7,24.411,14.928,-9999,686.593,317.745,1.708
4563.375,4561.549,59.904,-59.262,0.297,3.784,15.488,46.768,9.002,4.387,2.723,24.367,15.426,-9999,749.637,346.888,1.93
4563.5,4561.674,59.909,-59.263,0.484,4.374,13.067,46.768,9.03,4.111,2.741,23.924,15.763,-9999,800.749,372.743,2.082
4563.625,4561.799,59.914,-59.263,0.349,3.97,13.953,46.643,9.038,4.144,2.748,23.356,16.014,-9999,835.43,393.566,2.195
4563.75,4561.924,59.918,-59.264,0.322,3.873,14.128,46.499,9.03,4.328,2.748,23.185,16.325,-9999,848.443,405.883,2.336
4563.875,4562.049,59.923,-59.264,0.334,3.916,14.03,46.416,9.014,4.457,2.744,23.367,16.593,-9999,838.633,407.186,2.457
4564,4562.174,59.928,-59.265,0.372,4.044,13.755,46.446,8.999,4.452,2.741,23.162,16.243,-9999,821.868,403.056,2.299
4564.125,4562.299,59.932,-59.265,0.463,4.315,13.02,46.55,8.985,4.407,2.74,22.314,15.047,-9999,816.036,401.904,1.761
4564.25,4562.423,59.937,-59.266,0.465,4.322,12.895,46.63,8.986,4.46,2.744,21.338,13.662,-9999,836.722,411.888,1.148
4564.375,4562.548,59.941,-59.267,0.42,4.193,12.946,46.731,9.016,4.565,2.756,21.106,13,-9999,885.588,435.076,0.859
4564.5,4562.673,59.946,-59.267,0.297,3.783,13.68,46.711,9.054,4.545,2.777,21.778,13.002,-9999,963.786,473.747,0.86
4564.625,4562.798,59.951,-59.268,0.167,3.186,15.276,46.655,9.078,4.313,2.802,22.978,13.531,-9999,1066.236,529.565,1.09
4564.75,4562.923,59.955,-59.268,0.091,2.664,17.2,46.59,9.099,4.043,2.818,24.385,14.504,-9999,1167.177,593.516,1.519
4564.875,4563.048,59.96,-59.269,0.058,2.331,18.848,46.504,9.134,3.913,2.822,25.655,15.619,-9999,1237.626,652.892,2.017
4565,4563.173,59.965,-59.269,0.048,2.193,19.627,46.445,9.184,3.985,2.817,26.137,16.218,-9999,1269.937,701.047,2.287
4565.125,4563.298,59.969,-59.27,0.051,2.234,19.151,46.369,9.24,4.135,2.814,25.612,16.144,-9999,1285.777,745.352,2.254
4565.25,4563.423,59.974,-59.27,0.05,2.228,19.151,46.253,9.298,4.234,2.816,24.689,15.698,-9999,1289.28,786.229,2.052
4565.375,4563.548,59.979,-59.271,0.041,2.096,20.468,46.046,9.337,4.224,2.821,24.465,15.424,-9999,1248.462,802.183,1.929
4565.5,4563.673,59.983,-59.271,0.031,1.923,23.085,45.8,9.351,4.131,2.824,24.827,15.262,-9999,1136.221,771.019,1.857
4565.625,4563.798,59.988,-59.272,0.037,2.033,23.7,45.661,9.359,4.021,2.815,24.838,14.757,-9999,953.962,682.437,1.631
4565.75,4563.922,59.992,-59.272,0.071,2.473,22.046,45.543,9.39,3.975,2.794,24.205,13.758,-9999,762.148,569.471,1.19
4565.875,4564.047,59.997,-59.273,0.135,2.988,20.74,45.564,9.435,3.998,2.772,23.429,12.797,-9999,605.056,464.494,0.771
4566,4564.172,60.002,-59.274,0.189,3.309,20.643,45.578,9.489,4.042,2.762,23.264,12.488,-9999,517.891,397.722,0.637
4566.125,4564.297,60.006,-59.274,0.184,3.282,21.617,45.585,9.572,4.031,2.766,23.603,12.694,-9999,495.146,372.915,0.726
4566.25,4564.422,60.011,-59.275,0.131,2.967,22.954,45.553,9.691,3.994,2.782,23.743,12.905,-9999,542.216,394.272,0.817
4566.375,4564.547,60.016,-59.275,0.077,2.528,24.114,45.512,9.801,4.044,2.803,23.166,12.861,-9999,685.905,477.317,0.798
4566.5,4564.672,60.02,-59.276,0.04,2.085,24.739,45.473,9.855,4.185,2.823,22.825,12.953,-9999,949.475,631.977,0.838
4566.625,4564.797,60.025,-59.276,0.029,1.901,22.373,45.434,9.853,4.354,2.833,23.49,13.515,-9999,1377.865,878.373,1.083
4566.75,4564.922,60.03,-59.277,0.033,1.974,18.028,45.419,9.841,4.523,2.825,24.635,14.172,-9999,1969.049,1211.217,1.372
4566.875,4565.047,60.034,-59.277,0.051,2.236,13.807,45.392,9.837,4.661,2.808,25.129,14.455,-9999,2610.254,1567.614,1.497
4567,4565.172,60.039,-59.278,0.077,2.531,11.07,45.306,9.83,4.679,2.794,24.943,14.345,-9999,3158.773,1867.207,1.449
4567.125,4565.296,60.043,-59.278,0.088,2.63,10.005,45.059,9.801,4.561,2.786,24.932,14.405,-9999,3535.076,2067.767,1.475
4567.25,4565.421,60.048,-59.279,0.087,2.624,9.689,44.781,9.745,4.42,2.78,24.99,14.547,-9999,3760.743,2186.472,1.538
4567.375,4565.546,60.053,-59.279,0.084,2.595,9.595,44.607,9.66,4.372,2.778,24.7,14.507,-9999,3897.178,2263.986,1.52
4567.5,4565.671,60.057,-59.28,0.069,2.454,9.971,44.531,9.546,4.364,2.783,24.442,14.426,-9999,3990.163,2328.564,1.485
4567.625,4565.796,60.062,-59.28,0.048,2.194,11.007,44.347,9.416,4.293,2.789,24.611,14.51,-9999,4020.82,2367.106,1.522
4567.75,4565.921,60.067,-59.281,0.042,2.113,11.476,44.26,9.315,4.174,2.783,25.186,14.736,-9999,3936.263,2338.835,1.622
4567.875,4566.046,60.071,-59.282,0.07,2.459,10.166,44.179,9.291,4.112,2.76,25.856,15.002,-9999,3767.058,2243.057,1.741
4568,4566.171,60.076,-59.282,0.129,2.949,8.8,44.099,9.351,4.095,2.738,26.655,15.321,-9999,3587.415,2108.465,1.883
4568.125,4566.296,60.081,-59.283,0.146,3.059,8.655,44.051,9.422,3.98,2.74,27.369,15.485,-9999,3492.055,1992.554,1.957
4568.25,4566.421,60.085,-59.283,0.089,2.64,9.927,44.106,9.441,3.743,2.761,27.743,15.451,-9999,3525.153,1934.143,1.941
4568.375,4566.546,60.09,-59.284,0.038,2.045,12.285,44.176,9.392,3.542,2.786,28.095,15.543,-9999,3737.651,1968.659,1.983
4568.5,4566.67,60.094,-59.284,0.013,1.498,15.662,44.213,9.302,3.57,2.804,28.728,15.864,-9999,4150.266,2125.5,2.127
4568.625,4566.795,60.099,-59.285,0.006,1.201,18.066,44.133,9.198,3.768,2.81,29.465,16.347,-9999,4714.054,2401.272,2.346
4568.75,4566.92,60.104,-59.285,0.008,1.273,16.035,44.001,9.102,3.93,2.804,29.961,16.769,-9999,5355.985,2770.233,2.538
4568.875,4567.045,60.108,-59.286,0.013,1.491,13.077,43.955,9.034,3.945,2.792,30.182,17.079,-9999,5958.172,3162.388,2.679
4569,4567.17,60.113,-59.286,0.02,1.689,11.225,43.771,8.995,3.879,2.783,29.919,17.241,-9999,6351.274,3491.14,2.754
4569.125,4567.295,60.118,-59.287,0.025,1.818,10.46,43.722,8.978,3.829,2.779,28.964,17.11,-9999,6237.965,3599.761,2.694
4569.25,4567.42,60.122,-59.287,0.03,1.904,10.462,43.738,8.979,3.864,2.776,28.046,16.817,-9999,5584.129,3410.877,2.56
4569.375,4567.545,60.127,-59.288,0.028,1.881,11.663,43.829,9.004,3.971,2.78,28.298,16.984,-9999,4504.737,2922.79,2.636
4569.5,4567.67,60.132,-59.289,0.018,1.644,15.301,44.203,9.057,4.055,2.796,29.634,17.732,-9999,3279.433,2240.82,2.98
4569.625,4567.795,60.136,-59.289,0.005,1.101,27.011,44.917,9.108,4.055,2.83,30.248,18.067,-9999,2177.99,1555.397,3.135
4569.75,4567.92,60.141,-59.29,0,0.499,70.761,45.389,9.134,3.963,2.874,29.319,17.515,-9999,1364.098,1005.442,2.88
4569.875,4568.044,60.145,-59.29,0.002,0.809,56.504,45.852,9.132,3.829,2.903,27.721,16.579,-9999,907.452,673.919,2.451
4570,4568.169,60.15,-59.291,0.005,1.146,46.772,46.025,9.121,3.728,2.903,26.538,15.931,-9999,720.039,526.08,2.157
4570.125,4568.294,60.155,-59.291,0.006,1.176,46.951,46.025,9.106,3.766,2.881,26.102,15.744,-9999,712.614,508.237,2.073
4570.25,4568.419,60.159,-59.292,0.01,1.376,38.238,45.897,9.071,3.985,2.847,25.607,15.49,-9999,836.396,576.939,1.959
4570.375,4568.544,60.164,-59.292,0.045,2.164,22.17,45.556,9.018,4.201,2.81,24.692,14.689,-9999,1077.08,718.408,1.601
4570.5,4568.669,60.169,-59.293,0.111,2.819,15.229,45.25,8.961,4.176,2.782,23.457,13.449,-9999,1386.675,901.635,1.055
4570.625,4568.794,60.173,-59.293,0.131,2.967,13.175,44.979,8.924,3.948,2.769,22.272,12.368,-9999,1643.726,1047.955,0.585
4570.75,4568.919,60.178,-59.294,0.126,2.928,12.723,44.713,8.912,3.673,2.762,21.455,11.743,-9999,1782.081,1114.654,0.316
4570.875,4569.044,60.183,-59.294,0.122,2.902,12.71,44.399,8.911,3.418,2.758,21.295,11.472,-9999,1783.092,1093.036,0.201
4571,4569.169,60.187,-59.295,0.101,2.745,13.634,44.241,8.908,3.14,2.763,21.666,11.462,-9999,1701.25,1023.07,0.196
4571.125,4569.294,60.192,-59.296,0.076,2.524,15.315,44.239,8.902,2.872,2.771,22.253,11.66,-9999,1568.23,927.649,0.281
4571.25,4569.418,60.196,-59.296,0.069,2.45,16.509,44.356,8.897,2.698,2.773,22.625,11.842,-9999,1423.924,830.954,0.359
4571.375,4569.543,60.201,-59.297,0.079,2.548,16.663,44.561,8.896,2.664,2.771,22.654,11.798,-9999,1304.471,752.862,0.34
4571.5,4569.668,60.206,-59.297,0.099,2.727,16.163,44.561,8.901,2.795,2.769,22.552,11.554,-9999,1229.3,702.6,0.236
4571.625,4569.793,60.21,-59.298,0.123,2.91,15.489,44.851,8.907,2.998,2.77,22.469,11.338,-9999,1196.31,676.649,0.144
4571.75,4569.918,60.215,-59.298,0.144,3.051,14.868,45.214,8.915,3.1,2.771,22.308,11.186,-9999,1193.466,668.17,0.079
4571.875,4570.043,60.22,-59.299,0.165,3.173,14.254,45.498,8.924,2.978,2.77,22.158,11.176,-9999,1210.931,672.621,0.075
4572,4570.168,60.224,-59.299,0.195,3.336,13.485,45.712,8.937,2.813,2.764,22.163,11.365,-9999,1231.931,681.569,0.155
4572.125,4570.293,60.229,-59.3,0.254,3.61,12.471,45.905,8.958,2.801,2.753,22.189,11.708,-9999,1239.619,685.888,0.302
4572.25,4570.418,60.234,-59.3,0.329,3.899,11.684,46.084,8.99,2.921,2.743,22.393,12.129,-9999,1215.813,674.377,0.482
4572.375,4570.543,60.238,-59.301,0.357,3.994,11.648,46.181,9.021,3.04,2.745,22.925,12.75,-9999,1162.755,645.917,0.75
4572.5,4570.668,60.243,-59.301,0.283,3.727,12.814,46.201,9.035,3.161,2.763,23.933,13.638,-9999,1089.046,605.303,1.137
4572.625,4570.792,60.247,-59.302,0.173,3.218,15.246,46.189,9.029,3.341,2.789,25.449,14.763,-9999,1009.798,563.131,1.634
4572.75,4570.917,60.252,-59.302,0.081,2.568,19.537,46.149,9.026,3.55,2.81,26.753,15.621,-9999,936.889,526.774,2.018
4572.875,4571.042,60.257,-59.303,0.058,2.329,22.099,46.149,9.045,3.737,2.813,27,15.799,-9999,880.125,500.371,2.098
4573,4571.167,60.261,-59.304,0.091,2.663,19.974,46.14,9.082,3.924,2.801,26.018,15.189,-9999,844.922,484.031,1.824
4573.125,4571.292,60.266,-59.304,0.188,3.301,16.581,46.249,9.115,4.088,2.786,24.451,14.235,-9999,824.849,473.232,1.4
4573.25,4571.417,60.271,-59.305,0.267,3.666,15.168,46.447,9.13,4.174,2.776,23.128,13.492,-9999,811.666,464.353,1.073
4573.375,4571.542,60.275,-59.305,0.345,3.956,14.238,46.619,9.132,4.277,2.768,22.287,13.147,-9999,799.536,456.312,0.923
4573.5,4571.667,60.28,-59.306,0.43,4.223,13.498,46.784,9.145,4.491,2.76,21.68,12.93,-9999,787.914,450.148,0.828
4573.625,4571.792,60.285,-59.306,0.482,4.369,13.173,46.873,9.194,4.789,2.758,21.469,12.897,-9999,776.816,446.075,0.814
4573.75,4571.917,60.289,-59.307,0.445,4.265,13.561,46.773,9.252,4.994,2.764,21.598,13.072,-9999,767.052,443.638,0.89
4573.875,4572.042,60.294,-59.307,0.353,3.982,14.52,46.623,9.274,5.005,2.773,21.924,13.404,-9999,760.795,443.699,1.035
4574,4572.167,60.298,-59.308,0.306,3.817,15.11,46.308,9.252,4.84,2.77,22.423,13.755,-9999,762.128,447.845,1.189
4574.125,4572.292,60.303,-59.308,0.321,3.87,14.86,46.217,9.256,4.675,2.759,23.051,14.035,-9999,769.356,454.001,1.312
4574.25,4572.417,60.308,-59.309,0.33,3.904,14.63,45.979,9.336,4.624,2.753,23.901,14.312,-9999,781.986,461.004,1.434
4574.375,4572.542,60.312,-59.309,0.281,3.72,15.113,45.698,9.456,4.65,2.761,24.563,14.414,-9999,804.645,470.368,1.479
4574.5,4572.667,60.317,-59.31,0.221,3.463,15.838,45.525,9.549,4.646,2.772,24.501,13.985,-9999,839.326,482.996,1.29
4574.625,4572.792,60.322,-59.311,0.196,3.342,15.972,45.505,9.61,4.569,2.778,23.708,13.059,-9999,882.264,497.176,0.884
4574.75,4572.916,60.326,-59.311,0.198,3.353,15.538,45.55,9.679,4.486,2.78,23.238,12.368,-9999,925.248,509.935,0.585
4574.875,4573.041,60.331,-59.312,0.196,3.345,15.262,45.622,9.745,4.464,2.783,23.713,12.277,-9999,961.138,519.447,0.546
4575,4573.166,60.336,-59.312,0.192,3.322,15.18,45.864,9.762,4.503,2.787,24.496,12.407,-9999,978.969,522.237,0.602
4575.125,4573.291,60.34,-59.312,0.198,3.355,15.069,45.925,9.75,4.585,2.787,24.547,12.331,-9999,965.666,512.664,0.569
4575.25,4573.416,60.344,-59.313,0.208,3.403,15.198,45.965,9.765,4.668,2.789,24.069,12.163,-9999,919.1,488.907,0.497
