序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
346,SY13,MK组,2018-11-25 00:00:00,2018年11月27日至2018年12月3日,分离器,4575.50-4648.50,"1#45/100
2#75/100",39,27,    无, 硫化氢,咸味,    透明,无,33,215,515,372,0,0,0,0,1135,1717,26,0,197,0,2,2,1945,3080,/,0,0,0,0.19,-71.32,,1.26,,氯化钙,1.0025,6.163,,,,,,,,,,,,,,,
347,SY13,MK组,2018-11-28 00:00:00,2018年11月29日至2018年12月4日,分离器,4575.50-4648.50,"1#45/100
2#75/100",39,27,    无, 硫化氢,咸味,    透明,无,27,167,426,291,0,0,0,0,911,1071,13,0,242,0,0,2,1328,2239,/,0,0,0,0.24,-84.94,,0.94,,氯化镁,1.0024,6.085,,,,,,,,,,,,,,,
348,SY13,MK组,2018-12-02 00:00:00,2018年12月5日至2018年12月10日,分离器,4575.50-4648.50,75/100,39,27,无,硫化氢,咸味,半透明,无,37,217,505,375,0,0,0,0,1134,1795,38,0,228,0,6,6,2073,3207,/,0,14,0,0.19,-51.46,,1.32,,氯化钙,1.0023,6.141,,,,,,,,,,,,,,,
349,SY13,MK组,2018-12-05 00:00:00,2018年12月6日至2018年12月10日,分离器,4575.50-4648.50,"1#45/100
2#75/100",39,27,无,硫化氢,咸味,透明,无,29,194,502,369,0,0,0,0,1094,1665,16,0,215,0,6,0,1902,2996,/,0,0,0,0.18,-117.97,,1.25,,氯化钙,1.0026,6.073,,,,,,,,,,,,,,,
350,SY13,MK组,2018-12-09 00:00:00,2018年12月11日至2018年12月18日,分离器,4575.50-4648.50,"1#45/100
2#75/100",39,27,无,硫化氢,咸味,透明,无,32,216,500,365,0,2,0,0,1114,1428,31,0,202,0,4,5,1670,2785,/,0,0,0,0.23,-48.51,,1.01,,氯化钙,1.0017,6.018,,,,,,,,,,,,,,,
351,SY13,MK组,2018-12-12 00:00:00,2018年12月13日至2018年12月18日,分离器,4575.50-4648.50,"1#45/100
2#75/100",39,27,无,硫化氢,咸味,透明,少许黑色沉淀,35,190,464,362,0,0,0,0,1051,1171,18,0,206,0,5,0,1399,2451,/,0,0,0,0.25,-65.97,,0.82,,氯化镁,1.0003,6.005,,,,,,,,,,,,,,,
352,SY13,MK组,2018-12-16 00:00:00,2018年12月18日至2018年12月24日,分离器,4575.50-4648.50,"1#45/100
2#75/100",39.54,27.56,    无,   无,无,    透明,无,7,2,36,1,0,0,0,5,51,20,4,0,211,0,2,0,237,288,/,0,0,0,0.18,-6.13,,4.69,,氯化钙,0.9984,6.227,,,,,,,,,,,,,,,
353,SY13,MK组,2018-12-19 00:00:00,2018年12月20日至2018年12月25日,分离器,4575.50-4648.50,45/100,39.5,27.55,    无, 硫化氢,咸味,    透明,无,38,181,424,322,0,1,0,0,966,1418,21,0,278,0,4,4,1725,2691,/,0,0,0,0.2,-73.89,,1.2,,氯化钙,1.0002,6.082,,,,,,,,,,,,,,,
354,SY13,MK组,2018-12-23 00:00:00,2018年12月25日至2019年1月2日,分离器,4575.50-4648.50,"1#45/100
2#75/100",36.3,27.54,无,硫化氢,咸味,透明,无,29,135,474,358,8,1,0,0,1005,1406,29,0,224,0,7,6,1672,2677,/,0,0,0,0.15,-56.18,,1.13,,氯化钙,1,6.028,,,,,,,,,,,,,,,
355,SY13,MK组,2018-12-26 00:00:00,2018年12月27日至2018年12月29日,分离器,4575.50-4648.50,"1# 45/100
2# 75/100",39.4,27.53,灰色,硫化氢,咸味,透明,无,21,52,254,183,0,0,0,0,510,886,17,0,219,0,5,3,1131,1640,/,0,0,0,0.09,-63.22,,1.49,,氯化钙,0.9996,6.002,,,,,,,,,,,,,,,
356,SY13,MK组,2018-12-30 00:00:00,2019-01-02 00:00:00,分离器,4575.50-4648.50,"1#45/100
2#75/100",39.4,27.53,无,硫化氢,咸味,透明,无,24,122,309,197,2,0,0,0,654,803,13,0,226,0,0,2,1044,1698,/,0,0,0,0.23,-61.57,,1.05,,氯化钙,0.9997,6.064,,,,,,,,,,,,,,,
357,SY13,MK组,2019-01-02 00:00:00,2019-01-03 00:00:00,分离器,4575.50-4648.50,75/100,39.4,27.53,无,硫化氢,微咸,半透明,无,17,91,185,141,1,0,0,0,436,677,6,0,226,0,0,0,910,1345,/,0,0,0,0.21,-116.52,,1.28,,氯化钙,0.9996,6.306,,,,,,,,,,,,,,,
358,SY13,MK组,2019-01-06 00:00:00,2019-01-08 00:00:00,分离器,4575.50-4648.50,75/100,39,27,无,硫化氢,微咸,透明,无,25,129,291,224,1,0,0,0,670,770,13,0,228,0,3,1,1015,1685,/,0,0,0,0.26,-59.86,,0.86,,氯化镁,0.9996,6.16,,,,,,,,,,,,,,,
359,SY13,MK组,2019-01-09 00:00:00,2019-01-10 00:00:00,分离器,4575.50-4648.50,"1#45/100
2#65/100",39,27,灰白色,硫化氢,咸味,半透明,无,25,143,323,252,1,0,0,0,745,940,15,0,237,0,4,1,1197,1942,/,0,0,0,0.23,-65.81,,0.97,,氯化镁,0.9998,6.195,,,,,,,,,,,,,,,
360,SY13,MK组,2019-01-13 00:00:00,2019-01-15 00:00:00,分离器,4575.50-4648.50,75/100,39,27,无,硫化氢,咸味,半透明,少量黑色沉淀,24,135,339,249,0,1,0,0,749,1090,17,0,228,0,5,2,1342,2090,/,0,5,0,0.19,-70.79,,1.2,,氯化钙,0.9998,6.225,,,,,,,,,,,,,,,
361,SY13,MK组,2019-01-16 00:00:00,2019-01-18 00:00:00,分离器,4575.50-4648.50,75/100,39,27,无,硫化氢,咸味,半透明,黑色沉淀,27,171,506,378,0,2,0,0,1083,1837,3,0,208,0,7,4,2058,3141,/,0,0,0,0.14,-807.86,,1.41,,氯化钙,1.0005,6.18,,,,,,,,,,,,,,,
362,SY13,MK组,2019-01-21 00:00:00,2019-01-22 00:00:00,分离器,4575.50-4648.50,50/100,39,32,灰色,无,无,透明,无,7,4,20,7,0,0,0,0,39,40,11,0,177,0,3,1,233,272,/,0,1,0,0.17,-4.04,,1.53,,氯化钙,0.9985,0,,,,,,,,,,,,,,,
363,SY13,MK组,2019-01-23 00:00:00,2019年1月25日,分离器,4575.50-4648.50,50/100,39,33,无,无,无,半透明,少量黑色沉淀,64.2519,31.1258,66.758,47.3102,0,0.2116,0,0,209.6575,269.1436,8.8589,0,217,0,4.5358,0.4651,500.0034,709.6609,/,0,1,0,0.178499491171902,-33.7462079868933,,1.57975596137349,,氯化钙,0.9988,6.734,,,,,,,,,,,,,,,
364,SY13,MK组,2019-01-27 00:00:00,2019年1月29日,分离器,4575.50-4648.50,"1#50/100
2#75/100",38.9,27.53,白色,硫化氢,微咸,不透明,无,21.8736,88.4598,170.8521,120.1466,5.4701,0,0,0,407.1226,634.2903,13.3904,0,394,0,13.3841,1.9003,1056.9651,1464.0877,/,0,0,0,0.215257553616805,-50.2613961052574,,1.40041457354565,,氯化钙,0.9992,6.233,,,,,,,,,,,,,,,
365,SY13,MK组,2019-01-30 00:00:00,2019-02-02 00:00:00,分离器,4575.50-4648.50,"1#50/100
2#75/100",38.67,27.53,无,硫化氢,微咸,透明,无,23,148,294,227,3,0,0,0,694,745,17,0,202,0,3,3,970,1664,/,0,0,0,0.31,-41.85,,0.77,,氯化镁,0.9998,6.412,,,,,,,,,,,,,,,
366,SY13,MK组,2019-02-03 00:00:00,2019-02-12 00:00:00,分离器,4575.50-4648.50,"1#50/100
2#75/100",38.56,32.37,灰黑色,硫化氢,微咸,不透明,无,24,141,305,226,0,1,0,0,696,795,10,0,182,0,4,2,993,1689,/,0,0,0,0.27,-75.67,,0.87,,氯化镁,0.9997,5.984,,,,,,,,,,,,,,,
367,SY13,MK组,2019-02-06 00:00:00,2019-02-12 00:00:00,分离器,4575.50-4648.50,"1#50/100
2#75/100",38.89,27.53,灰黑色,硫化氢,咸味,不透明,无,24,131,302,214,0,1,0,0,672,928,14,0,186,0,4,2,1135,1807,/,0,0,0,0.22,-68.61,,1.15,,氯化钙,0.9997,6.129,,,,,,,,,,,,,,,
368,SY13,MK组,2019-02-10 00:00:00,2019-02-12 00:00:00,分离器,4575.50-4648.50,"1#50/100
2#75/100",38.47,32.43,灰色,硫化氢,咸味,不透明,无,25,145,341,257,5,1,0,0,775,994,18,0,190,0,3,3,1208,1983,/,0,0,0,0.23,-58.86,,1.01,,氯化钙,0.9997,6.168,,,,,,,,,,,,,,,
369,SY13,MK组,2019-02-13 00:00:00,2019-02-18 00:00:00,分离器,4575.50-4648.50,50/100,38.87,27.53,无,硫化氢,淡咸味,透明,我,29.4525,146.6726,353.3145,257.9243,0,0,0,0,787.3639,705.7091,43.3624,0,173,0,0.9109,0,922.9824,1710.3463,/,0,0,0,0.320792192654477,-14.9461026278037,,0.628187108182396,,氯化镁,1,6.116,,,,,,,,,,,,,,,
370,SY13,MK组,2019-02-17 00:00:00,2019-02-19 00:00:00,分离器,4575.50-4648.50,"1#50/100
2#75/100",38,32,无,硫化氢,咸味,透明,无,32,153,334,256,2,0,0,0,778,950,28,0,190,0,4,1,1172,1950,/,0,0,0,0.25,-35.01,,0.94,,氯化镁,0.9967,6.118,,,,,,,,,,,,,,,
371,SY13,MK组,2019-02-20 00:00:00,2019-02-21 00:00:00,分离器,4575.50-4648.50,"1#50/100
2#75/100",38,32,无,硫化氢,咸味,透明,无,32,173,361,255,0,0,0,0,821,1180,31,0,199,0,2,4,1415,2236,/,0,0,0,0.23,-40.41,,1.21,,氯化钙,1.0001,6.184,,,,,,,,,,,,,,,
372,SY13,MK组,2019-02-24 00:00:00,2019-02-27 00:00:00,分离器,4575.50-4648.50,75/100,39,31,无,硫化氢,咸味,透明,无,35,146,327,229,10,6,0,0,753,1061,14,0,208,0,4,3,1290,2043,/,0,4,0,0.21,-78.7,,1.23,,氯化钙,1,6.241,,,,,,,,,,,,,,,
373,SY13,MK组,2019-02-27 00:00:00,2019-03-01 00:00:00,分离器,4575.50-4648.50,75/100,39,31,无,硫化氢,微咸,透明,无,17,121,239,176,3,1,0,0,558,758,16,0,199,0,3,1,978,1535,/,0,2,0,0.25,-47.46,,1.1,,氯化钙,0.9997,6.162,,,,,,,,,,,,,,,
374,SY13,MK组,2019-03-03 00:00:00,2019-03-06 00:00:00,分离器,4575.50-4648.50,75/100,39.55,31.84,无,硫化氢,微咸,透明,无,15,88,206,160,1,0,0,0,471,692,11,0,244,0,4,1,952,1423,/,0,0,0,0.2,-69.24,,1.17,,氯化钙,0.9996,6.218,,,,,,,,,,,,,,,
375,SY13,MK组,2019-03-06 00:00:00,2019-03-07 00:00:00,分离器,4575.00-4648.50,45/100,39.52,31.49,绿色,硫化氢,淡味, 不透明,无,13,74,168,128,1,0,0,0,385,554,10,0,164,0,3,1,732,1118,/,0,2,0,0.21,-58.63,,1.16,,氯化钙,0.9996,6.324,,,,,,,,,,,,,,,
376,SY13,MK组,2019-03-10 00:00:00,2019-03-12 00:00:00,分离器,4575.50-4648.50,75/100,39.28,31.47,无,硫化氢,微咸,透明,无,14,81,170,128,2,0,0,0,394,620,9,0,173,0,3,1,806,1200,/,0,3,0,0.2,-74.79,,1.31,,氯化钙,0.9997,5.964,,,,,,,,,,,,,,,
377,SY13,MK组,2019-03-13 00:00:00,2019-03-15 00:00:00,分离器,4575.50-4648.50,"1#45/100
2#75/100",39.47,31.48,灰白色,硫化氢,微咸,半透明,无,20,89,197,141,0,1,0,0,449,676,14,0,217,0,5,3,914,1363,/,0,0,0,0.2,-51.67,,1.29,,氯化钙,0.9997,6.287,,,,,,,,,,,,,,,
378,SY13,MK组,2019-03-17 00:00:00,2019-03-21 00:00:00,分离器,4575.50-4648.50,"1#45/100
2#75/100",39,31,无,硫化氢,微咸,透明,无,16,98,211,162,1,0,0,0,489,695,14,0,190,0,4,1,904,1392,/,0,0,0,0.22,-53.58,,1.13,,氯化钙,0.9999,6.266,,,,,,,,,,,,,,,
379,SY13,MK组,2019-03-20 00:00:00,2019-03-25 00:00:00,分离器,4575.50-4648.50,"一级40/100
二级70/100",39,31,无,硫化氢,微咸,透明,无,16,101,220,171,2,0,0,0,511,658,12,0,199,0,4,1,873,1384,/,0,0,0,0.24,-55.64,,0.99,,氯化镁,0.9999,6.503,,,,,,,,,,,,,,,
380,SY13,MK组,2019-03-24 00:00:00,2019年3月27日,分离器,4575.50-4648.50,"1#40/100
2#70/100",39,31,无,硫化氢,微咸,透明,无,15.6168,95.266,223.3801,170.9066,0.6448,0,0,0,505.8143,589.3901,11.1021,0,204,0,2.6898,0.6189,807.8009,1313.6152,/,0,0,0,0.249479928488789,-53.8732154594277,,0.87490159150102,,氯化镁,0.9998,6.218,,,,,,,,,,,,,,,
381,SY13,MK组,2019-03-27 00:00:00,2019年4月1日,分离器,4575.50-4648.50,"1#40/100
2#70/100",39,31,无,硫化氢,微咸,透明,无,25.1808,167.439,221.3757,137.7017,0,13.9773,0,0,565.6745,715.5505,29.6065,0,186,0,2.4582,4.8368,938.452,1504.1265,/,0,0,0,0.361174307783642,-20.8760572294926,,1.1221121241876,,氯化钙,1,6.356,,,,,,,,,,,,,,,
382,SY13,MK组,2019-03-31 00:00:00,2019-04-02 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",39.4,31.41,灰色,硫化氢,咸味,不透明,少量黑色沉淀,29,134,261,177,0,14,0,0,614,839,23,0,235,0,3,5,1106,1720,/,0,0,0,0.25,-36.99,,1.21,,氯化钙,1.0002,6.378,,,,,,,,,,,,,,,
383,SY13,MK组,2019-04-03 00:00:00,2019-04-04 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#75/100",39.25,31.4,无,硫化氢,咸味,透明,无,28,139,274,181,0,14,0,0,636,866,42,0,226,0,3,5,1143,1778,/,0,0,0,0.25,-21.07,,1.22,,氯化钙,1.0003,6.203,,,,,,,,,,,,,,,
384,SY13,MK组,2019-04-07 00:00:00,2019-04-09 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",39.28,31.4,无,硫化氢,微咸,透明,无,21,117,282,189,0,0,0,0,609,592,6,0,199,0,1,0,798,1406,/,0,0,0,0.3,-92.61,,0.74,,氯化镁,1.0004,6.402,,,,,,,,,,,,,,,
385,SY13,MK组,2019-04-10 00:00:00,2019-04-15 00:00:00,分离器,4575.50-4648.50,70/100,39.19,31.39,无色,硫化氢,微咸,不透明,无,22.544,126.0049,295.8155,194.959,0,0,0,0,639.3234,707.7176,15.6949,0,232,0,6.0462,3.2967,964.7554,1604.0788,/,0,0,0,0.274807103727593,-44.2148207508224,,0.889862984271157,,氯化镁,1.0005,6.125,,,,,,,,,,,,,,,
386,SY13,MK组,2019-04-14 00:00:00,2019-04-16 00:00:00,分离器,4575.50-4648.50,40/100,39,31,无色,硫化氢,咸味,透明,无,161.6176,126.9415,307.1991,177.1722,0,0,0,0,772.9304,1007.6824,28.8737,0,196,0,9.8766,3.0432,1245.4759,2018.4063,/,0,0,0,0.194437697485015,-38.0130968727432,,1.54874573321114,,氯化钙,1.0006,6.471,,,,,,,,,,,,,,,
387,SY13,MK组,2019-04-17 00:00:00,2019-04-18 00:00:00,分离器,4575.50-4648.50,70/100,39,31,灰黑色,硫化氢,微咸,不透明,少量黑色沉淀,28,117,251,173,0,3,0,0,572,844,15,0,200,0,5,1,1065,1638,/,0,6,0,0.21,-61.24,,1.3,,氯化钙,1.0005,6.242,,,,,,,,,,,,,,,
388,SY13,MK组,2019-04-21 00:00:00,2019年4月23日,分离器,4575.50-4648.50,"1#40/100
2#70/100",39,31,无,硫化氢,咸味,半透明,无,21.5036,125.2293,286.8609,182.2722,0,0,0,0,615.866,848.381,20.7247,0,200,0,4.0227,4.457,1077.5854,1693.4514,/,0,0,0,0.227832426909505,-42.739272456418,,1.21488438702875,,氯化钙,1.0005,6.305,,,,,,,,,,,,,,,
389,SY13,MK组,2019-04-24 00:00:00,2019年4月25日,分离器,4575.50-4648.50,"1#40/100
2#70/100",39,31,无,硫化氢,咸味,透明,无,19.8329,115.264,259.2324,164.7862,0,0,0,0,559.1155,870.5429,19.7425,0,232,0,4.0332,4.7675,1131.0861,1690.2016,/,0,0,0,0.204363826597023,-47.436805552443,,1.42081244306123,,氯化钙,1.0003,6.098,,,,,,,,,,,,,,,
390,SY13,MK组,2019-04-28 00:00:00,2019-04-30 00:00:00,分离器,4575.50-4648.50,78/100,39.99,31.32,灰黑色,硫化氢,咸味,不透明,无,20,136,332,209,0,1,0,0,698,1017,94,0,224,0,8,2,1345,2043,/,0,3,0,0.21,-11.58,,1.3,,氯化钙,1.0005,6.355,,,,,,,,,,,,,,,
391,SY13,MK组,2019-05-01 00:00:00,2019年5月7日,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.98,31.32,无,硫化氢,微咸,透明,无,25.0171,122.9025,250.3854,160.4214,2.8974,0,0,0,562.0424,777.1064,35.4093,0,224,0,4.2531,3.9658,1044.7346,1606.777,/,0,0,0,0.244107289499252,-22.4303570014506,,1.23774515147521,,氯化钙,1.0006,6.357,,,,,,,,,,,,,,,
392,SY13,MK组,2019-05-05 00:00:00,2019年5月7日,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.94,31.38,无,硫化氢,微咸,透明,无,24.5134,103.3621,241.9278,154.5462,1.9948,0,0,0,526.738,680.7154,19.8051,0,224,0,2.8038,2.4084,929.7327,1456.4707,/,0,0,0,0.234366894516895,-35.5813256399164,,1.13993697747196,,氯化钙,1.0005,6.364,,,,,,,,,,,,,,,
393,SY13,MK组,2019-05-08 00:00:00,2019-05-09 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.94,31.21,白色,硫化氢,微咸,不透明,无,15,87,180,118,0,0,0,0,400,724,25,0,216,0,6,4,975,1375,/,0,0,0,0.18,-31.39,,1.69,,氯化钙,1.0006,6.146,,,,,,,,,,,,,,,
394,SY13,MK组,2019-05-12 00:00:00,2019-05-14 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",39,31,无,硫化氢,咸味,透明,无,24,88,242,155,0,0,0,0,509,871,33,0,216,0,12,7,1138,1647,/,0,0,0,0.16,-30.49,,1.6,,氯化钙,1.0007,6.681,,,,,,,,,,,,,,,
395,SY13,MK组,2019-05-15 00:00:00,2019-05-16 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",39,31,无,硫化氢,咸味,透明,无,17,85,226,139,0,0,0,0,467,849,56,0,228,0,12,7,1151,1619,/,0,0,0,0.16,-17.23,,1.75,,氯化钙,1.0007,6.368,,,,,,,,,,,,,,,
396,SY13,MK组,2019-05-19 00:00:00,2019-05-22 00:00:00,分离器,4575.5-4648.5,70/100,39,31,无色,硫化氢,微咸,透明,少量黑色,23,108,230,154,0,0,0,0,514,740,30,0,159,0,9,3,941,1455,/,0,7,0,0.23,-26.16,,1.26,,氯化钙,1.0023,6.239,,,,,,,,,,,,,,,
397,SY13,MK组,2019-05-26 00:00:00,2019年5月30日,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.75,31.25,无,硫化氢,微咸,半透明,无,17.3586,116.1583,238.3664,160.0592,0,0,0,0,531.9425,692.8444,8.0287,0,232,0,4.8086,3.6629,941.3446,1473.2871,/,/,0,0,0.25877067184142,-86.4880209791769,,1.08457741578665,,氯化钙,1.001,6.25,,,,,,,,,,,,,,,
398,SY13,MK组,2019-05-29 00:00:00,2019年5月30日,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.92,31.32,无,硫化氢,微咸,不透明,无,16.4336,108.4783,238.3983,159.8661,0,0,0,0,523.1763,705.5828,17.4472,0,232,0,7.7354,2.624,965.3894,1488.5657,/,/,0,0,0.237298723588623,-41.7051419273666,,1.13788656919001,,氯化钙,1.0009,6.317,,,,,,,,,,,,,,,
399,SY13,MK组,2019-06-02 00:00:00,2019年6月6日,分离器,4575.50-4648.50,40/100,38.67,31.01,无,硫化氢,咸味,半透明,无,22.5506,128.8247,231.4824,159.1831,0,0,0,0,542.0408,827.0477,148.0444,0,183,0,0,3.8941,1161.9862,1704.027,/,/,0,0,0.240419172815599,-5.7375363812961,,1.33401430655508,,氯化钙,1.0004,6.376,,,,,,,,,,,,,,,
400,SY13,MK组,2019-06-05 00:00:00,2019年6月6日,分离器,4575.50-4648.50,40/100,38.21,31.02,无,硫化氢,咸味,透明,无,16.8969,106.9457,229.8227,152.3923,0,0,0,0,506.0576,804.7527,5.9821,0,163,0,2.654,2.1208,978.5096,1484.5672,/,/,0,0,0.205116880059524,-144.585563710671,,1.41891240678434,,氯化钙,1.0002,6.379,,,,,,,,,,,,,,,
401,SY13,MK组,2019-06-12 00:00:00,2019-06-13 00:00:00,分离器,4575.50-4648.50,70/100,38,31,无,硫化氢,微咸,透明,无,13,104,219,147,0,0,0,0,484,794,33,0,86,0,0,2,916,1399,/,/,11,0,0.2,-25.63,,1.45,,氯化钙,1.0002,7.158,,,,,,,,,,,,,,,
402,SY13,MK组,2019-06-09 00:00:00,2019-06-18 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",38,31,无,硫化氢,微咸,透明,无,9,61,128,108,0,0,0,0,306,532,51,0,110,0,61,8,762,1068,/,/,0,0,0.18,-11.6,,1.37,,氯化钙,1.0005,6.689,,,,,,,,,,,,,,,
403,SY13,MK组,2019-06-16 00:00:00,2019-06-18 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",38,31,无,硫化氢,咸味,透明,无,10,129,234,174,0,0,0,0,548,804,52,0,94,0,0,1,951,1499,/,/,0,0,0.25,-15.68,,1.17,,氯化钙,1.0003,7.078,,,,,,,,,,,,,,,
404,SY13,MK组,2019-06-19 00:00:00,2019年6月21日,分离器,4575.50-4648.50,40/100,38,31,白色,硫化氢,微咸,不透明,无,5.2989,130.0251,253.2739,179.5792,0,0,0,0,568.1771,750.889,113.6157,0,94,0,2.4274,3.2211,964.1532,1532.3303,/,/,0,0,0.267271081634424,-6.54777292906249,,1.03565697583084,,氯化钙,1.0001,6.298,,,,,,,,,,,,,,,
405,SY13,MK组,2019-06-23 00:00:00,2019-06-26 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.73,30.89,灰白色,硫化氢,微咸,半透明,无,7,112,225,154,0,0,0,0,499,656,15,0,200,0,6,3,880,1379,/, /,0,0,0.26,-43.64,,1.06,,氯化钙,1,6.216,,,,,,,,,,,,,,,
406,SY13,MK组,2019-06-26 00:00:00,2019-06-28 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.45,30.85,无,硫化氢,无,透明,无,23,159,209,133,0,7,0,0,531,377,14,0,187,0,2,0,580,1111,/,/,0,0,0.65,-12.63,,0.33,,氯化镁,1,6.112,,,,,,,,,,,,,,,
407,SY13,MK组,2019-06-30 00:00:00,2019-07-02 00:00:00,MK组,4575.50-4648.50,"1#4/100
2#7/100",38.14,30.12,无,硫化氢,微咸,透明,无,27,168,256,148,0,0,0,0,599,659,195,0,192,0,6,5,1057,1656,/,/,7,0,0.39,-2.77,,0.91,,氯化镁,1.0001,6.215,,,,,,,,,,,,,,,
408,SY13,MK组,2019-07-03 00:00:00,2019-07-09 00:00:00,分离器,4575.50-4648.50,40/100,38.17,30.17,灰色,硫化氢,微咸,不透明,无,18,98,266,143,0,0,0,0,525,650,15,0,208,0,4,2,878,1403,/,/,0,0,0.23,-45.19,,1.18,,氯化钙,1.0001,6.455,,,,,,,,,,,,,,,
409,SY13,MK组,2019-07-07 00:00:00,2019-07-09 00:00:00,分离器,4575.50-4648.50,40/100,38,30,灰色,硫化氢,微咸,不透明,无,20,91,243,144,8,0,0,0,506,624,27,0,183,0,6,1,841,1347,/,/,0,0,0.23,-24.46,,1.13,,氯化钙,1,6.373,,,,,,,,,,,,,,,
410,SY13,MK组,2019-07-14 00:00:00,2019年7月17日,分离器,4575.50-4648.50,40/100,38.33,30.3,无,硫化氢,微咸味,半透明,无,16.4241,75.6411,194.2576,135.1849,0,0,0,0,421.5077,780.0665,9.2236,0,208,0,5.4818,1.011,1003.7829,1425.2906,/,/,0,0,0.149667231547901,-97.2373168676417,,1.65861371325566,,氯化钙,1.0002,6.358,,,,,,,,,,,,,,,
411,SY13,MK组,2019-07-10 00:00:00,2019年7月17日,分离器,4575.50-4648.50,"1#40/100
2#20/100",38,30,无,硫化氢,微咸味,透明,无,14.1574,55.969,184.3559,131.9158,0,0,0,0,386.3981,752.0131,10.8307,0,118,0,4.4942,1.8657,887.2037,1273.6018,/,/,0,0,0.114874241928244,-83.0972675362816,,1.70563642775393,,氯化钙,1.0001,6.296,,,,,,,,,,,,,,,
412,SY13,MK组,2019-07-21 00:00:00,2019-07-24 00:00:00,分离器,4575.50-4648.50,"1#40/100
2#70/100",38.26,30.25,白灰,硫化氢,咸味,不透明,无,17,145,219,132,0,0,0,0,512,944,38,0,208,0,5,9,1204,1716,/,/,0,0,0.24,-25.42,,1.84,,氯化钙,1.0003,6.309,,,,,,,,,,,,,,,
413,SY13,MK组,2019-07-28 00:00:00,2019-08-01 00:00:00,分离器,4575.50-4648.50,40/100,38.21,30.25,灰白色,硫化氢,微咸,半透明,无,13,87,190,123,0,0,0,0,413,514,16,0,/,0,4,0,535,948,/,/,0,0,0.26,-32.19,,1.04,,氯化钙,1.0001,6.431,,,,,,,,,,,,,,,
414,SY13,MK组,2019-08-04 00:00:00,2019-08-06 00:00:00,分离器,4575.50-4648.50,40/100,38.14,30.08,无,硫化氢,咸味,不透明,无,16,96,209,128,0,0,0,0,449,947,59,0,/,0,4,0,1010,1459,/,/,0,0,0.16,-18.35,,2.11,,氯化钙,1.0003,6.095,,,,,,,,,,,,,,,
415,SY13,MK组,2019-08-11 00:00:00,2019-08-14 00:00:00,分离器,4575.50-4648.50,39/100,38.4,29.07,白灰,硫化氢,无味,不透明,无,16,85,153,105,0,0,0,0,359,343,42,0,/,0,0,0,385,744,/,/,0,0,0.38,-6.85,,0.68,,氯化镁,1.0002,6.306,,,,,,,,,,,,,,,
416,SY13,MK组,2019-08-18 00:00:00,2019-08-22 00:00:00,分离器,4575.50-4648.50,39/100,38.48,28.78,无,硫化氢,微咸,透明,无,17,76,175,107,0,0,0,0,375,472,65,0,/,0,4,3,545,920,/,/,0,0,0.25,-7.38,,1.12,,氯化钙,1.0002,6.358,,,,,,,,,,,,,,,
417,SY13,MK组,2019-08-25 00:00:00,2019-08-27 00:00:00,分离器,4575.50-4648.50,39/100,38.42,27.81,无,硫化氢,微咸,透明,无,14,70,164,104,0,0,0,0,352,648,44,0,/,0,4,6,702,1054,/,/,0,0,0.17,-16.77,,1.76,,氯化钙,1.0002,6.618,,,,,,,,,,,,,,,
418,SY13,MK组,2019-08-30 00:00:00,2019年9月5日,分离器,4575.5-4648.5,39/100,38.39,20.5,无,硫化氢,咸味,透明,无,14.4007,79.6825,175.7148,103.2872,0,0,0,0,373.0852,401.3209,10.7402,0,/,0,0,0,412.0611,785.1463,/,/,0,0,0.306458513677556,-35.0400516762127,,0.910899809010361,,氯化镁,1.0003,6.619,,,,,,,,,,,,,,,
419,SY13,MK组,2019-09-08 00:00:00,2019年9月10日,分离器,4575.50-4648.50,39/100,38.34,18.16,无,硫化氢,微咸,半透明,无,12.3224,65.0772,179.375,110.2957,0,0,0,0,367.0703,570.6678,64.7538,0,/,0,2.6966,6.572,644.6902,1011.7605,/,/,0,0,0.176013511675726,-9.81863426147441,,1.44111211779032,,氯化钙,1.0004,6.439,,,,,,,,,,,,,,,
