Depth,TVD,DX,DY,GR,KTH,CAL,AC,DEN,RT,RXO,SH,POR,SW,PERM
4527.625,4527.546,-3.92,-19.342,50.759,28.096,8.604,47.817,2.766,242.705,261.368,18.113,-9999,99.9,0
4527.75,4527.671,-3.92,-19.343,44.763,26.245,8.604,47.615,2.768,159.306,156.496,15.994,-9999,99.9,0.001
4527.875,4527.796,-3.92,-19.343,38.746,23.99,8.604,47.634,2.773,156.545,148.92,13.529,-9999,99.9,0.005
4528,4527.921,-3.92,-19.344,38.494,24.304,8.604,47.678,2.777,167.649,158.334,13.865,-9999,99.9,0.004
4528.125,4528.046,-3.92,-19.344,42.124,26.652,8.604,47.755,2.777,184.87,175.107,16.452,-9999,99.9,0.002
4528.25,4528.171,-3.92,-19.344,42.496,26.846,8.604,47.512,2.775,201.353,192.25,16.672,-9999,99.9,0.001
4528.375,4528.296,-3.92,-19.345,37.309,23.347,8.605,46.574,2.774,220.207,209.057,12.85,-9999,99.9,0.001
4528.5,4528.421,-3.92,-19.345,29.735,18.355,8.606,45.565,2.78,286.795,256.364,7.896,-9999,92.823,0.004
4528.625,4528.546,-3.92,-19.346,25.099,15.502,8.606,45.016,2.791,546.325,446.322,5.308,-9999,53.912,0.01
4528.75,4528.671,-3.919,-19.346,24.23,15.4,8.606,44.849,2.802,1026.749,814.113,5.219,-9999,43.217,0.006
4528.875,4528.796,-3.919,-19.347,25.815,17.095,8.607,44.903,2.807,1535.797,1220.029,6.733,-9999,47.113,0.002
4529,4528.921,-3.919,-19.347,28.021,19.45,8.611,44.913,2.809,1749.717,1400.099,8.935,1,100,0
4529.125,4529.046,-3.919,-19.348,29.942,21.456,8.621,44.799,2.811,1637.282,1309.537,10.907,1,100,0
4529.25,4529.171,-3.919,-19.348,30.688,22.046,8.629,44.654,2.814,1395.891,1092.312,11.504,1,100,0
4529.375,4529.296,-3.919,-19.348,29.75,20.756,8.627,44.455,2.815,1272.048,950.442,10.209,1,100,0
4529.5,4529.421,-3.919,-19.349,28.154,18.729,8.619,44.312,2.816,1303.147,923.535,8.248,1,100,0
4529.625,4529.546,-3.919,-19.349,27.694,17.543,8.61,44.421,2.815,1443.466,985.736,7.143,1,100,0
4529.75,4529.671,-3.919,-19.35,29.297,17.676,8.605,44.563,2.814,1563.613,1055.459,7.265,0,100,0
4529.875,4529.796,-3.918,-19.35,32.346,18.604,8.604,45.004,2.809,1570.387,1064.185,8.13,0,100,0
4530,4529.921,-3.918,-19.351,34.59,19.326,8.604,45.688,2.8,1448.118,987.569,8.816,0,100,0
4530.125,4530.046,-3.918,-19.351,34.024,18.916,8.604,46.273,2.785,1318.729,900.916,8.425,1,93.112,0
4530.25,4530.171,-3.918,-19.351,30.331,17.064,8.604,46.604,2.768,1269.007,864.736,6.704,1,57.777,0.003
4530.375,4530.296,-3.918,-19.352,25.41,14.641,8.604,46.718,2.756,1366.513,924.94,4.559,2,38.111,0.01
4530.5,4530.421,-3.918,-19.352,21.986,12.962,8.604,46.658,2.752,1630.64,1100.237,3.141,2,31.039,0.015
4530.625,4530.546,-3.918,-19.353,20.959,12.514,8.604,46.539,2.756,2002.47,1369.958,2.771,2,28.717,0.013
4530.75,4530.671,-3.918,-19.353,21.615,12.963,8.604,46.464,2.764,2245.275,1588.295,3.141,2,31.814,0.007
4530.875,4530.796,-3.918,-19.354,23.308,14.089,8.604,46.513,2.773,2188.665,1618.292,4.087,1,39.429,0.003
4531,4530.921,-3.918,-19.354,26.331,16.073,8.606,46.72,2.781,1856.894,1444.522,5.813,1,57.362,0.001
4531.125,4531.046,-3.918,-19.355,30.77,18.627,8.61,47.045,2.785,1474.276,1203.814,8.152,1,81.206,0.001
4531.25,4531.171,-3.917,-19.355,35.874,21.175,8.616,47.378,2.786,1168.141,995.383,10.625,1,100,0
4531.375,4531.296,-3.917,-19.355,41.093,23.756,8.619,47.796,2.786,924.724,818.48,13.281,1,100,0
4531.5,4531.421,-3.917,-19.356,47.022,27.773,8.619,48.379,2.784,679.761,626.091,17.737,1,100,0
4531.625,4531.546,-3.917,-19.356,54.639,34.749,8.62,48.96,2.779,439.045,421.99,26.51,1,100,0
4531.75,4531.671,-3.917,-19.357,62.484,43.039,8.625,49.245,2.773,254.633,252.425,38.917,0,100,0
4531.875,4531.796,-3.917,-19.357,65.185,46.808,8.63,49.419,2.77,151.86,151.264,45.378,0,100,0
4532,4531.921,-3.917,-19.358,59.55,44.402,8.63,49.396,2.774,116.197,113.311,41.19,0,100,0
4532.125,4532.046,-3.917,-19.358,49.201,38.664,8.626,49.241,2.786,115.305,110.609,32.079,1,100,0.003
4532.25,4532.171,-3.917,-19.359,43.486,35.638,8.62,49.115,2.798,122.957,117.177,27.732,1,100,0.004
4532.375,4532.296,-3.917,-19.359,46.629,38.623,8.615,49.265,2.802,129.35,123.498,32.018,1,100,0.002
4532.5,4532.421,-3.916,-19.359,53.804,45.066,8.61,49.281,2.796,129.021,123.752,42.323,0,100,0
4532.625,4532.546,-3.916,-19.36,56.719,47.482,8.607,49.005,2.785,124.992,120.086,46.593,0,100,0
4532.75,4532.671,-3.916,-19.36,51.754,41.413,8.604,48.263,2.779,126.126,120.057,36.296,0,100,0
4532.875,4532.796,-3.916,-19.361,42.874,31.328,8.601,47.293,2.781,160.42,146.982,22.034,1,100,0.004
4533,4532.921,-3.916,-19.361,35.802,23.963,8.598,46.523,2.786,272.105,241.115,13.501,1,100,0.003
4533.125,4533.046,-3.916,-19.362,33.491,22.249,8.597,46.175,2.79,487.316,436.052,11.711,1,100,0.001
4533.25,4533.171,-3.916,-19.362,34.896,23.586,8.599,46.194,2.786,712.692,657.804,13.101,1,100,0
4533.375,4533.296,-3.916,-19.363,38.947,27.234,8.604,46.733,2.776,820.948,785.721,17.115,0,100,0
4533.5,4533.421,-3.916,-19.363,46.191,34.836,8.605,47.825,2.758,733.404,729.136,26.629,0,100,0
4533.625,4533.546,-3.916,-19.363,56.365,45.693,8.602,49.304,2.73,547.883,563.021,43.409,0,100,0
4533.75,4533.671,-3.915,-19.364,68.392,57.917,8.598,51.891,2.695,370.831,388.831,67.983,0,100,0
4533.875,4533.796,-3.915,-19.364,80.661,70.449,8.595,53.284,2.663,260.399,271.641,99.982,0,100,0
4534,4533.921,-3.915,-19.365,91.292,81.45,8.595,54.342,2.64,196.37,200.632,99.982,0,100,0
4534.125,4534.046,-3.915,-19.365,98.552,88.795,8.594,54.939,2.628,158.294,157.86,99.982,0,100,0
4534.25,4534.171,-3.915,-19.366,100.737,90.709,8.589,54.91,2.625,132.52,129.895,99.982,0,100,0
4534.375,4534.296,-3.915,-19.366,98.519,88.327,8.583,54.788,2.628,112.989,108.943,99.982,0,100,0
4534.5,4534.421,-3.915,-19.367,91.229,80.758,8.581,53.928,2.643,101.876,96.227,99.982,0,100,0
4534.625,4534.546,-3.915,-19.367,77.73,66.305,8.581,52.367,2.67,103.744,95.359,89.261,0,100,0
4534.75,4534.671,-3.915,-19.368,60.275,48.1,8.584,50.455,2.705,129.388,113.211,47.723,0,100,0
4534.875,4534.796,-3.915,-19.368,43.731,32.336,8.59,48.474,2.74,235.2,189.984,23.317,1,100,0.004
4535,4534.921,-3.915,-19.368,32.469,22.889,8.595,46.665,2.769,561.177,433.727,12.371,1,100,0.002
4535.125,4535.046,-3.914,-19.369,26.451,18.285,8.598,45.064,2.789,1181.799,903.028,7.831,0,100,0
4535.25,4535.171,-3.914,-19.369,23.531,16.105,8.599,44.691,2.797,2068.839,1558.811,5.841,0,100,0
4535.375,4535.296,-3.914,-19.37,21.606,14.578,8.6,44.71,2.794,2966.334,2169.573,4.505,0,100,0
4535.5,4535.421,-3.914,-19.37,20.286,13.494,8.602,44.957,2.785,3691.02,2581.961,3.584,0,100,0
4535.625,4535.546,-3.914,-19.371,20.025,13.15,8.604,45.277,2.777,4118.158,2722.104,3.297,0,100,0
4535.75,4535.671,-3.914,-19.371,20.92,13.501,8.606,45.399,2.774,4286.921,2669.527,3.59,0,100,0
4535.875,4535.796,-3.914,-19.372,22.465,14.171,8.606,45.691,2.776,4262.21,2500.292,4.157,0,90.415,0
4536,4535.921,-3.914,-19.372,23.479,14.595,8.608,45.798,2.779,4174.649,2324.476,4.52,0,98.282,0
4536.125,4536.046,-3.914,-19.373,23.829,14.797,8.609,45.761,2.781,4134.672,2209.565,4.694,0,100,0
4536.25,4536.171,-3.914,-19.373,24.161,15.247,8.61,45.621,2.781,4160.715,2162.622,5.085,0,100,0
4536.375,4536.296,-3.914,-19.373,25.173,16.33,8.61,45.326,2.78,4161.501,2130.818,6.042,0,100,0
4536.5,4536.421,-3.913,-19.374,26.722,17.939,8.611,45.244,2.781,4007.431,2049.803,7.509,0,100,0
4536.625,4536.546,-3.913,-19.374,28.319,19.681,8.611,45.251,2.784,3615.888,1880.005,9.158,0,100,0
4536.75,4536.671,-3.913,-19.375,29.808,21.285,8.611,45.376,2.789,3034.443,1630.856,10.735,0,100,0
4536.875,4536.796,-3.913,-19.375,31.571,22.885,8.611,45.616,2.794,2401.607,1351.97,12.367,0,100,0
4537,4536.921,-3.913,-19.376,34.234,24.951,8.61,45.938,2.798,1823.847,1081.942,14.564,0,100,0
4537.125,4537.046,-3.913,-19.376,37.707,27.484,8.609,46.062,2.798,1344.01,839.037,17.402,0,100,0
4537.25,4537.171,-3.913,-19.377,40.807,29.691,8.609,46.445,2.796,972.566,634.935,20.012,0,100,0
4537.375,4537.296,-3.913,-19.377,41.826,30.274,8.609,46.732,2.793,732.019,492.564,20.723,0,100,0
4537.5,4537.421,-3.913,-19.378,40.818,29.199,8.609,46.923,2.789,592.357,407.035,19.419,0,100,0
4537.625,4537.546,-3.913,-19.378,39.156,27.528,8.609,47.048,2.786,522.065,364.225,17.453,1,100,0
4537.75,4537.671,-3.913,-19.378,39.455,27.494,8.609,47.233,2.785,493.312,350.413,17.414,1,100,0
4537.875,4537.796,-3.912,-19.379,42.949,30.435,8.61,47.445,2.786,476.986,346.54,20.922,1,100,0
4538,4537.921,-3.912,-19.379,49.226,36.344,8.611,47.784,2.782,465.036,344.687,28.719,0,100,0
4538.125,4538.046,-3.912,-19.38,55.738,42.635,8.612,48.329,2.771,449.566,336.296,38.256,0,100,0
4538.25,4538.171,-3.912,-19.38,60.542,47.068,8.612,48.971,2.758,418.95,315.279,45.845,0,100,0
4538.375,4538.296,-3.912,-19.381,64.382,50.173,8.613,49.226,2.743,364.429,276.118,51.634,0,100,0
4538.5,4538.421,-3.912,-19.381,69.326,54.108,8.616,50.018,2.73,294.803,225.099,59.582,0,100,0
4538.625,4538.546,-3.912,-19.382,75.044,58.718,8.618,50.734,2.72,230.706,177.084,69.845,0,100,0
4538.75,4538.671,-3.912,-19.382,78.981,61.98,8.619,51.131,2.715,189.097,144.985,77.784,0,100,0
4538.875,4538.796,-3.912,-19.383,79.241,62.611,8.615,51.197,2.713,173.681,132.45,79.389,0,100,0
4539,4538.921,-3.912,-19.383,76.928,61.669,8.612,51.026,2.713,182.601,137.949,77.002,0,100,0
4539.125,4539.046,-3.912,-19.384,74.311,60.684,8.61,50.348,2.714,220.04,164.758,74.559,0,100,0
4539.25,4539.171,-3.912,-19.384,72.909,60.236,8.609,50.124,2.715,275.396,206.922,73.466,0,100,0
4539.375,4539.296,-3.911,-19.385,72.994,60.585,8.609,50.13,2.715,324.832,248.443,74.317,0,100,0
4539.5,4539.421,-3.911,-19.385,74.413,61.898,8.609,50.545,2.714,333.899,263.734,77.577,0,100,0
4539.625,4539.546,-3.911,-19.385,76.859,63.934,8.609,51.282,2.715,299.937,246.949,82.83,0,100,0
4539.75,4539.671,-3.911,-19.386,80.694,66.444,8.609,51.58,2.716,238.78,206.509,89.649,0,100,0
4539.875,4539.796,-3.911,-19.386,86.162,68.477,8.61,52.586,2.713,176.537,160.053,95.464,0,100,0
4540,4539.921,-3.911,-19.387,91.5,69.68,8.61,53.466,2.705,129.716,122.252,99.034,0,100,0
4540.125,4540.046,-3.911,-19.387,94.569,70.127,8.61,54.053,2.695,102.774,99.248,99.982,0,100,0
4540.25,4540.171,-3.911,-19.388,95.97,70.618,8.61,54.597,2.688,90.453,88.71,99.982,0,100,0
4540.375,4540.296,-3.911,-19.388,100.101,73.023,8.61,55.538,2.686,83.752,83.125,99.982,0,100,0
4540.5,4540.421,-3.911,-19.389,110.061,79.809,8.61,56.372,2.685,78.296,78.306,99.982,0,100,0
4540.625,4540.546,-3.911,-19.389,121.33,87.945,8.61,56.924,2.683,72.455,72.684,99.982,0,100,0
4540.75,4540.671,-3.911,-19.39,126.04,91.853,8.61,57.125,2.679,66.115,66.229,99.982,0,100,0
4540.875,4540.796,-3.91,-19.39,119.489,88.444,8.609,56.744,2.677,60.368,59.985,99.982,0,100,0
4541,4540.921,-3.91,-19.391,106.298,81.242,8.608,55.698,2.681,57.982,56.548,99.982,0,100,0
4541.125,4541.046,-3.91,-19.391,93.306,73.533,8.608,55.236,2.692,61.989,58.56,99.982,0,100,0
4541.25,4541.171,-3.91,-19.392,85.065,67.6,8.608,53.695,2.701,78.67,70.721,92.922,0,100,0
4541.375,4541.296,-3.91,-19.392,81.201,64.031,8.608,52.338,2.7,113.293,96.964,83.086,0,100,0
4541.5,4541.421,-3.91,-19.392,80.342,62.551,8.607,51.497,2.688,172.908,142.341,79.236,0,100,0
4541.625,4541.546,-3.91,-19.393,81.5,62.038,8.608,51.161,2.672,270.345,216.679,77.931,0,100,0
4541.75,4541.671,-3.91,-19.393,83.353,61.798,8.608,50.904,2.658,392.154,312.529,77.326,0,100,0
4541.875,4541.796,-3.91,-19.394,85.071,61.871,8.608,50.91,2.649,499.958,402.012,77.509,0,100,0
4542,4541.921,-3.91,-19.394,85.974,62.064,8.609,50.991,2.646,537.312,437.973,77.997,0,100,0
4542.125,4542.046,-3.91,-19.395,85.871,61.752,8.609,51.089,2.647,503.584,415.433,77.21,0,100,0
4542.25,4542.171,-3.91,-19.395,84.001,60.678,8.609,51.185,2.648,427.343,355.303,74.544,0,100,0
4542.375,4542.296,-3.91,-19.396,79.543,59.108,8.611,51.155,2.65,349.694,291.664,70.763,0,100,0
4542.5,4542.421,-3.909,-19.396,72.152,56.258,8.611,51.006,2.654,288.281,239.041,64.235,0,100,0
4542.625,4542.546,-3.909,-19.397,61.439,50.333,8.612,50.574,2.662,256.113,207.252,51.943,0,100,0
4542.75,4542.671,-3.909,-19.397,48.753,40.653,8.612,49.766,2.678,261.172,204.027,35.103,0,100,0
4542.875,4542.796,-3.909,-19.398,36.962,29.672,8.612,48.762,2.701,309.857,234.302,19.989,1,100,0.003
4543,4542.921,-3.909,-19.398,29.36,21.754,8.61,47.918,2.729,427.523,319.128,11.208,1,95.045,0.004
4543.125,4543.046,-3.909,-19.399,26.571,18.763,8.61,47.022,2.755,589.351,448.097,8.281,1,91.135,0.002
4543.25,4543.171,-3.909,-19.399,26.981,18.681,8.61,46.652,2.775,726.536,573.598,8.203,1,100,0.001
4543.375,4543.296,-3.909,-19.4,28.95,19.662,8.611,46.513,2.789,731.45,603.67,9.139,1,100,0
4543.5,4543.421,-3.909,-19.4,31.418,21.352,8.611,46.37,2.799,624.161,535.127,10.802,0,100,0
4543.625,4543.546,-3.909,-19.401,33.873,23.533,8.612,46.244,2.807,480.074,420.112,13.045,0,100,0
4543.75,4543.671,-3.909,-19.401,35.294,25.008,8.617,46.045,2.814,386.671,335.093,14.626,0,100,0
4543.875,4543.796,-3.909,-19.402,35.181,25.203,8.631,45.832,2.82,355.241,299.348,14.839,0,100,0
4544,4543.921,-3.909,-19.402,33.978,24.601,8.649,45.631,2.822,378.502,309.137,14.185,0,100,0
4544.125,4544.046,-3.908,-19.403,32.981,24.048,8.655,45.614,2.818,445.859,357.072,13.591,0,100,0
4544.25,4544.171,-3.908,-19.403,33.147,24.133,8.644,46.061,2.81,530.214,425.175,13.682,0,100,0
4544.375,4544.296,-3.908,-19.403,34.794,25.083,8.627,46.511,2.799,599.811,490.01,14.708,0,100,0
4544.5,4544.421,-3.908,-19.404,36.93,26.251,8.617,46.979,2.783,642.766,537.648,16,0,100,0
4544.625,4544.546,-3.908,-19.404,37.916,26.839,8.611,47.223,2.77,683.973,582.615,16.664,0,100,0
4544.75,4544.671,-3.908,-19.405,36.483,26.384,8.603,47.305,2.765,766.223,661.332,16.15,0,100,0
4544.875,4544.796,-3.908,-19.405,34.186,25.473,8.588,47.415,2.768,864.714,761.17,15.136,1,100,0
4545,4544.921,-3.908,-19.406,33.781,25.843,8.572,47.521,2.773,899.47,813.051,15.545,1,100,0
4545.125,4545.046,-3.908,-19.406,37.313,29.72,8.56,47.761,2.771,792.858,735.834,20.047,1,100,0
4545.25,4545.171,-3.908,-19.407,42.993,35.115,8.555,47.998,2.764,605.767,571.515,27.01,0,100,0
4545.375,4545.296,-3.908,-19.407,47.972,39.228,8.554,48.229,2.757,433.984,407.012,32.923,0,100,0
4545.5,4545.421,-3.908,-19.408,49.133,39.266,8.554,48.338,2.752,347.306,316.617,32.98,0,100,0
4545.625,4545.546,-3.908,-19.408,46.555,34.438,8.554,48.062,2.75,328.087,288.455,26.089,1,100,0
4545.75,4545.671,-3.908,-19.409,42.374,27.231,8.554,47.81,2.749,374.458,313.661,17.111,1,100,0.001
4545.875,4545.796,-3.907,-19.409,40.308,23.234,8.554,47.511,2.754,495.481,391.467,12.731,1,100,0.002
4546,4545.921,-3.907,-19.41,41.018,23.126,8.555,47.321,2.758,658.466,492.123,12.618,1,100,0.001
4546.125,4546.046,-3.907,-19.41,42.597,24.116,8.556,47.231,2.759,815.926,576.753,13.664,1,100,0
4546.25,4546.171,-3.907,-19.411,42.832,24.74,8.558,47.211,2.755,925.203,619.993,14.335,0,100,0
4546.375,4546.296,-3.907,-19.411,41.889,25.445,8.563,47.101,2.754,981.579,630.194,15.105,0,100,0
4546.5,4546.421,-3.907,-19.412,40.571,26.122,8.57,46.955,2.761,988.046,620.324,15.856,0,100,0
4546.625,4546.546,-3.907,-19.412,39.125,26.762,8.576,46.81,2.774,971.968,606.132,16.577,0,100,0
4546.75,4546.671,-3.907,-19.413,37.661,27.211,8.58,46.657,2.785,961.733,598.601,17.088,0,100,0
4546.875,4546.796,-3.907,-19.413,36.459,27.452,8.58,46.445,2.79,964.535,599.727,17.365,0,100,0
4547,4546.921,-3.907,-19.414,35.63,27.396,8.58,46.3,2.791,951.038,592.547,17.301,0,100,0
4547.125,4547.046,-3.907,-19.414,35.198,27.296,8.58,46.309,2.796,903.44,565.957,17.186,0,100,0
4547.25,4547.171,-3.907,-19.415,35.012,27.103,8.579,46.472,2.804,833.073,525.266,16.965,0,100,0
4547.375,4547.296,-3.907,-19.415,35.136,27.111,8.579,46.727,2.808,767.237,486.541,16.974,0,100,0
4547.5,4547.421,-3.907,-19.416,35.648,27.472,8.579,46.97,2.802,714.278,455.06,17.388,0,100,0
4547.625,4547.546,-3.907,-19.416,36.487,28.113,8.579,46.991,2.791,669.862,428.935,18.133,0,100,0
4547.75,4547.671,-3.906,-19.417,37.223,28.67,8.58,47.177,2.784,627.659,405.421,18.788,1,100,0
4547.875,4547.796,-3.906,-19.417,37.496,28.9,8.58,47.218,2.783,586.321,384.352,19.062,1,100,0.001
4548,4547.921,-3.906,-19.418,37.207,28.792,8.58,47.177,2.79,552.513,369.103,18.933,1,100,0.001
4548.125,4548.046,-3.906,-19.418,36.427,28.453,8.581,47.097,2.799,533.37,363.477,18.532,1,100,0
4548.25,4548.171,-3.906,-19.419,35.186,27.692,8.581,46.709,2.805,531.437,369.722,17.643,1,100,0
4548.375,4548.296,-3.906,-19.419,34.159,26.769,8.581,46.572,2.806,540.171,384.754,16.585,1,100,0
4548.5,4548.421,-3.906,-19.42,34.009,26.276,8.581,46.47,2.805,552.87,404.671,16.028,1,100,0
4548.625,4548.546,-3.906,-19.42,34.482,26.261,8.58,46.492,2.805,555.275,420.746,16.012,1,100,0
4548.75,4548.671,-3.906,-19.421,34.963,26.417,8.578,46.769,2.806,529.499,417.042,16.187,1,100,0
4548.875,4548.796,-3.906,-19.421,35.702,26.944,8.573,47.242,2.808,474.327,387.675,16.783,1,100,0
4549,4548.921,-3.906,-19.422,37.299,28.299,8.57,47.26,2.813,404.467,339.373,18.351,0,100,0
4549.125,4549.046,-3.906,-19.422,39.709,30.751,8.567,47.792,2.82,342.307,291.002,21.313,0,100,0
4549.25,4549.171,-3.906,-19.423,42.46,34.022,8.569,48.223,2.827,294.464,250.314,25.53,0,100,0
4549.375,4549.296,-3.906,-19.423,44.625,36.983,8.575,48.392,2.83,264.076,221.488,29.627,0,100,0
4549.5,4549.421,-3.906,-19.424,45.508,38.275,8.588,48.476,2.828,249.558,204.295,31.503,0,100,0
4549.625,4549.546,-3.905,-19.424,44.277,37.212,8.602,48.095,2.822,253.518,201.336,29.955,0,100,0
4549.75,4549.671,-3.905,-19.425,40.872,33.757,8.615,47.703,2.818,282.244,215.981,25.176,1,100,0
4549.875,4549.796,-3.905,-19.425,36.198,28.604,8.622,47.237,2.817,346.199,253.381,18.71,1,100,0
4550,4549.921,-3.905,-19.426,31.338,23.013,8.622,46.567,2.822,482.147,331.784,12.5,1,100,0
4550.125,4550.046,-3.905,-19.426,27.716,18.972,8.618,45.776,2.827,866.404,541.624,8.479,0,100,0
4550.25,4550.171,-3.905,-19.427,26.076,17.163,8.614,45.122,2.829,1792.666,1053.528,6.795,0,100,0
4550.375,4550.296,-3.905,-19.427,26.038,16.883,8.617,45.072,2.829,3530.139,2061.657,6.54,0,100,0
4550.5,4550.421,-3.905,-19.428,26.202,16.935,8.621,44.675,2.826,5656.6,3388.975,6.587,0,100,0
4550.625,4550.546,-3.905,-19.428,25.798,16.697,8.619,44.559,2.823,7326.85,4561.103,6.372,0,100,0
4550.75,4550.671,-3.905,-19.428,25.644,16.753,8.608,44.681,2.82,7555.697,4935.62,6.422,0,100,0
4550.875,4550.796,-3.905,-19.429,27.202,18.19,8.594,44.87,2.819,6511.652,4477.078,7.742,0,100,0
4551,4550.921,-3.905,-19.429,30.521,21.189,8.584,45.388,2.817,4888.847,3556.865,10.639,0,100,0
4551.125,4551.046,-3.905,-19.43,34.107,24.411,8.581,45.449,2.816,3608.026,2770.443,13.98,0,100,0
4551.25,4551.171,-3.905,-19.43,36.297,26.372,8.58,45.44,2.813,2908.048,2348.944,16.136,0,100,0
4551.375,4551.296,-3.905,-19.431,36.514,26.668,8.58,45.346,2.807,2683.364,2257.796,16.47,0,100,0
4551.5,4551.421,-3.904,-19.431,36.549,26.725,8.58,45.354,2.799,2610.897,2277.292,16.535,0,100,0
4551.625,4551.546,-3.904,-19.432,38.804,28.851,8.581,45.425,2.793,2416.921,2189.279,19.003,0,100,0
4551.75,4551.671,-3.904,-19.432,43.978,34.194,8.583,45.757,2.793,1977.287,1873.406,25.76,0,100,0
4551.875,4551.796,-3.904,-19.433,50.045,40.513,8.583,46.519,2.798,1406.775,1400.981,34.886,0,100,0
4552,4551.921,-3.904,-19.433,54.412,45.059,8.585,47.383,2.803,925.753,964.891,42.311,0,100,0
4552.125,4552.046,-3.904,-19.434,56.077,46.919,8.588,48.014,2.805,643.248,683.133,45.577,0,100,0
4552.25,4552.171,-3.904,-19.434,56.47,47.442,8.594,48.443,2.806,504.38,533.391,46.52,0,100,0
4552.375,4552.296,-3.904,-19.435,56.905,48.019,8.602,48.785,2.805,434.144,453.895,47.574,0,100,0
4552.5,4552.421,-3.904,-19.435,56.965,48.395,8.613,48.541,2.801,399.305,413.697,48.269,0,100,0
4552.625,4552.546,-3.904,-19.436,54.856,46.287,8.628,48.169,2.794,386.372,396.473,44.452,0,100,0
4552.75,4552.671,-3.904,-19.436,49.574,40.231,8.659,47.68,2.787,397.534,401.987,34.45,0,100,0
4552.875,4552.796,-3.904,-19.437,41.729,31.852,8.731,47.188,2.783,452.22,444.636,22.697,1,100,0
4553,4552.921,-3.903,-19.437,33.867,24.829,8.833,47.177,2.787,590.716,549.888,14.432,0,100,0
4553.125,4553.046,-3.903,-19.438,27.279,20.018,8.919,47.243,2.797,919.397,795.959,9.484,0,100,0
4553.25,4553.171,-3.903,-19.438,22.89,17.087,8.938,47.906,2.81,1572.185,1301.43,6.725,0,100,0
4553.375,4553.296,-3.903,-19.439,20.611,15.556,8.895,48.593,2.818,2399.987,1979.595,5.355,0,100,0
4553.5,4553.421,-3.903,-19.439,19.999,15.152,8.821,48.701,2.818,3104.923,2617.443,5.002,0,100,0
4553.625,4553.546,-3.903,-19.44,20.341,15.48,8.747,47.841,2.813,3456.839,3023.724,5.289,0,100,0
4553.75,4553.671,-3.903,-19.44,21.364,16.366,8.682,46.612,2.808,3584.15,3272.23,6.074,0,100,0
4553.875,4553.796,-3.903,-19.441,23.382,18.245,8.638,45.851,2.808,3643.167,3473.019,7.794,0,100,0
4554,4553.921,-3.903,-19.441,26.896,21.573,8.615,45.7,2.808,3477.015,3447.809,11.025,0,100,0
4554.125,4554.046,-3.903,-19.441,32.713,26.945,8.606,46.085,2.808,2869.97,2951.912,16.785,0,100,0
4554.25,4554.171,-3.902,-19.442,42.318,35.835,8.605,47.402,2.803,1883.127,1999.803,28.006,0,100,0
4554.375,4554.296,-3.902,-19.442,54.415,47.227,8.605,48.008,2.795,975.611,1059.636,46.131,0,100,0
4554.5,4554.421,-3.902,-19.443,64.71,56.796,8.605,49.259,2.788,426.406,458.46,65.435,0,100,0
4554.625,4554.546,-3.902,-19.443,67.701,59.781,8.604,50.229,2.783,238.08,244.328,72.368,0,100,0
4554.75,4554.671,-3.902,-19.444,63.889,57.157,8.602,50.292,2.783,184.068,182.618,66.249,0,100,0
4554.875,4554.796,-3.902,-19.444,56.433,51.013,8.598,49.704,2.783,185.281,180.28,53.271,0,100,0
4555,4554.921,-3.902,-19.445,49.333,44.276,8.592,48.627,2.781,232.48,223.59,40.977,0,100,0
4555.125,4555.046,-3.902,-19.445,44.663,39.489,8.586,47.979,2.775,325.962,315.021,33.317,1,100,0.001
4555.25,4555.171,-3.902,-19.446,43.045,37.573,8.582,47.629,2.772,454.072,445.112,30.477,1,100,0
4555.375,4555.296,-3.901,-19.446,43.93,37.69,8.582,47.521,2.77,579.775,574.734,30.647,0,100,0
4555.5,4555.421,-3.901,-19.447,45.524,38.249,8.588,47.522,2.771,670.659,669.577,31.465,0,100,0
4555.625,4555.546,-3.901,-19.447,46.87,38.796,8.594,47.7,2.774,694.927,698.916,32.275,0,100,0
4555.75,4555.671,-3.901,-19.447,48.573,40.07,8.595,47.99,2.779,640.157,650.482,34.203,0,100,0
4555.875,4555.796,-3.901,-19.448,51.458,42.938,8.59,48.374,2.784,530.793,544.774,38.751,0,100,0
4556,4555.921,-3.901,-19.448,54.796,46.531,8.581,48.788,2.787,415.384,425.932,44.884,0,100,0
4556.125,4556.046,-3.901,-19.449,55.898,47.667,8.574,48.884,2.788,339.655,342.304,46.93,0,100,0
4556.25,4556.171,-3.901,-19.449,53.474,44.395,8.573,48.557,2.789,308.755,303.072,41.178,0,100,0
4556.375,4556.296,-3.901,-19.45,49.137,38.812,8.574,47.886,2.789,312.791,299.685,32.299,1,100,0.001
4556.5,4556.421,-3.9,-19.45,46.566,35.467,8.573,47.561,2.789,333.879,315.171,27.495,1,100,0.001
4556.625,4556.546,-3.9,-19.451,47.02,35.534,8.569,47.656,2.789,358.064,336.834,27.587,1,100,0.001
4556.75,4556.671,-3.9,-19.451,49.803,37.796,8.568,48.059,2.789,366.361,346.376,30.801,1,100,0.001
4556.875,4556.796,-3.9,-19.452,52.686,40.573,8.572,48.477,2.787,355.906,337.867,34.979,1,100,0.001
4557,4556.921,-3.9,-19.452,54.443,42.705,8.577,49.034,2.784,338.508,319.645,38.37,0,100,0
4557.125,4557.046,-3.9,-19.452,54.11,42.943,8.58,49.619,2.78,342.908,315.999,38.759,0,100,0
