Depth,GR,KTH,CAL,AC,CNL,DEN,RT,RXO,SH,POR,SW,PERM
4581.875,35.589,8.5,8.753,48.958,0.734,2.662,39431.551,13174.507,0.01,1.788,33.788,0.09
4582,34.713,8.135,8.756,48.912,0.698,2.663,38784.395,13288.889,0.01,1.746,34.512,0.087
4582.125,32.649,7.114,8.752,48.924,0.679,2.671,36381.418,13283.638,0.01,1.584,37.601,0.077
4582.25,31.848,6.689,8.735,48.937,0.695,2.681,32794.102,12897.701,0.01,1.394,42.075,0.066
4582.375,31.983,6.752,8.721,48.942,0.711,2.684,31447.363,12667.56,0.01,1.341,43.536,0.063
4582.5,32.747,7.15,8.694,48.942,0.759,2.688,30445.23,12286.971,0.01,1.278,45.436,0.059
4582.625,33.233,7.454,8.69,48.937,0.784,2.689,30066.309,12068.462,0.01,1.265,45.84,0.059
4582.75,33.953,8.205,8.706,48.86,0.786,2.688,28545.031,11508.431,0.01,1.267,45.766,0.059
4582.875,33.869,8.844,8.738,48.643,0.752,2.685,28118.723,11249.724,0.01,1.264,45.863,0.059
4583,33.517,9.078,8.769,48.356,0.753,2.684,28809.18,11341.939,0.01,1.216,47.465,0.056
4583.125,32.357,9.35,8.882,48.199,0.791,2.682,30735.738,11585.989,0.01,1.23,46.991,0.057
4583.25,30.389,9.105,9.007,48.199,0.794,2.681,30851.818,11118.194,0.01,1.251,46.304,0.058
4583.375,29.183,8.657,9.059,48.311,0.751,2.681,29267.594,10430.749,0.01,1.264,45.88,0.059
4583.5,26.991,7.397,9.131,48.64,0.611,2.684,22070.363,8065.124,0.01,1.237,46.749,0.057
4583.625,25.781,6.588,9.122,49.002,0.551,2.69,12416.8,5206.647,0.01,1.184,48.592,0.054
4583.75,25.62,6.466,9.074,49.254,0.581,2.695,8596.142,4015.814,0.01,1.119,51.072,0.05
4583.875,26.122,6.733,8.94,49.254,0.719,2.703,4755.214,2619.256,0.01,0.955,58.734,0.042
4584,27.638,8.198,8.938,49.379,0.817,2.702,4109.466,2321.473,0.01,1.041,54.411,0.046
4584.125,28.722,9.469,8.991,49.434,0.8,2.698,4261.585,2424.245,0.01,1.14,50.237,0.052
4584.25,30.703,12.2,9.047,49.466,0.612,2.682,5180.176,2985.592,0.01,1.472,40.118,0.071
4584.375,31.073,13.115,9.023,49.501,0.505,2.674,5838.517,3393.218,0.01,1.603,37.201,0.078
4584.5,29.362,13.892,8.926,49.56,0.479,2.665,7174.037,4228.521,0.01,1.787,33.81,0.09
4584.625,25.202,12.625,8.847,49.56,0.767,2.668,8257.228,4841.339,0.01,1.822,33.233,0.092
4584.75,23.287,11.269,8.812,49.641,0.967,2.673,8709.2,5061.022,0.01,1.808,33.466,0.091
4584.875,20.995,8.527,8.739,49.727,1.333,2.687,9441.304,5403.902,0.01,1.671,35.873,0.082
4585,20.188,7.191,8.732,49.774,1.63,2.704,9688.957,5544.096,0.01,2.003,30.576,0.103
4585.125,20.282,6.924,8.758,49.753,1.745,2.715,9584.613,5497.626,0.01,2.1,29.329,0.109
4585.25,21.67,6.96,8.804,49.753,1.821,2.737,9253.898,5286.831,0.01,2.195,28.211,0.115
4585.375,23.256,7.616,8.818,49.687,1.683,2.754,9376.034,5202.733,0.01,2.093,29.416,0.109
4585.5,23.452,7.979,8.823,49.616,1.546,2.757,9658.938,5244.996,0.01,1.966,31.088,0.101
4585.625,23.16,8.804,8.852,49.535,1.17,2.749,10546.021,5498.043,0.01,1.638,36.502,0.081
4585.75,23.224,9.451,8.874,49.376,0.967,2.738,11379.414,5795.227,0.01,1.4,41.932,0.066
4585.875,24.088,11.288,8.887,49.11,0.668,2.708,15314.396,7105.213,0.01,1.019,55.467,0.045
4586,24.292,12.661,8.837,49.11,0.573,2.681,24058.707,9458.24,0.01,1.395,42.057,0.066
4586.125,23.606,12.795,8.8,48.82,0.571,2.672,30723.797,10831.814,0.01,1.504,39.354,0.073
4586.25,21.286,12.148,8.753,48.643,0.59,2.664,49618.551,13340.675,0.01,1.627,36.731,0.08
4586.375,20.265,11.799,8.793,48.594,0.68,2.669,72701.938,14804.155,0.01,1.545,38.425,0.075
4586.5,20.731,12.047,8.833,48.587,0.759,2.674,82224.688,14961.053,0.01,1.471,40.139,0.071
4586.625,22.228,12.682,8.9,48.61,0.892,2.685,88154.445,14141.008,0.01,1.302,44.682,0.061
4586.75,21.999,12.229,8.926,48.61,0.9,2.693,74923.313,12498.988,0.01,1.147,49.985,0.052
4586.875,21.109,11.591,8.924,48.811,0.895,2.695,64913.746,11737.487,0.01,1.153,49.745,0.052
4587,18.86,10.041,8.878,49.373,0.952,2.688,48108.168,10840.402,0.01,1.442,40.832,0.069
4587.125,16.926,8.663,8.778,50.295,1.017,2.666,40973.922,10892.221,0.01,2.116,29.129,0.11
4587.25,16.469,8.256,8.725,51.359,1.01,2.651,40701.652,11242.788,0.01,2.661,23.809,0.146
4587.375,16.992,8.112,8.678,51.359,0.897,2.616,45234.469,12475.814,0.01,3.319,19.599,0.191
4587.5,17.731,8.243,8.687,52.26,0.797,2.601,49691.43,13228.446,0.01,3.794,17.417,0.225
4587.625,19.019,8.474,8.724,52.759,0.509,2.583,60297.477,14462.857,0.01,4.173,16.015,0.253
4587.75,19.675,8.535,8.727,52.736,0.2,2.586,66521.602,14691.28,0.01,4.007,16.601,0.241
4587.875,20.175,8.601,8.717,52.234,0.113,2.594,65469.695,14288.676,0.01,3.702,17.8,0.218
4588,22.059,9.081,8.709,51.44,0.152,2.613,54139.82,12411.72,0.01,3.152,20.51,0.179
4588.125,23.697,9.657,8.733,51.44,0.347,2.627,37446.48,9712.323,0.01,2.938,21.819,0.165
4588.25,23.815,9.793,8.75,50.581,0.428,2.63,30629.656,8547.781,0.01,2.704,23.474,0.149
4588.375,22.832,9.344,8.803,49.859,0.512,2.635,23604.535,7566.236,0.01,2.463,25.485,0.133
4588.5,21.805,8.552,8.862,49.414,0.58,2.644,23970.754,8738.029,0.01,2.202,28.126,0.116
4588.625,21.673,8.299,8.872,49.332,0.633,2.651,26320.332,10060.267,0.01,2.062,29.811,0.107
4588.75,21.79,8.181,8.839,49.332,0.77,2.668,34198.293,13598.127,0.01,1.77,34.105,0.088
4588.875,21.859,8.19,8.8,49.616,0.916,2.683,39785.641,16337.392,0.01,1.587,37.542,0.077
4589,21.979,8.309,8.797,50.154,0.984,2.689,39041.68,16584.646,0.01,1.75,34.432,0.087
4589.125,22.728,9.146,8.8,50.77,1.087,2.695,30890.207,14720.933,0.01,2.297,27.106,0.122
4589.25,23.298,9.905,8.791,51.299,1.106,2.696,25702.23,13217.955,0.01,2.566,24.582,0.139
4589.375,24.164,11.548,8.755,51.625,1.066,2.694,18054.904,10713.42,0.01,2.669,23.746,0.146
4589.5,24.218,12.556,8.727,51.625,0.953,2.685,14760.482,9411.121,0.01,2.542,24.784,0.138
4589.625,23.868,12.687,8.721,51.657,0.888,2.678,14099.103,9017.156,0.01,2.485,25.288,0.134
4589.75,22.627,12.125,8.716,51.382,0.779,2.659,13359.34,8337.266,0.01,2.327,26.79,0.124
4589.875,21.932,11.126,8.725,50.902,0.713,2.641,12052.586,7567.292,0.01,2.655,23.857,0.145
4590,22.162,10.763,8.737,50.401,0.706,2.633,11066.497,7132.706,0.01,2.694,23.551,0.148
4590.125,23.033,10.123,8.754,50.401,0.791,2.624,9061.59,6300.287,0.01,2.901,22.067,0.162
4590.25,22.82,9.158,8.751,50.028,0.987,2.625,7780.17,5773.53,0.01,2.858,22.358,0.159
4590.375,22.101,8.641,8.748,49.825,1.089,2.628,7465.149,5681.083,0.01,2.784,22.878,0.154
4590.5,20.313,8.073,8.758,49.778,1.198,2.64,7376.274,5815.528,0.01,2.571,24.542,0.14
4590.625,19.514,8.117,8.77,49.879,1.16,2.648,7566.29,5999.478,0.01,2.423,25.853,0.13
4590.75,18.357,8.597,8.788,50.122,0.946,2.661,8132.599,6438.687,0.01,2.152,28.706,0.112
4590.875,18.015,9.256,8.798,50.122,0.763,2.668,8450.26,6734.88,0.01,1.953,31.27,0.1
4591,18.079,9.535,8.802,50.466,0.727,2.668,8432.072,6784.244,0.01,1.999,30.625,0.103
4591.125,18.324,9.905,8.795,50.834,0.719,2.658,8273.615,6826.878,0.01,2.288,27.192,0.121
4591.25,18.835,10.202,8.772,51.143,0.657,2.642,8485.349,7145.009,0.01,2.673,23.715,0.147
4591.375,19.187,10.385,8.762,51.332,0.614,2.633,8812.43,7458.088,0.01,2.882,22.195,0.161
4591.5,20.162,10.761,8.753,51.332,0.564,2.623,9663.175,8172.715,0.01,3.064,21.028,0.173
4591.625,21.881,11.346,8.757,51.404,0.506,2.623,10172.91,8569.057,0.01,3.061,21.042,0.173
4591.75,22.908,11.664,8.762,51.419,0.469,2.627,10123.023,8540.55,0.01,2.973,21.59,0.167
4591.875,24.556,12.165,8.779,51.45,0.437,2.634,9328.637,8016.158,0.01,2.831,22.544,0.157
4592,24.597,12.026,8.804,51.506,0.536,2.638,7945.662,7093.526,0.01,2.783,22.886,0.154
4592.125,24.112,11.745,8.812,51.518,0.626,2.638,7271.905,6631.549,0.01,2.824,22.591,0.157
4592.25,23.371,11.239,8.808,51.518,0.817,2.636,6424.704,6023.308,0.01,2.932,21.855,0.164
4592.375,23.337,11.2,8.8,51.44,0.901,2.636,6328.454,5942.397,0.01,2.942,21.793,0.165
4592.5,23.37,11.332,8.796,51.284,1.003,2.636,6712.95,6158.616,0.01,2.939,21.812,0.165
4592.625,22.723,11.463,8.815,51.093,1.008,2.636,7518.483,6605.631,0.01,2.896,22.098,0.162
4592.75,22.285,11.565,8.823,50.879,0.999,2.636,7991.204,6852.72,0.01,2.843,22.461,0.158
4592.875,21.831,12.104,8.815,50.64,1.02,2.635,9120.192,7408.849,0.01,2.814,22.666,0.156
4593,21.688,12.766,8.793,50.64,1.093,2.632,10352.766,7990.26,0.01,2.897,22.089,0.162
4593.125,21.521,12.977,8.789,50.415,1.116,2.63,10862.172,8219.148,0.01,2.892,22.126,0.161
4593.25,21.22,13.125,8.803,50.284,1.106,2.627,11593.389,8497.912,0.01,2.917,21.955,0.163
4593.375,21.641,13.227,8.819,50.279,1.058,2.626,12321.07,8718.208,0.01,2.92,21.936,0.163
4593.5,22.046,13.174,8.818,50.339,1.041,2.626,12759.082,8858.416,0.01,2.929,21.88,0.164
4593.625,22.815,12.618,8.797,50.339,1.044,2.628,13396.113,9067.226,0.01,2.89,22.138,0.161
4593.75,23.177,12.226,8.786,50.361,1.049,2.629,13409.541,9049.883,0.01,2.877,22.227,0.16
4593.875,23.735,11.438,8.776,50.305,1.04,2.631,12818.249,8721.97,0.01,2.821,22.614,0.157
4594,23.342,10.415,8.779,50.255,1.019,2.633,11891.495,8207.83,0.01,2.763,23.034,0.153
4594.125,22.691,9.85,8.782,50.321,1.02,2.634,11441.733,7959.15,0.01,2.759,23.063,0.152
4594.25,21.269,9.06,8.782,50.535,1.065,2.636,10645.532,7536.075,0.01,2.784,22.878,0.154
4594.375,20.835,8.807,8.761,50.535,1.11,2.638,10219.326,7298.715,0.01,2.759,23.06,0.152
4594.5,20.954,8.687,8.746,50.816,1.095,2.639,10306.214,7308.083,0.01,2.8,22.762,0.155
4594.625,21.452,8.216,8.733,51.053,0.973,2.639,11231.281,7653.264,0.01,2.815,22.653,0.156
4594.75,22.324,7.472,8.75,51.192,0.808,2.639,12847.586,8373.732,0.01,2.794,22.809,0.155
4594.875,22.886,7.077,8.764,51.249,0.763,2.64,13734.627,8835.51,0.01,2.772,22.964,0.153
4595,23.732,6.346,8.776,51.249,0.782,2.644,15480.766,9895.029,0.01,2.699,23.512,0.148
4595.125,23.784,5.855,8.758,51.29,0.862,2.652,16889.77,10883.423,0.01,2.566,24.585,0.139
4595.25,23.572,5.734,8.744,51.369,0.902,2.655,17141.137,11162.797,0.01,2.51,25.068,0.136
4595.375,23.222,5.804,8.731,51.502,0.975,2.656,16071.039,10941.02,0.01,2.525,24.934,0.137
4595.5,23.284,5.976,8.736,51.597,1.015,2.654,14796.142,10431.197,0.01,2.605,24.261,0.142
4595.625,23.774,6.421,8.753,51.521,1.073,2.648,11575.449,8921.342,0.01,2.779,22.914,0.154
4595.75,23.719,6.545,8.753,51.521,1.043,2.646,8534.802,7261.27,0.01,2.809,22.699,0.156
4595.875,23.319,6.432,8.747,51.256,1.005,2.647,7277.302,6508.316,0.01,2.715,23.392,0.149
4596,22.724,6.056,8.73,50.931,0.939,2.651,5451.849,5328.688,0.01,2.537,24.825,0.138
4596.125,23.506,5.794,8.717,50.714,0.937,2.654,4612.408,4678.986,0.01,2.427,25.823,0.13
4596.25,24.065,5.725,8.715,50.648,0.992,2.655,4441.739,4517.229,0.01,2.409,25.985,0.129
4596.375,24.474,5.786,8.721,50.648,1.235,2.663,4279.537,4364.398,0.01,2.331,26.757,0.124
4596.5,24.402,6.371,8.742,50.623,1.532,2.679,4197.63,4270.708,0.01,2.232,27.797,0.118
4596.625,24.49,6.876,8.752,50.518,1.629,2.689,4130.375,4195.34,0.01,2.275,27.337,0.12
4596.75,24.677,8.117,8.768,50.318,1.649,2.706,3858.499,3956.093,0.01,2.225,27.87,0.117
4596.875,24.521,8.819,8.776,50.115,1.586,2.71,3685.029,3823.548,0.01,2.091,29.447,0.109
4597,23.516,10.26,8.798,50.001,1.373,2.702,3449.703,3647.906,0.01,1.858,32.669,0.094
4597.125,22.42,11.334,8.803,50.001,1.115,2.679,3424.649,3596.631,0.01,1.822,33.237,0.092
4597.25,22.083,11.57,8.794,49.976,0.999,2.667,3411.384,3556.598,0.01,2.016,30.401,0.104
4597.375,22.044,11.723,8.779,49.949,0.842,2.65,3185.34,3300.798,0.01,2.295,27.118,0.122
4597.5,23.067,12.146,8.79,49.828,0.76,2.652,2646.131,2765.437,0.01,2.2,28.147,0.116
4597.625,23.8,12.441,8.801,49.609,0.751,2.66,2311.534,2434.129,0.01,1.987,30.789,0.102
4597.75,25.469,12.989,8.812,49.369,0.841,2.683,1673.34,1785.602,0.01,1.505,39.345,0.073
4597.875,26.774,13.285,8.806,49.369,1.039,2.705,1186.435,1271.728,0.01,1.166,49.24,0.053
4598,27.036,13.306,8.799,49.21,1.13,2.712,1002.453,1074.06,0.01,1.175,48.923,0.054
4598.125,27.052,13.134,8.777,49.224,1.273,2.715,733.303,781.658,0.01,1.264,45.88,0.059
4598.25,26.849,12.635,8.75,49.402,1.493,2.707,578.499,606.215,0.01,1.433,41.066,0.068
4598.375,26.702,12.375,8.741,49.632,1.65,2.703,533.935,551.796,0.01,1.591,37.46,0.078
4598.5,26.357,12.06,8.745,49.632,1.942,2.699,480.134,484.25,0.01,1.694,35.44,0.084
4598.625,26.241,12.007,8.758,49.779,2.017,2.699,466.348,466.719,0.01,1.803,33.554,0.091
4598.75,27.087,12.461,8.789,49.78,1.972,2.702,477.157,467.79,0.01,1.815,33.353,0.091
4598.875,30.061,14.426,8.815,49.688,1.745,2.707,538.263,514.102,0.01,1.668,35.923,0.082
4599,32.32,15.873,8.82,49.581,1.635,2.71,580.794,548.313,0.386,1.533,38.709,0.074
4599.125,38.521,17.663,8.809,49.486,1.582,2.716,684.269,626.282,1.193,1.318,44.205,0.062
4599.25,45.926,17.257,8.774,49.486,1.767,2.723,790.684,693.862,1.008,1.535,38.654,0.074
4599.375,48.992,16.876,8.756,49.364,1.88,2.726,826.899,711.665,0.836,1.626,36.734,0.08
4599.5,51.438,16.551,8.738,49.23,2.017,2.728,836.178,695.9,0.69,1.704,35.267,0.084
4599.625,48.993,16.181,8.748,49.235,2.059,2.726,743.598,601.011,0.524,1.727,34.852,0.086
4599.75,47.047,16.352,8.757,49.566,2.065,2.724,655.724,524.537,0.6,1.815,33.352,0.091
4599.875,43.439,18.2,8.762,49.566,2.013,2.722,421.821,338.26,1.438,1.465,40.277,0.07
4600,40.8,20.81,8.754,50.317,1.941,2.724,207.966,174.904,2.658,1.183,48.623,0.054
4600.125,40.194,21.926,8.749,51.44,1.974,2.727,142.205,122.687,3.192,1.371,42.697,0.065
4600.25,40.639,24.422,8.741,52.533,2.296,2.732,86.941,74.072,4.416,1.433,45.996,0.068
4600.375,41.055,25.814,8.736,53.616,2.572,2.734,77.985,65.812,5.116,1.673,40.158,0.083
4600.5,40.292,27.542,8.723,54.582,3.26,2.737,68.697,58.893,6.003,2.002,34.359,0.103
4600.625,37.923,27.301,8.718,54.582,3.994,2.737,65.978,57.091,5.878,2.368,28.321,0.126
4600.75,37.231,27.224,8.722,55.468,4.288,2.737,66.298,57.081,5.838,2.766,23.098,0.153
4600.875,38.178,28.632,8.741,56.345,4.547,2.735,64.344,54.731,7.933,3.476,37.075,0.011
4601,41.592,31.697,8.763,57.31,4.612,2.733,53.361,45.814,9.589,3.411,42.416,0.01
4601.125,44.003,32.78,8.771,58.422,4.784,2.731,45.583,39.768,10.19,3.662,43.077,0.014
4601.25,50.526,31.382,8.786,58.422,5.644,2.729,32.079,29.207,9.416,4.32,44.243,0.03
4601.375,57.998,27.05,8.792,59.664,7.011,2.727,25.457,23.718,7.103,5.901,35.809,0.188
4601.5,60.65,25.475,8.787,60.996,7.743,2.726,23.832,22.284,6.294,6.825,31.633,0.551
4601.625,61.899,24.054,8.769,62.425,9.16,2.726,20.667,19.628,5.578,8.145,28.254,2.547
4601.75,61.529,23.878,8.773,63.972,9.825,2.726,18.726,17.998,7.669,0.01,99.99,0
4601.875,64.367,27.964,8.844,65.574,10.928,2.725,14.699,14.562,9.776,0.01,99.99,0
4602,75.038,40.457,8.944,65.574,11.688,2.726,11.682,11.926,16.917,0.01,99.99,0
4602.125,81.571,47.023,8.967,67.117,12.098,2.727,10.721,11.067,21.132,0.01,99.99,0
4602.25,90.907,53.75,8.954,68.528,13.434,2.732,9.591,10.075,25.818,0.01,99.99,0
4602.375,92.595,54.14,8.941,69.762,15.594,2.738,9.234,9.795,26.101,0.01,99.99,0
4602.5,92.481,54.016,8.947,70.773,16.68,2.741,9.298,9.835,26.011,0.01,99.99,0
4602.625,95.85,57.291,8.944,70.773,17.985,2.744,9.493,9.914,28.444,0.01,99.99,0
4602.75,105.177,69.725,8.922,71.476,17.983,2.745,9.213,9.591,38.624,0.01,99.99,0
4602.875,110.615,78.088,8.93,71.721,17.74,2.745,8.929,9.314,46.399,0.01,99.99,0
4603,119.075,91.351,8.982,71.351,17.256,2.742,8.493,8.82,60.487,0.01,99.99,0
4603.125,121.111,94.817,9.002,70.486,17.121,2.735,8.381,8.585,64.563,0.01,99.99,0
4603.25,119.51,93.698,9.001,69.645,17.308,2.73,8.467,8.61,63.228,0.01,99.99,0
4603.375,112.787,87.845,9.027,69.645,18,2.716,9.188,9.119,56.537,0.01,99.99,0
4603.5,109.023,84.047,9.05,69.434,18.154,2.708,9.862,9.611,52.446,0.01,99.99,0
4603.625,101.402,75.084,9.06,70.043,17.299,2.693,11.469,10.781,43.514,0.01,99.99,0
4603.75,92.135,65.309,9.018,71.032,15.236,2.681,12.921,11.757,34.829,0.01,99.99,0
4603.875,88.37,61.867,9.008,71.782,14.169,2.676,13.552,12.101,32.011,0.01,99.99,0
4604,89.454,62.288,9.028,71.995,12.66,2.665,14.565,12.472,32.349,0.01,99.99,0
4604.125,105.628,76.172,9.026,71.995,12.665,2.651,15.214,12.56,44.546,0.01,99.99,0
4604.25,117.431,88.043,9,71.832,13.475,2.642,15.745,12.748,56.756,0.01,99.99,0
4604.375,142.234,116.898,8.911,71.465,17.031,2.622,18.77,14.367,95.021,0.01,99.99,0
4604.5,166.869,150.239,8.823,70.787,22.649,2.609,25.756,18.404,99.982,0.01,99.99,0
4604.625,178.954,166.544,8.791,69.51,25.493,2.609,30.326,21.073,99.982,0.01,99.99,0
4604.75,199.387,192.463,8.749,69.51,29.247,2.627,38.939,26.207,99.982,0.01,99.99,0
4604.875,206.534,200.293,8.736,67.417,29.884,2.639,42.116,28.193,99.982,0.01,99.99,0
4605,213.84,207.042,8.72,64.697,29.646,2.639,46.154,30.881,99.982,0.01,99.99,0
4605.125,215.272,205.362,8.705,61.912,28.825,2.587,49.097,32.765,99.982,0.01,99.99,0
4605.25,215,202.122,8.696,59.762,28.282,2.552,50.94,33.867,99.982,0.01,99.99,0
4605.375,212.994,191.969,8.682,58.681,26.792,2.503,57.006,37.538,99.982,0.01,99.99,0
4605.5,211.15,179.499,8.677,58.681,25.745,2.495,67.62,43.817,99.982,0.01,99.99,0
4605.625,211.449,173.865,8.677,58.689,25.829,2.499,73.818,47.354,99.982,0.01,99.99,0
4605.75,214.339,163.838,8.677,59.457,26.832,2.51,83.514,52.669,99.982,0.01,99.99,0
4605.875,216.008,155.124,8.675,60.538,27.29,2.517,85.479,53.586,99.982,0.01,99.99,0
4606,214.942,150.557,8.673,61.653,26.997,2.519,83.61,52.497,99.982,0.01,99.99,0
4606.125,210.049,142.151,8.668,61.653,26.085,2.517,76.381,48.372,99.982,0.01,99.99,0
4606.25,204.755,137.539,8.675,62.679,25.585,2.513,66.702,42.812,99.982,0.01,99.99,0
4606.375,202.462,137.255,8.684,63.555,25.51,2.51,61.587,39.776,99.982,0.01,99.99,0
4606.5,199.152,139.147,8.698,64.156,25.606,2.503,51.484,33.274,99.982,0.01,99.99,0
4606.625,198.512,141.01,8.698,64.353,25.727,2.497,46.121,29.666,99.982,0.01,99.99,0
4606.75,198.746,145.457,8.683,64.17,26.017,2.48,34.064,21.788,99.982,0.01,99.99,0
4606.875,196.18,149.566,8.665,64.17,26.503,2.452,22.526,14.687,99.982,0.01,99.99,0
4607,192.286,149.847,8.659,63.768,26.757,2.434,18.389,12.164,99.982,0.01,99.99,0
4607.125,181.386,144.18,8.656,63.273,26.844,2.39,14.073,9.327,99.982,0.01,99.99,0
4607.25,173.979,136.261,8.655,62.704,25.964,2.342,12.138,8.049,99.982,0.01,99.99,0
4607.375,173.261,134.497,8.653,62.064,25.318,2.319,11.261,7.618,99.982,0.01,99.99,0
4607.5,175.816,134.926,8.639,62.064,24.206,2.28,10.118,7.219,99.982,0.01,99.99,0
4607.625,178.231,135.636,8.621,61.481,23.438,2.257,10.162,7.588,99.982,0.01,99.99,0
4607.75,178.671,135.425,8.614,61.205,23.211,2.251,10.63,8.06,99.982,0.01,99.99,0
4607.875,179.156,134.876,8.61,61.447,23.002,2.25,12.747,9.701,99.982,0.01,99.99,0
4608,179.264,134.744,8.613,62.206,22.903,2.254,14.367,10.737,99.982,0.01,99.99,0
4608.125,178.134,134.246,8.624,63.29,22.335,2.271,17.041,12.177,99.982,0.01,99.99,0
4608.25,176.061,133.135,8.635,63.29,21.403,2.296,16.311,11.483,99.982,0.01,99.99,0
4608.375,175.992,132.973,8.639,64.421,21.132,2.31,14.668,10.413,99.982,0.01,99.99,0
4608.5,178.676,134.348,8.644,65.316,21.345,2.342,11.042,8.089,99.982,0.01,99.99,0
4608.625,178.253,133.714,8.649,65.759,21.743,2.377,9.348,6.954,99.982,0.01,99.99,0
4608.75,173.38,129.418,8.652,65.621,21.516,2.395,9.612,7.178,99.982,0.01,99.99,0
4608.875,153.282,110.627,8.66,64.893,19.802,2.432,13.47,10.19,85.517,0.01,99.99,0
4609,127.453,86.765,8.667,64.893,17.049,2.473,24.608,18.391,55.354,0.01,99.99,0
4609.125,115.598,76.768,8.67,63.766,15.597,2.497,33.512,24.678,45.118,0.01,99.99,0
4609.25,95.591,62.096,8.67,62.604,12.951,2.562,55.436,39.477,32.195,0.01,99.99,0
4609.375,78.722,54.701,8.668,61.765,10.836,2.628,73.027,50.763,26.512,0.01,99.99,0
4609.5,71.7,52.673,8.667,61.389,9.942,2.65,76.088,52.677,25.041,0.01,99.99,0
4609.625,63.738,50.38,8.666,61.389,8.564,2.657,68.787,48.1,23.422,0.01,99.99,0
4609.75,64.144,51.296,8.667,61.409,8.193,2.648,60.685,42.935,24.063,0.01,99.99,0
4609.875,74.148,62.474,8.67,61.725,8.286,2.631,43.636,31.628,32.499,0.01,99.99,0
4610,90.064,80.417,8.672,62.294,9.449,2.627,31.146,22.778,48.71,0.01,99.99,0
4610.125,96.505,87.615,8.673,63.038,10.301,2.628,26.657,19.542,56.284,0.01,99.99,0
4610.25,102.006,93.82,8.673,63.806,12.026,2.635,20.363,15.009,63.372,0.01,99.99,0
4610.375,101.334,93.507,8.672,63.806,13.139,2.646,17.082,12.544,63.002,0.01,99.99,0
4610.5,101.147,93.309,8.67,64.53,13.334,2.652,16.128,11.841,62.768,0.01,99.99,0
4610.625,103.002,94.914,8.667,65.332,13.295,2.666,14.704,10.978,64.679,0.01,99.99,0
4610.75,107.004,97.656,8.666,66.396,13.339,2.683,13.588,10.419,68.032,0.01,99.99,0
4610.875,109.568,98.701,8.667,67.729,13.544,2.693,13.096,10.153,69.34,0.01,99.99,0
4611,116.388,100.35,8.676,67.729,14.47,2.714,12.113,9.587,71.438,0.01,99.99,0
4611.125,120.59,101.578,8.69,69.094,15.177,2.724,11.677,9.342,73.029,0.01,99.99,0
4611.25,129.219,106.928,8.723,70.177,16.892,2.747,11.194,9.108,80.244,0.01,99.99,0
4611.375,136.056,114.842,8.731,70.765,18.552,2.765,11.232,9.246,91.824,0.01,99.99,0
4611.5,138.31,117.993,8.72,70.762,19.16,2.772,11.404,9.386,96.757,0.01,99.99,0
4611.625,139.593,120.635,8.682,70.119,19.72,2.78,11.967,9.927,99.982,0.01,99.99,0
4611.75,133.611,117.878,8.645,70.119,19.23,2.779,12.195,10.956,96.574,0.01,99.99,0
4611.875,127.474,113.216,8.632,68.788,18.636,2.777,11.996,11.221,89.352,0.01,99.99,0
4612,112.264,96.101,8.614,66.747,17.091,2.769,11.527,11.091,66.117,0.01,99.99,0
4612.125,98.339,75.615,8.61,64.087,15.343,2.759,12.194,11.792,44.016,0.014,99.99,0
4612.25,91.675,66.19,8.609,61.07,14.496,2.755,13.365,13.132,35.57,0.01,99.99,0
4612.375,75.717,49.417,8.609,61.07,12.955,2.75,20.476,20.978,22.755,0.01,99.99,0
4612.5,57.698,33.973,8.613,58.052,11.343,2.753,41.247,40.323,13.074,0.01,99.99,0
4612.625,50.423,28.306,8.615,55.392,10.439,2.757,56.205,53.31,9.958,0.01,99.99,0
4612.75,43.278,22.991,8.616,53.343,8.81,2.771,82.04,75.532,7.225,0.01,99.99,0
4612.875,43.087,23.33,8.615,52.012,8.283,2.779,87.519,80.686,7.394,0.01,99.99,0
4613,45.453,26.768,8.615,51.336,7.991,2.795,82.763,78.097,9.148,0.01,99.99,0
4613.125,47.064,30.639,8.615,51.336,8.438,2.809,71.75,68.959,11.214,0.01,99.99,0
4613.25,46.945,31.921,8.616,51.097,8.739,2.814,67.991,65.314,11.921,0.01,99.99,0
4613.375,45.548,33.145,8.618,51.035,9.207,2.822,63.488,56.707,12.605,0.01,99.99,0
4613.5,44.875,33.761,8.62,50.98,9.335,2.831,61.258,47.966,12.954,0.01,99.99,0
4613.625,45.191,33.873,8.62,50.932,9.208,2.835,60.849,46.276,13.017,0.01,99.99,0
4613.75,46.124,32.912,8.618,50.932,8.735,2.844,60.365,45.755,12.474,0.01,99.99,0
4613.875,46.434,30.672,8.614,50.95,8.506,2.846,59.157,44.921,11.233,0.01,99.99,0
4614,46.513,29.539,8.612,51.023,8.612,2.843,58.723,44.902,10.617,0.01,99.99,0
4614.125,46.996,28.008,8.609,51.04,9.126,2.832,60.12,46.721,9.8,0.01,99.99,0
4614.25,47.301,27.326,8.607,50.894,9.482,2.816,65.854,51.515,9.44,0.01,99.99,0
4614.375,47.145,27.198,8.605,50.577,9.502,2.808,70.629,55.099,9.373,0.01,99.99,0
4614.5,46.2,27.499,8.602,50.577,9.361,2.795,84.589,65.309,9.531,0.01,99.99,0
4614.625,45.376,27.836,8.601,50.177,9.265,2.791,93.941,72.212,9.709,0.01,99.99,0
